age,symptom,probability,param_label,prior_min,prior_max,prior_note,reference
23,diarrhoea,0.084,universal,0,1,,Missing
24,diarrhoea,0.084,universal,0,1,,Missing
25,diarrhoea,0.084,universal,0,1,,Missing
26,diarrhoea,0.084,universal,0,1,,Missing
27,diarrhoea,0.084,universal,0,1,,Missing
28,diarrhoea,0.084,universal,0,1,,Missing
29,diarrhoea,0.084,universal,0,1,,Missing
30,diarrhoea,0.095,universal,0,1,,Missing
0,encephalitis,0.002,universal,0,1,,Missing
1,encephalitis,0.002,universal,0,1,,Missing
2,encephalitis,0.002,universal,0,1,,Missing
3,encephalitis,0.002,universal,0,1,,Missing
4,encephalitis,0.002,universal,0,1,,Missing
5,encephalitis,0.001,universal,0,1,,Missing
6,encephalitis,0.001,universal,0,1,,Missing
7,encephalitis,0.001,universal,0,1,,Missing
8,encephalitis,0.001,universal,0,1,,Missing
9,encephalitis,0.001,universal,0,1,,Missing
10,encephalitis,0.001,universal,0,1,,Missing
11,encephalitis,0.001,universal,0,1,,Missing
12,encephalitis,0.001,universal,0,1,,Missing
13,encephalitis,0.001,universal,0,1,,Missing
14,encephalitis,0.001,universal,0,1,,Missing
15,encephalitis,0.001,universal,0,1,,Missing
16,encephalitis,0.001,universal,0,1,,Missing
17,encephalitis,0.001,universal,0,1,,Missing
18,encephalitis,0.001,universal,0,1,,Missing
19,encephalitis,0.001,universal,0,1,,Missing
20,encephalitis,0.002,universal,0,1,,Missing
21,encephalitis,0.002,universal,0,1,,Missing
22,encephalitis,0.002,universal,0,1,,Missing
23,encephalitis,0.002,universal,0,1,,Missing
24,encephalitis,0.002,universal,0,1,,Missing
25,encephalitis,0.002,universal,0,1,,Missing
26,encephalitis,0.002,universal,0,1,,Missing
27,encephalitis,0.002,universal,0,1,,Missing
28,encephalitis,0.002,universal,0,1,,Missing
29,encephalitis,0.002,universal,0,1,,Missing
30,encephalitis,0.003,universal,0,1,,Missing
0,otitis_media,0.14,universal,0,1,,Missing
1,otitis_media,0.14,universal,0,1,,Missing
2,otitis_media,0.14,universal,0,1,,Missing
3,otitis_media,0.14,universal,0,1,,Missing
4,otitis_media,0.14,universal,0,1,,Missing
5,otitis_media,0.047,universal,0,1,,Missing
6,otitis_media,0.047,universal,0,1,,Missing
7,otitis_media,0.047,universal,0,1,,Missing
8,otitis_media,0.047,universal,0,1,,Missing
9,otitis_media,0.047,universal,0,1,,Missing
10,otitis_media,0.018,universal,0,1,,Missing
11,otitis_media,0.018,universal,0,1,,Missing
12,otitis_media,0.018,universal,0,1,,Missing
13,otitis_media,0.018,universal,0,1,,Missing
14,otitis_media,0.018,universal,0,1,,Missing
15,otitis_media,0.018,universal,0,1,,Missing
16,otitis_media,0.018,universal,0,1,,Missing
17,otitis_media,0.018,universal,0,1,,Missing
18,otitis_media,0.018,universal,0,1,,Missing
19,otitis_media,0.018,universal,0,1,,Missing
20,otitis_media,0.017,universal,0,1,,Missing
21,otitis_media,0.017,universal,0,1,,Missing
22,otitis_media,0.017,universal,0,1,,Missing
23,otitis_media,0.017,universal,0,1,,Missing
24,otitis_media,0.017,universal,0,1,,Missing
25,otitis_media,0.017,universal,0,1,,Missing
26,otitis_media,0.017,universal,0,1,,Missing
27,otitis_media,0.017,universal,0,1,,Missing
28,otitis_media,0.017,universal,0,1,,Missing
29,otitis_media,0.017,universal,0,1,,Missing
30,otitis_media,0.017,universal,0,1,,Missing
0,respiratory_symptoms,0.086,universal,0,1,,Missing
1,respiratory_symptoms,0.086,universal,0,1,,Missing
2,respiratory_symptoms,0.086,universal,0,1,,Missing
3,respiratory_symptoms,0.086,universal,0,1,,Missing
4,respiratory_symptoms,0.086,universal,0,1,,Missing
5,respiratory_symptoms,0.028,universal,0,1,,Missing
6,respiratory_symptoms,0.028,universal,0,1,,Missing
7,respiratory_symptoms,0.028,universal,0,1,,Missing
8,respiratory_symptoms,0.028,universal,0,1,,Missing
9,respiratory_symptoms,0.028,universal,0,1,,Missing
10,respiratory_symptoms,0.02,universal,0,1,,Missing
11,respiratory_symptoms,0.02,universal,0,1,,Missing
12,respiratory_symptoms,0.02,universal,0,1,,Missing
13,respiratory_symptoms,0.02,universal,0,1,,Missing
14,respiratory_symptoms,0.02,universal,0,1,,Missing
15,respiratory_symptoms,0.02,universal,0,1,,Missing
16,respiratory_symptoms,0.02,universal,0,1,,Missing
17,respiratory_symptoms,0.02,universal,0,1,,Missing
18,respiratory_symptoms,0.02,universal,0,1,,Missing
19,respiratory_symptoms,0.02,universal,0,1,,Missing
20,respiratory_symptoms,0.061,universal,0,1,,Missing
21,respiratory_symptoms,0.061,universal,0,1,,Missing
22,respiratory_symptoms,0.061,universal,0,1,,Missing
23,respiratory_symptoms,0.061,universal,0,1,,Missing
24,respiratory_symptoms,0.061,universal,0,1,,Missing
25,respiratory_symptoms,0.061,universal,0,1,,Missing
26,respiratory_symptoms,0.061,universal,0,1,,Missing
27,respiratory_symptoms,0.061,universal,0,1,,Missing
28,respiratory_symptoms,0.061,universal,0,1,,Missing
29,respiratory_symptoms,0.061,universal,0,1,,Missing
30,respiratory_symptoms,0.093,universal,0,1,,Missing
0,eye_complaint,1,universal,0,1,,Missing
1,eye_complaint,1,universal,0,1,,Missing
2,eye_complaint,1,universal,0,1,,Missing
3,eye_complaint,1,universal,0,1,,Missing
4,eye_complaint,1,universal,0,1,,Missing
5,eye_complaint,1,universal,0,1,,Missing
6,eye_complaint,1,universal,0,1,,Missing
7,eye_complaint,1,universal,0,1,,Missing
8,eye_complaint,1,universal,0,1,,Missing
9,eye_complaint,1,universal,0,1,,Missing
10,eye_complaint,1,universal,0,1,,Missing
11,eye_complaint,1,universal,0,1,,Missing
12,eye_complaint,1,universal,0,1,,Missing
13,eye_complaint,1,universal,0,1,,Missing
14,eye_complaint,1,universal,0,1,,Missing
15,eye_complaint,1,universal,0,1,,Missing
16,eye_complaint,1,universal,0,1,,Missing
17,eye_complaint,1,universal,0,1,,Missing
18,eye_complaint,1,universal,0,1,,Missing
19,eye_complaint,1,universal,0,1,,Missing
20,eye_complaint,1,universal,0,1,,Missing
21,eye_complaint,1,universal,0,1,,Missing
22,eye_complaint,1,universal,0,1,,Missing
23,eye_complaint,1,universal,0,1,,Missing
24,eye_complaint,1,universal,0,1,,Missing
25,eye_complaint,1,universal,0,1,,Missing
26,eye_complaint,1,universal,0,1,,Missing
27,eye_complaint,1,universal,0,1,,Missing
28,eye_complaint,1,universal,0,1,,Missing
29,eye_complaint,1,universal,0,1,,Missing
30,eye_complaint,1,universal,0,1,,Missing
