Item_Description,Item_Code,Pkg_Name,Source_Equip_Item,Alternative item names
Shovels,48,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Heavy duty apron,49,,Malawi HSSPIII Equipment Costing 2023,
Safety Goggles,50,,Malawi HSSPIII Equipment Costing 2023,
Heavy duty Leather gloves,51,,Malawi HSSPIII Equipment Costing 2023,
Face Shield,52,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Head Helmet,53,,Malawi HSSPIII Equipment Costing 2023,
"Instrument set, insertion/removal, IUCD",54,,Malawi HSSPIII Equipment Costing 2023,
Cupboard,55,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Cupboard, dangerous drugs', 'Cupboard, low, metal', 'Cupboard, instruments, metal, glass door, 750x380x1700mm'"
"Container, for sharps, for approx. 250 needles",56,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
"Trolley, laundry/instrument",57,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,"'Trolley', 'Trolley, instrument, with s/s shelves, anti-static castors, 600L x 450W x 800H mm', 'Trolley, dressing, with shelves, s/s, 600L x 450W x 800H mm.'"
"Cleaning utensils, set",58,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Laundry/linen bag ,59,,Malawi HSSPIII Equipment Costing 2023,
"Light, emergency, solar, with battery backup",60,,Malawi HSSPIII Equipment Costing 2023,
"Light, gas",61,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Suction machine,62,,Malawi HSSPIII Equipment Costing 2023,
Vacuum extractor ,63,,Malawi HSSPIII Equipment Costing 2023,"'Vacuum extractor, manual, Bird's modification of Maelstrom'"
"Ambu bag, adult with mask",64,,Malawi HSSPIII Equipment Costing 2023,"'Ambu bag, adult'"
"Ambu bag, infant with mask",65,,Malawi HSSPIII Equipment Costing 2023,"'Ambu bag, infant', 'Neonatal Ambu Bag and Mask'"
Manual Vacuum aspiration Set,66,,Malawi HSSPIII Equipment Costing 2023,
"Cot, baby (bassinet), hospital-type",67,,Malawi HSSPIII Equipment Costing 2023,"'Cot, baby (bassinette), hospital-type', 'Baby Bassinet'"
Drip stand,68,"Minor Surgery, Major Surgery, ICU, Blood Transfusion",Malawi HSSPIII Equipment Costing 2023,'Intravenous drip stands'
"Stool, adjustable height",69,,Malawi HSSPIII Equipment Costing 2023,"'Stool, surgeon's, adjustable height', 'Height stool, adjustable'"
Sponge Holding Forceps,70,,Malawi HSSPIII Equipment Costing 2023,
Tenaculums,71,,Malawi HSSPIII Equipment Costing 2023,'Tenacullums'
"Foot step, one step",72,,Malawi HSSPIII Equipment Costing 2023,"'Stepping stools', 'Steping boards', 'Patient step'"
"Foot step, two step",73,,Malawi HSSPIII Equipment Costing 2023,
"Containers for Decontamination, Cleaning, Instruments and Linen",74,"In-patient, General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Containers for Decomtamination, Cleaning, Instruments and Linen'"
"Bed net, mosquito, single bed",75,In-patients,Malawi HSSPIII Equipment Costing 2023,
"Lamp, paraffin, hurricane type",76,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Lamp, pressure, paraffin, 400mm, 1.1 litres'"
Bedside locker,77,"In-patients, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,'Side bed stools'
Stool basic metal,78,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Anatomical marker L-R,79,,Malawi HSSPIII Equipment Costing 2023,
Apron protective x-ray lead,80,X-ray,Malawi HSSPIII Equipment Costing 2023,'Lead Apron'
UPS (uninterruptible power supply),81,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
Ultrasound quality control ,82,,Malawi HSSPIII Equipment Costing 2023,'Ultrasound quality control equipment'
Patellar reflex hammer,83,,Malawi HSSPIII Equipment Costing 2023,'Patella hammer'
"Weighing scale, baby ",84,,Malawi HSSPIII Equipment Costing 2023,"'Weighing scale, infant, metric, 15.5kgx5g', 'Weighing scale, baby, basin type, 16 kg'"
Diagnostic Set,85,,Malawi HSSPIII Equipment Costing 2023,"'Diagnostic Set (needs further detail)', 'Diagnostic equipment set for HC', 'Diagnostic equipment set for MCH', 'Diagnostic equipment set for ward/nurse'"
Screen Curtains ,86,,Malawi HSSPIII Equipment Costing 2023,"'Screen, four fold, on castors', 'patient screen', 'Ward Screen', 'Patients privacy screens'"
"Trolley, food",87,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,'Food Trolley'
Fridge Freezer,88,,Malawi HSSPIII Equipment Costing 2023,"'Deep Freezer', 'Compact Chilling/Freezer Unit'"
Fridge Guard,89,,Malawi HSSPIII Equipment Costing 2023,
Air conditioner/fan,90,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
Fridge Freezer Thermometer,91,,Malawi HSSPIII Equipment Costing 2023,"'Frige Freezer Thermometer', 'Fridge Thermometer', 'Freezer Thermometer'"
Lockable Cabinet,92,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Kettle,93,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Kettle (For splinting purposes)', 'Electrick Kettle (2 litre)', 'Water kettle, boiling, 2ltr', 'Water Boiler'"
Standing Blocks,94,,Malawi HSSPIII Equipment Costing 2023,
Suspension Slings,95,,Malawi HSSPIII Equipment Costing 2023,
Pulley System,96,,Malawi HSSPIII Equipment Costing 2023,
Board for Cord Knotting,97,,Malawi HSSPIII Equipment Costing 2023,
Wheelchair,98,,Malawi HSSPIII Equipment Costing 2023,'Wheel chair'
Built Up (adapted) Utensils,99,,Malawi HSSPIII Equipment Costing 2023,
Universal Cuffs,100,,Malawi HSSPIII Equipment Costing 2023,
Grasp Dynamometer,101,,Malawi HSSPIII Equipment Costing 2023,'Crasp Dynamometer'
Goniometer,102,,Malawi HSSPIII Equipment Costing 2023,
Pinch Meter,103,,Malawi HSSPIII Equipment Costing 2023,
"Medicinal Balls (Sets of 0.5kgs, 1kg, 2kgs, 3kgs, 4kgs, 5kgs)",104,,Malawi HSSPIII Equipment Costing 2023,"'Medicine Balls ( set of ½ kg, 1kg, 2kgs, 3kgs, 4kgs and 5kgs)', 'Medicne Ball 3 kgs', 'Medicine Ball 5 kgs'"
Box and Block Test,105,,Malawi HSSPIII Equipment Costing 2023,
Foot Sewing Machine,106,,Malawi HSSPIII Equipment Costing 2023,
Ordinary balls,107,,Malawi HSSPIII Equipment Costing 2023,
"Light, mobile, Lift-ultra 1500 hydraulic",108,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,'Mobile Lift-ultra light 1500 hydraulic'
Cognitive kits,109,,Malawi HSSPIII Equipment Costing 2023,
Hand function kits,110,,Malawi HSSPIII Equipment Costing 2023,'Putty for Hand ExS'
Patient monitor,111,ICU,Malawi HSSPIII Equipment Costing 2023,'Patient monitors'
Flip chart stand,112,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
"Trolley, patient",113,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,"'Patient trolley', 'Recovery trolley'"
Stretcher ,114,,Malawi HSSPIII Equipment Costing 2023,
Casting chairs,115,Casting,Malawi HSSPIII Equipment Costing 2023,
"Ruler, steel (1 meter long)",116,,Malawi HSSPIII Equipment Costing 2023,'Steel Rulers (1 meter long)'
Measuring tapes,117,ANC,Malawi HSSPIII Equipment Costing 2023,"'Height Measuring Tape', 'Tape measure'"
Measuring gauges,118,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
X-ray viewer,119,X-ray,Malawi HSSPIII Equipment Costing 2023,'Xray field viewer'
"Ruler, square",120,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,'Square rulers'
Vernier calliper,121,,Malawi HSSPIII Equipment Costing 2023,'Venier calliper'
Casting apparatus for prosthetics,122,Casting,Malawi HSSPIII Equipment Costing 2023,
Casting platform,123,Casting,Malawi HSSPIII Equipment Costing 2023,
Spinal casting aid,124,Casting,Malawi HSSPIII Equipment Costing 2023,
"Analyser, Combined Chemistry and Electrolytes",125,ICU,Malawi HSSPIII Equipment Costing 2023,"'Combined Chemistry and Electolytes analyser',"
"Analyser, Chemistry ",126,ICU,Malawi HSSPIII Equipment Costing 2023,"'Chemistry Analyser,'"
"Analyser, Blood Gas",127,ICU,Malawi HSSPIII Equipment Costing 2023,'Blood Gas Analyser'
"Analyser, Electrolyte (Human HumaLyte Plus) 5, for Na, K, Cl",128,,Malawi HSSPIII Equipment Costing 2023,
"Weighing balance, electronic",129,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Water bath,130,,Malawi HSSPIII Equipment Costing 2023,
Centrifuge,131,"",Malawi HSSPIII Equipment Costing 2023,'MagFuge Centrifuge and Stirer'
"Analyzer, Clinical immunoassay",132,,Malawi HSSPIII Equipment Costing 2023,
"Micropipettes, 2 – 20ul",133,,Malawi HSSPIII Equipment Costing 2023,
"Micropipettes, 5 - 50ul",134,,Malawi HSSPIII Equipment Costing 2023,
Micropipettes 10 - 100ul,135,,Malawi HSSPIII Equipment Costing 2023,
"Micropipettes, 20 - 200ul",136,,Malawi HSSPIII Equipment Costing 2023,
"Micropipettes, 50 - 250ul",137,,Malawi HSSPIII Equipment Costing 2023,
"Micropipettes, 100 - 1000ul",138,,Malawi HSSPIII Equipment Costing 2023,
"Analyser, Hormones",139,,Malawi HSSPIII Equipment Costing 2023,'Hormones Analyser'
Blood Bank Fridge (2-8 oC),140,Blood Transfusion,Malawi HSSPIII Equipment Costing 2023,
Automatic Cell washer,141,,Malawi HSSPIII Equipment Costing 2023,
Blood Bank Centrifuge,142,Blood Transfusion,Malawi HSSPIII Equipment Costing 2023,
ABO Blood grouping Tiles,143,Blood Transfusion,Malawi HSSPIII Equipment Costing 2023,
Viewing box,144,,Malawi HSSPIII Equipment Costing 2023,
Donor Bleeding Couch,145,Blood Transfusion,Malawi HSSPIII Equipment Costing 2023,
Vortex mixer,146,,Malawi HSSPIII Equipment Costing 2023,
Platelet Agitator,147,Blood Transfusion,Malawi HSSPIII Equipment Costing 2023,
Printer,148,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Exercise Mats,149,,Malawi HSSPIII Equipment Costing 2023,"'Gym matts', 'Adult mats'"
Cast cutters (Electrical),150,Casting,Malawi HSSPIII Equipment Costing 2023,'Electric Cast Remover'
Cast cutters (Mechanical),151,Casting,Malawi HSSPIII Equipment Costing 2023,"'Cast cutters  (Mechanical)', 'Manual Cast Remover'"
Parallel Bars,152,,Malawi HSSPIII Equipment Costing 2023,"'Remedial Parallel Bars', 'Paediatrics parallel bars', 'Paediatric parallel bar'"
"Abduction splints (Small, medium, large)",153,Casting,Malawi HSSPIII Equipment Costing 2023,
Digital scales,154,,Malawi HSSPIII Equipment Costing 2023,
Pedal bin,155,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Pedal Bins', 'Dustbin pedal'"
"Mirror, rehabilitation/physiotherapy",156,,Malawi HSSPIII Equipment Costing 2023,"'Mobile Mirrows', 'Mobile Posture Mirrow', 'Static  Mirrows'"
Incentive spirometers,157,,Malawi HSSPIII Equipment Costing 2023,'Incentive Spirometry'
Postural Drainage Couch,158,,Malawi HSSPIII Equipment Costing 2023,'Postural drainage couches'
Table,159,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,'Tables'
Gestation Wheels R(Chart),160,ANC,Malawi HSSPIII Equipment Costing 2023,
Ultrasound scanning machine,161,,Malawi HSSPIII Equipment Costing 2023,"'Mobile Ultrasound scanning general with printer', 'Obstetric Ultrasound scan with doppler', 'Ultrasound scanning portable', 'Detector, foetal heart, ultrasonic, portable, Doppler'"
Fetoscope,162,,Malawi HSSPIII Equipment Costing 2023,
Receiver,163,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,'Receivers'
Computed Tomography (CT machine),164,,Malawi HSSPIII Equipment Costing 2023,
CT scanner accessories,165,,Malawi HSSPIII Equipment Costing 2023,
Automatic injection ,166,,Malawi HSSPIII Equipment Costing 2023,
"Trolley, Trauma Patient CT",167,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,'Trauma Patient CT Trolley'
Patient transfer roller board,168,"In-patient, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,"'25"" Patient transfer roller board','Patient transfer roll board'"
"Image view station, for conferences",169,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
Infusion pump,170,"Minor Surgery, Major Surgery, ICU, Blood Transfusion",Malawi HSSPIII Equipment Costing 2023,
"Trolley, emergency",171,"ICU, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,'Emergency trolley'
"Cusco’s/ bivalved Speculum (small, medium, large)",172,,Malawi HSSPIII Equipment Costing 2023,"'Speculums', 'Speculum', 'Cuscos/ bivalve Speculum (small, medium, large)'"
Cardiotocography,173,,Malawi HSSPIII Equipment Costing 2023,
Delivery Beds with Stirrups,174,,Malawi HSSPIII Equipment Costing 2023,"'Bed, delivery', 'Bed, for delivery'"
"Light, operating, mobile",175,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Delivery Trolley,176,,Malawi HSSPIII Equipment Costing 2023,
Step Chairs,177,,Malawi HSSPIII Equipment Costing 2023,
Bucket Stand,178,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,"'Stand, bowl, kick about'"
Oxygen concentrator,179,,Malawi HSSPIII Equipment Costing 2023,
Oxygen ports,180,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
Amnio hook,181,,Malawi HSSPIII Equipment Costing 2023,
Delivery Forceps ,182,,Malawi HSSPIII Equipment Costing 2023,
Bed pans,183,In-patients,Malawi HSSPIII Equipment Costing 2023,
Delivery set,184,,Malawi HSSPIII Equipment Costing 2023,"'Hollow ware', 'Hollow ware, set, delivery room', 'Hollow ware set, ward, duty station', 'Instrument set', 'Episiotomy set'"
"Incubator, transit ",185,,Malawi HSSPIII Equipment Costing 2023,'Transit Incubator'
"Sterilizing unit, steam, non vacuum, vertical, electric, medium, 240 litre",186,,Malawi HSSPIII Equipment Costing 2023,
"Tray, instrument, set of 3 sizes, covered, s/s, 305x254x51mm",187,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
"Stethoscope, foetal, monaural, Pinard, plastic",188,ANC,Malawi HSSPIII Equipment Costing 2023,
"Cupboard, for medicine, lockable ",189,,Malawi HSSPIII Equipment Costing 2023,'Lockable Cupboards for medicine'
Rack for apron and glove x-ray,190,X-ray,Malawi HSSPIII Equipment Costing 2023,'Lead apron rack'
Pillows of various shapes,191,In-patient,Malawi HSSPIII Equipment Costing 2023,'Square pillow'
Pillow cases,192,"In-patient, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,
"Light, examination, floor standing, articulated",193,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Tubal Ligation and Vasectomy Sets,194,,Malawi HSSPIII Equipment Costing 2023,'Tubal Ligation Set'
Static Digital Fluoroscopy,195,,Malawi HSSPIII Equipment Costing 2023,"'Static Digital Floroscopy', 'Floroscopy'"
Static Digital Fluoroscopy accessories,196,,Malawi HSSPIII Equipment Costing 2023,'Static Digital Floroscopy accessories'
"Crutches, Axillary",197,,Malawi HSSPIII Equipment Costing 2023,'Axillary crutches'
"Crutches, Elbow",198,,Malawi HSSPIII Equipment Costing 2023,"'Metallic Crutches', 'Crutches', 'Elbow crutches', 'Crutches'"
Rollators,199,,Malawi HSSPIII Equipment Costing 2023,
Picture Archiving and Communication System (PACS),200,,Malawi HSSPIII Equipment Costing 2023,
Digitiser,201,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
X-ray machine,202,X-ray,Malawi HSSPIII Equipment Costing 2023,"'X ray machine', 'Static digital x-ray machine'"
"Disinfector, boiling water type, electric, s/s",203,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Disinfector, boiling water type, electric, s/s, int. dim. 510x310x140mm', 'Disinfector, boiling water type, electric, large, s/s, int. dim. 685x508x432mm'"
"Cradle, burns",204,,Malawi HSSPIII Equipment Costing 2023,
"Mattress for hospital bed, adult",205,"In-patients, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,
"Tray, instrument, set of 12 sizes, covered, s/s, 305x254x51mm",206,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
Dumbbells (Sets of 0.5kgs to 15kgs),207,,Malawi HSSPIII Equipment Costing 2023,'Dumbells (Sets of 0.5kgs to 15kgs)'
Hydraulic hand rower machine,208,,Malawi HSSPIII Equipment Costing 2023,
Electro Surgical unit ,209,"Minor Surgery, Major Surgery",Malawi HSSPIII Equipment Costing 2023,
LLETZ Machine,210,,Malawi HSSPIII Equipment Costing 2023,
Colposcopes,211,,Malawi HSSPIII Equipment Costing 2023,
Laparotomy Set,212,Major Surgery,Malawi HSSPIII Equipment Costing 2023,'Laparatomy Set'
Hysterectomy set,213,,Malawi HSSPIII Equipment Costing 2023,"'Total Abdominal Hysterectomy set', 'Vaginal Hysterectomy Set', 'Radical Hysterectomy set'"
Bipolar Diathermy Machine,214,,Malawi HSSPIII Equipment Costing 2023,
VVF and RVF set,215,,Malawi HSSPIII Equipment Costing 2023,
D&C set ,216,,Malawi HSSPIII Equipment Costing 2023,
Evacuation set,217,,Malawi HSSPIII Equipment Costing 2023,
Suction Curettage machine,218,,Malawi HSSPIII Equipment Costing 2023,'Suction Curettage  machine'
Molar set,219,,Malawi HSSPIII Equipment Costing 2023,
"Trolley, Mayo Instrument",220,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,'Mayo Instrument trolley'
"Analyser, Haematology",221,ICU,Malawi HSSPIII Equipment Costing 2023,"'Haematology analyser Auto', 'Haematology analyser Semi'"
Westergreen ESR set,222,,Malawi HSSPIII Equipment Costing 2023,
Neubauer Chamber,223,,Malawi HSSPIII Equipment Costing 2023,'Neuber Chamber'
Shaker,224,,Malawi HSSPIII Equipment Costing 2023,
Differential Mechanical Counter(8 keys),225,,Malawi HSSPIII Equipment Costing 2023,
Tally Counter,226,,Malawi HSSPIII Equipment Costing 2023,'Tally Ccounter'
Coagulation machine,227,,Malawi HSSPIII Equipment Costing 2023,
Slice Master sample processing Unit,228,,Malawi HSSPIII Equipment Costing 2023,
Paraffin Dispense,229,,Malawi HSSPIII Equipment Costing 2023,
Manual Rotary Microtome,230,,Malawi HSSPIII Equipment Costing 2023,
LED Tissue floatation water bath and slide dryer Combo,231,,Malawi HSSPIII Equipment Costing 2023,
Tissue Floatation Water Bath,232,,Malawi HSSPIII Equipment Costing 2023,"'Tissue Floatation  Water Bath', 'Tissue Floatation Bath'"
Slide Dryer/Warmer,233,,Malawi HSSPIII Equipment Costing 2023,"'Large Slide Warmers', 'Step up slide warmer for 40 slides', 'Small Slide Warmers', 'Mini Section/Slide Dryers', 'Glassware Drier', 'Drier'"
IHL Slide Manager $ Slide dryer Combo,234,,Malawi HSSPIII Equipment Costing 2023,
Paraffin Block Trimmer,235,,Malawi HSSPIII Equipment Costing 2023,'Paraffin Block Trmmer'
PELCO BioWave Plot,236,,Malawi HSSPIII Equipment Costing 2023,
Stereo Microscopes,237,,Malawi HSSPIII Equipment Costing 2023,
Biological Microscopes,238,,Malawi HSSPIII Equipment Costing 2023,
"Centrifuge, Mini",239,,Malawi HSSPIII Equipment Costing 2023,"'Mini Centrifuges', 'Microfuge'"
Cell Tec Activation Filters,240,,Malawi HSSPIII Equipment Costing 2023,
UV pipette Carousel,241,,Malawi HSSPIII Equipment Costing 2023,'UV pippette Carousal'
Anti-shock garment,242,,Malawi HSSPIII Equipment Costing 2023,'anti-shock garmet'
Pulse oximeter,243,"Minor Surgery, Major Surgery, ICU",Malawi HSSPIII Equipment Costing 2023,
Lamination suction system,244,,Malawi HSSPIII Equipment Costing 2023,'Lamination sunction system'
Drilling machine,245,Major Surgery,Malawi HSSPIII Equipment Costing 2023,
Router machine,246,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Band saws,247,Major Surgery,Malawi HSSPIII Equipment Costing 2023,
Fume extractor,248,,Malawi HSSPIII Equipment Costing 2023,
Magnetic resonance imaging (MRI) ,249,,Malawi HSSPIII Equipment Costing 2023,
MRI quality control test kits,250,,Malawi HSSPIII Equipment Costing 2023,
"Racks, storage, set",251,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
"Chair, office",252,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,'Office chairs'
Biosafety Cabinet (Class II),253,,Malawi HSSPIII Equipment Costing 2023,
Incubator (O2),254,,Malawi HSSPIII Equipment Costing 2023,
Incubator (CO2),255,,Malawi HSSPIII Equipment Costing 2023,
Blood culture incubator,256,,Malawi HSSPIII Equipment Costing 2023,
Anaerobic Jars (AnO2) ,257,,Malawi HSSPIII Equipment Costing 2023,
