Naive (.csv)
============

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/healthsystem/priority_policies/ResourceFile_PriorityRanking_ALLPOLICIES/Naive.csv>`

====  =====================================================================  ==========  ==================  ==================  =====================  ======================
  28  Epi\_Childhood\_Bcg                                                             2                  -1                  -1                     -1                      -1
  29  Epi\_Childhood\_DtpHibHep                                                       2                  -1                  -1                     -1                      -1
  30  Epi\_Childhood\_MeaslesRubella                                                  2                  -1                  -1                     -1                      -1
  31  Epi\_Childhood\_Opv                                                             2                  -1                  -1                     -1                      -1
  32  Epi\_Childhood\_Pneumo                                                          2                  -1                  -1                     -1                      -1
  33  Epi\_Childhood\_Rota                                                            2                  -1                  -1                     -1                      -1
  34  Epi\_Pregnancy\_Td                                                              2                  -1                  -1                     -1                      -1
  35  Epilepsy\_Treatment\_Followup                                                   2                  -1                  -1                     -1                      -1
  36  Epilepsy\_Treatment\_Start                                                      2                  -1                  -1                     -1                      -1
  37  FirstAttendance\_NonEmergency                                                   2                  -1                  -1                     -1                      -1
  38  Hiv\_Prevention\_Circumcision                                                   2                  -1                  -1                     -1                      -1
  39  Hiv\_Prevention\_Infant                                                         2                  -1                  -1                     -1                      -1
  40  Hiv\_Prevention\_Prep                                                           2                  -1                  -1                     -1                      -1
  41  Hiv\_Test                                                                       2                  -1                  -1                     -1                      -1
  42  Hiv\_Test\_Selftest                                                             2                  -1                  -1                     -1                      -1
  43  Hiv\_Treatment                                                                  2                  -1                  -1                     -1                      -1
  44  Hiv\_PalliativeCare                                                             2                  -1                  -1                     -1                      -1
  45  DeliveryCare\_Basic                                                             2                  -1                  -1                     -1                      -1
  46  DeliveryCare\_Comprehensive                                                     2                  -1                  -1                     -1                      -1
  47  PostnatalCare\_Maternal                                                         2                  -1                  -1                     -1                      -1
  48  PostnatalCare\_Maternal\_Inpatient                                              2                  -1                  -1                     -1                      -1
  49  PostnatalCare\_Comprehensive                                                    2                  -1                  -1                     -1                      -1
  50  Malaria\_Prevention\_Iptp                                                       2                  -1                  -1                     -1                      -1
  51  Malaria\_Test                                                                   2                  -1                  -1                     -1                      -1
  52  Malaria\_Treatment                                                              2                  -1                  -1                     -1                      -1
  53  Malaria\_Treatment\_Complicated                                                 2                  -1                  -1                     -1                      -1
  54  Measles\_Treatment                                                              2                  -1                  -1                     -1                      -1
  55  PostnatalCare\_Neonatal                                                         2                  -1                  -1                     -1                      -1
  56  PostnatalCare\_Neonatal\_Inpatient                                              2                  -1                  -1                     -1                      -1
  57  OesophagealCancer\_Investigation                                                2                  -1                  -1                     -1                      -1
  58  OesophagealCancer\_PalliativeCare                                               2                  -1                  -1                     -1                      -1
  59  OesophagealCancer\_Treatment                                                    2                  -1                  -1                     -1                      -1
  60  OtherAdultCancer\_Investigation                                                 2                  -1                  -1                     -1                      -1
  61  OtherAdultCancer\_PalliativeCare                                                2                  -1                  -1                     -1                      -1
  62  OtherAdultCancer\_Treatment                                                     2                  -1                  -1                     -1                      -1
  63  PostnatalCare\_TreatmentForObstetricFistula                                     2                  -1                  -1                     -1                      -1
  64  ProstateCancer\_Investigation                                                   2                  -1                  -1                     -1                      -1
  65  ProstateCancer\_PalliativeCare                                                  2                  -1                  -1                     -1                      -1
  66  ProstateCancer\_Treatment                                                       2                  -1                  -1                     -1                      -1
  67  Rti\_AcutePainManagement                                                        2                  -1                  -1                     -1                      -1
  68  Rti\_BurnManagement                                                             2                  -1                  -1                     -1                      -1
  69  Rti\_FractureCast                                                               2                  -1                  -1                     -1                      -1
  70  Rti\_Imaging                                                                    2                  -1                  -1                     -1                      -1
  71  Rti\_MajorSurgeries                                                             2                  -1                  -1                     -1                      -1
  72  Rti\_MedicalIntervention                                                        2                  -1                  -1                     -1                      -1
  73  Rti\_MinorSurgeries                                                             2                  -1                  -1                     -1                      -1
  74  Rti\_OpenFractureTreatment                                                      2                  -1                  -1                     -1                      -1
  75  Rti\_ShockTreatment                                                             2                  -1                  -1                     -1                      -1
  76  Rti\_Suture                                                                     2                  -1                  -1                     -1                      -1
  77  Rti\_TetanusVaccine                                                             2                  -1                  -1                     -1                      -1
  78  Schisto\_Test                                                                   2                  -1                  -1                     -1                      -1
  79  Schisto\_MDA                                                                    2                  -1                  -1                     -1                      -1
  80  Schisto\_Treatment                                                              2                  -1                  -1                     -1                      -1
  81  Undernutrition\_Feeding                                                         2                  -1                  -1                     -1                      -1
  82  Tb\_Prevention\_Ipt                                                             2                  -1                  -1                     -1                      -1
  83  Tb\_Test\_Clinical                                                              2                  -1                  -1                     -1                      -1
  84  Tb\_Test\_Culture                                                               2                  -1                  -1                     -1                      -1
  85  Tb\_Test\_FollowUp                                                              2                  -1                  -1                     -1                      -1
  86  Tb\_Test\_Screening                                                             2                  -1                  -1                     -1                      -1
  87  Tb\_Test\_Xray                                                                  2                  -1                  -1                     -1                      -1
  88  Tb\_Treatment                                                                   2                  -1                  -1                     -1                      -1
  89  Tb\_PalliativeCare                                                              2                  -1                  -1                     -1                      -1
  90  CervicalCancer\_Screening\_VIA                                                  2                  -1                  -1                     -1                      -1
  91  CervicalCancer\_Screening\_Xpert                                                2                  -1                  -1                     -1                      -1
  92  CervicalCancer\_Presentation                                                    2                  -1                  -1                     -1                      -1
  93  CervicalCancer\_CINRemoval\_Cryotherapy                                         2                  -1                  -1                     -1                      -1
  94  CervicalCancer\_CINRemoval\_Thermoablation                                      2                  -1                  -1                     -1                      -1
  95  CervicalCancer\_Biopsy                                                          2                  -1                  -1                     -1                      -1
  96  CervicalCancer\_Treatment\_Start                                                2                  -1                  -1                     -1                      -1
  97  CervicalCancer\_Treatment\_PostTreatmentCheck                                   2                  -1                  -1                     -1                      -1
  98  CervicalCancer\_PalliativeCare                                                  2                  -1                  -1                     -1                      -1
  99  Undernutrition\_Feeding\_Supplementary                                          2                  -1                  -1                     -1                      -1
 100  Undernutrition\_Feeding\_Inpatient                                              2                  -1                  -1                     -1                      -1
 101  Undernutrition\_Feeding\_Outpatient                                             2                  -1                  -1                     -1                      -1
 102  Undernutrition\_GrowthMonitoring                                                2                  -1                  -1                     -1                      -1
 103  lowest\_priority\_considered                                                    2                  -1                  -1                     -1                      -1
====  =====================================================================  ==========  ==================  ==================  =====================  ======================
