Appt_Type_Code,Facility_Level,Officer_Category,Time_Taken_Mins
EstMedCom,1b,Pharmacy,2.0
EstNonCom,2,Clinical,5.0
EstNonCom,2,Nursing_and_Midwifery,10.5
EstNonCom,2,Pharmacy,3.0
EstNonCom,3,Clinical,14.0
EstNonCom,3,Nursing_and_Midwifery,10.0
EstNonCom,3,Pharmacy,2.4
EstNonCom,1a,Clinical,2.5
EstNonCom,1a,Nursing_and_Midwifery,8.75
EstNonCom,1a,Pharmacy,3.0
EstNonCom,1b,Clinical,5.0
EstNonCom,1b,Nursing_and_Midwifery,10.5
EstNonCom,1b,Pharmacy,3.0
FamPlan,2,Clinical,3.0
FamPlan,2,Nursing_and_Midwifery,24.0
FamPlan,1a,Clinical,1.5
FamPlan,1a,Nursing_and_Midwifery,23.0
FamPlan,1b,Clinical,3.0
FamPlan,1b,Nursing_and_Midwifery,26.0
IPAdmission,2,Clinical,42.0
IPAdmission,2,Nursing_and_Midwifery,39.0
IPAdmission,2,Pharmacy,9.5
IPAdmission,3,Clinical,16.5
IPAdmission,3,Nursing_and_Midwifery,20.0
IPAdmission,3,Pharmacy,5.0
IPAdmission,1a,Clinical,33.0
IPAdmission,1a,Nursing_and_Midwifery,24.0
IPAdmission,1a,Pharmacy,5.0
IPAdmission,1b,Clinical,42.0
IPAdmission,1b,Nursing_and_Midwifery,33.0
IPAdmission,1b,Pharmacy,10.0
InpatientDays,2,Clinical,13.0
InpatientDays,2,Nursing_and_Midwifery,36.0
InpatientDays,2,Pharmacy,5.5
InpatientDays,3,Clinical,20.0
InpatientDays,3,Nursing_and_Midwifery,40.0
InpatientDays,3,Pharmacy,2.0
InpatientDays,1a,Clinical,14.0
InpatientDays,1a,Nursing_and_Midwifery,21.5
InpatientDays,1a,Pharmacy,4.1
InpatientDays,1b,Clinical,16.0
InpatientDays,1b,Nursing_and_Midwifery,33.0
InpatientDays,1b,Pharmacy,5.5
LabBiochem,2,Laboratory,15.999999999999998
LabBiochem,3,Laboratory,16.0
LabBiochem,1a,Laboratory,16.0
LabBiochem,1b,Laboratory,16.0
LabCyto,2,Laboratory,18.0
LabCyto,3,Laboratory,18.0
LabCyto,1a,Laboratory,18.0
LabCyto,1b,Laboratory,18.0
LabHaem,2,Laboratory,15.0
LabHaem,3,Laboratory,15.0
LabHaem,1a,Laboratory,15.0
LabHaem,1b,Laboratory,15.0
LabMicrobio,2,Laboratory,22.0
LabMicrobio,3,Laboratory,22.0
LabMicrobio,1a,Laboratory,22.0
LabMicrobio,1b,Laboratory,22.0
LabMolec,2,Laboratory,20.0
LabMolec,3,Laboratory,20.0
LabMolec,1a,Laboratory,20.0
LabMolec,1b,Laboratory,20.0
LabPOC,2,Clinical,5.0
LabPOC,2,Nursing_and_Midwifery,5.0
LabPOC,3,Clinical,1.0
LabPOC,3,Nursing_and_Midwifery,9.0
LabPOC,1a,Clinical,5.0
LabPOC,1a,Nursing_and_Midwifery,5.0
LabPOC,1b,Clinical,5.0
LabPOC,1b,Nursing_and_Midwifery,5.0
LabParasit,2,Laboratory,15.999999999999998
LabParasit,3,Laboratory,16.0
LabParasit,1a,Laboratory,16.0
LabParasit,1b,Laboratory,16.0
LabSero,2,Laboratory,10.0
LabSero,3,Laboratory,10.0
LabSero,1a,Laboratory,10.0
LabSero,1b,Laboratory,10.0
LabTBMicro,2,Laboratory,17.0
LabTBMicro,3,Laboratory,17.0
LabTBMicro,1a,Laboratory,17.0
LabTBMicro,1b,Laboratory,17.0
LabTrans,2,Laboratory,15.0
LabTrans,3,Laboratory,15.0
LabTrans,1a,Laboratory,15.0
LabTrans,1b,Laboratory,15.0
MRI,2,Radiography,40.0
MRI,3,Radiography,40.0
MajorSurg,2,Clinical,360.0
MajorSurg,2,Nursing_and_Midwifery,180.0
MajorSurg,2,Pharmacy,4.0
MajorSurg,3,Clinical,362.0
MajorSurg,3,Nursing_and_Midwifery,172.0
MajorSurg,3,Pharmacy,10.0
MajorSurg,1b,Clinical,96.0
MajorSurg,1b,Nursing_and_Midwifery,96.0
MajorSurg,1b,Pharmacy,4.0
MaleCirc,2,Clinical,20.0
MaleCirc,2,Nursing_and_Midwifery,16.0
MaleCirc,1a,Clinical,18.75
MaleCirc,1a,Nursing_and_Midwifery,6.0
MaleCirc,1b,Clinical,37.5
MaleCirc,1b,Nursing_and_Midwifery,14.0
Mammography,3,Radiography,60.0
MentClinic,2,Mental,25.0
MentClinic,3,Mental,25.0
MentClinic,4,Mental,25.0
MentClinic,1b,Mental,25.0
MentOPD,2,Mental,15.0
MentOPD,3,Mental,15.0
MentOPD,4,Mental,15.0
MentOPD,1b,Mental,15.0
MinorSurg,2,Clinical,84.0
MinorSurg,2,Nursing_and_Midwifery,40.0
MinorSurg,2,Pharmacy,4.0
MinorSurg,3,Clinical,140.0
MinorSurg,3,Nursing_and_Midwifery,60.0
MinorSurg,3,Pharmacy,5.0
MinorSurg,1a,Clinical,4.0
MinorSurg,1a,Nursing_and_Midwifery,3.0
MinorSurg,1a,Pharmacy,2.0
MinorSurg,1b,Clinical,84.0
MinorSurg,1b,Nursing_and_Midwifery,64.0
MinorSurg,1b,Pharmacy,4.0
NewAdult,2,Clinical,54.75
NewAdult,2,Nursing_and_Midwifery,67.5
NewAdult,3,Clinical,12.0
NewAdult,3,Nursing_and_Midwifery,12.0
NewAdult,3,Pharmacy,1.45
NewAdult,1a,Clinical,47.25
NewAdult,1a,Nursing_and_Midwifery,45.0
NewAdult,1b,Clinical,58.5
NewAdult,1b,Nursing_and_Midwifery,67.5
NormalDelivery,2,Clinical,60.0
NormalDelivery,2,Nursing_and_Midwifery,156.0
NormalDelivery,2,Pharmacy,2.0
NormalDelivery,3,Nursing_and_Midwifery,118.0
NormalDelivery,3,Pharmacy,2.0
NormalDelivery,1a,Clinical,18.0
NormalDelivery,1a,Nursing_and_Midwifery,132.0
NormalDelivery,1a,Pharmacy,5.0
NormalDelivery,1b,Clinical,36.0
NormalDelivery,1b,Nursing_and_Midwifery,144.0
NormalDelivery,1b,Pharmacy,2.5
Over5OPD,2,Clinical,33.0
Over5OPD,2,Nursing_and_Midwifery,10.0
Over5OPD,2,Pharmacy,11.9
Over5OPD,3,Clinical,8.5
Over5OPD,3,Nursing_and_Midwifery,5.0
Over5OPD,3,Pharmacy,5.0
Over5OPD,1a,Clinical,27.0
Over5OPD,1a,Nursing_and_Midwifery,18.0
Over5OPD,1a,Pharmacy,9.45
Over5OPD,1b,Clinical,27.0
Over5OPD,1b,Nursing_and_Midwifery,18.0
Over5OPD,1b,Pharmacy,11.2
PMTCT,2,Clinical,5.0
PMTCT,2,Nursing_and_Midwifery,10.5
PMTCT,2,Pharmacy,3.0
PMTCT,3,Clinical,14.0
PMTCT,3,Nursing_and_Midwifery,10.0
PMTCT,3,Pharmacy,2.4
PMTCT,1a,Clinical,2.5
PMTCT,1a,Nursing_and_Midwifery,8.75
PMTCT,1a,Pharmacy,3.0
PMTCT,1b,Clinical,5.0
PMTCT,1b,Nursing_and_Midwifery,10.5
PMTCT,1b,Pharmacy,3.0
Peds,2,Clinical,5.0
Peds,2,Nursing_and_Midwifery,10.5
Peds,2,Pharmacy,3.0
Peds,3,Clinical,15.0
Peds,3,Nursing_and_Midwifery,15.0
Peds,3,Pharmacy,2.4
Peds,1a,Clinical,2.5
Peds,1a,Nursing_and_Midwifery,8.75
Peds,1a,Pharmacy,3.0
Peds,1b,Clinical,5.0
Peds,1b,Nursing_and_Midwifery,10.5
Peds,1b,Pharmacy,3.0
PharmDispensing,2,Pharmacy,5.0
PharmDispensing,3,Pharmacy,5.0
PharmDispensing,1a,Pharmacy,5.0
PharmDispensing,1b,Pharmacy,5.0
Radiotherapy,3,Radiography,30.0
STI,2,Clinical,11.0
STI,2,Nursing_and_Midwifery,3.0
STI,3,Clinical,10.0
STI,3,Nursing_and_Midwifery,20.0
STI,3,Pharmacy,1.7
STI,1a,Clinical,11.5
STI,1a,Nursing_and_Midwifery,2.5
STI,1a,Pharmacy,3.0
STI,1b,Clinical,11.0
STI,1b,Nursing_and_Midwifery,3.0
TBFollowUp,2,Clinical,8.0
TBFollowUp,2,Nursing_and_Midwifery,5.0
TBFollowUp,2,Pharmacy,2.0
TBFollowUp,1a,Clinical,11.0
TBFollowUp,1a,Nursing_and_Midwifery,3.0
TBFollowUp,1a,Pharmacy,4.0
TBFollowUp,1b,Clinical,8.0
TBFollowUp,1b,Nursing_and_Midwifery,5.0
TBFollowUp,1b,Pharmacy,2.0
TBNew,2,Clinical,20.5
TBNew,2,Nursing_and_Midwifery,20.0
TBNew,2,Pharmacy,7.5
TBNew,3,Clinical,4.5
TBNew,3,Pharmacy,3.5
TBNew,1a,Clinical,15.25
TBNew,1a,Nursing_and_Midwifery,8.75
TBNew,1a,Pharmacy,5.0
TBNew,1b,Clinical,20.5
TBNew,1b,Nursing_and_Midwifery,20.0
TBNew,1b,Pharmacy,7.5
Tomography,3,Radiography,20.0
U5Malnutr,2,Clinical,10.0
U5Malnutr,2,Nursing_and_Midwifery,9.0
U5Malnutr,2,Pharmacy,1.25
U5Malnutr,3,Clinical,5.1
U5Malnutr,3,Nursing_and_Midwifery,15.0
U5Malnutr,1a,Clinical,7.5
U5Malnutr,1a,Nursing_and_Midwifery,8.5
U5Malnutr,1a,Pharmacy,0.25
U5Malnutr,1b,Clinical,10.0
U5Malnutr,1b,Nursing_and_Midwifery,9.0
U5Malnutr,1b,Pharmacy,1.5
Ultrasound,2,Radiography,25.0
Ultrasound,3,Radiography,25.0
Ultrasound,1b,Radiography,25.0
Under5OPD,2,Clinical,28.0
Under5OPD,2,Nursing_and_Midwifery,16.0
Under5OPD,2,Pharmacy,6.0
Under5OPD,3,Clinical,10.6
Under5OPD,3,Nursing_and_Midwifery,7.0
Under5OPD,3,Pharmacy,5.0
Under5OPD,1a,Clinical,13.0
Under5OPD,1a,Nursing_and_Midwifery,6.7
Under5OPD,1a,Pharmacy,5.5
Under5OPD,1b,Clinical,32.0
Under5OPD,1b,Nursing_and_Midwifery,21.0
Under5OPD,1b,Pharmacy,5.0
VCTNegative,2,Nursing_and_Midwifery,20.0
VCTNegative,3,Nursing_and_Midwifery,20.0
VCTNegative,1a,Nursing_and_Midwifery,20.0
VCTNegative,1b,Nursing_and_Midwifery,20.0
VCTPositive,2,Nursing_and_Midwifery,35.0
VCTPositive,3,Nursing_and_Midwifery,35.0
VCTPositive,1a,Nursing_and_Midwifery,35.0
VCTPositive,1b,Nursing_and_Midwifery,35.0
