parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,
sens_xpert_smear_negative,0.68,universal,0,1,vague prior,,
sens_xpert_smear_positive,0.98,universal,0,1,vague prior,,
spec_xpert_smear_negative,0.99,universal,0,1,vague prior,,
spec_xpert_smear_positive,0.99,universal,0,1,vague prior,,
sens_sputum_smear_positive,1,universal,0,1,vague prior,,
spec_sputum_smear_positive,1,universal,0,1,vague prior,,
sens_clinical,0.209,universal,0.12,0.33,vague prior,,
spec_clinical,0.953,universal,0.92,0.97,vague prior,,
sens_xray_smear_negative,0.8,universal,0,1,vague prior,,
sens_xray_smear_positive,0.91,universal,0,1,vague prior,,
spec_xray_smear_negative,0.67,universal,0,1,vague prior,,
spec_xray_smear_positive,0.67,universal,0,1,vague prior,,
prob_tx_success_ds,0.837,local,0,1,vague prior,,
prob_tx_success_mdr,0.597,local,0,1,vague prior,,
prob_tx_success_0_4,0.94,local,0,1,vague prior,,
prob_tx_success_5_14,0.92,local,0,1,vague prior,,
rate_testing_general_pop,0.025,local,0,1,vague prior,,
ds_treatment_length,6,local,1,24,vague prior,,
ds_retreatment_length,8,local,1,24,vague prior,,
mdr_treatment_length,24,local,1,48,vague prior,,
prob_retained_ipt_6_months,0.9,local,0,1,vague prior,,
age_eligibility_for_ipt,5,local,0,20,vague prior,,
ipt_start_date,2014,local,2010,2030,vague prior,,
first_line_test,sputum,local,,,vague prior,,
second_line_test,xpert,local,,,vague prior,,
tb_healthseekingbehaviour_cap,5,local,1,20,vague prior,,
data_end,2022,local,2020,2030,vague prior,,
length_of_inpatient_stay_if_terminal,"[5,10]",local,"[0,1]","[1,30]",vague prior,,
type_of_scaleup,none,scenario,,,,,
scaleup_start_year,2025,scenario,2020,2040,vague prior,,
age_threshold_adult_years,15,local,10,20,vague prior,,
age_threshold_ipt_dispensation,2,local,0,10,vague prior,,
age_threshold_infant_years,5,local,3,10,vague prior,,
odds_ratio_health_seeking_adults_fatigue,5,local,0.01,100,vague prior,,
odds_ratio_health_seeking_children_fatigue,5,local,0.01,100,vague prior,,
odds_ratio_health_seeking_adults_night_sweats,5,local,0.01,100,vague prior,,
odds_ratio_health_seeking_children_night_sweats,5,local,0.01,100,vague prior,,
sensitivity_sputum_test_smear_negative,0,universal,0,1,vague prior,,
specificity_sputum_test_smear_negative,1,universal,0,1,vague prior,,
sensitivity_culture_test,1,universal,0,1,vague prior,,
specificity_culture_test,1,universal,0,1,vague prior,,
screening_scheduling_window_months,1,local,1,12,vague prior,,
ipt_scheduling_window_child_of_tb_mother_days,28,local,1,365,vague prior,,
hv_min_days_between_tests,7,local,1,365,vague prior,,
tb_min_days_between_tests,7,local,1,365,vague prior,,
xray_scheduling_weeks_level2,1,local,1,52,vague prior,,
TbActiveCasePoll_frequency_years,1,undetermined,1,5,design decision,,
TbActiveEvent_frequency_days,1,undetermined,1,5,design decision,,
TbRegularEvents_frequency_months,1,undetermined,1,12,design decision,,
relapse_early_late_cutoff_years,2,local,1,5,vague prior,,
ipt_reevaluate_continuation_frequency_months,6,local,1,24,vague prior,,
active_disease_duration_months,36,universal,1,120,vague prior,,
follow_up_interval_months,1,local,1,24,vague prior,,
treatment_retry_weeks,1,local,1,12,vague prior,,
death_timing_hiv_positive_min_months,1,universal,1,12,vague prior,,
death_timing_hiv_positive_max_months,5,universal,1,12,vague prior,,
death_timing_hiv_negative_min_months,1,universal,1,12,vague prior,,
death_timing_hiv_negative_max_months,6,universal,1,12,vague prior,,
prob_treatment_availability,0.6,local,0,1,vague prior,,
TbSelfCureEvent_frequency_months,12,undetermined,6,18,design decision,,
number_high_risk_contacts,5,local,1,15,vague prior,,
ipt_scheduling_delay_days_min,1,local,1,15,vague prior,,
ipt_scheduling_delay_days_max,14,local,10,20,vague prior,,
xpert_appointment_delay_days,1,local,1,15,vague prior,,
mdr_level2_appt_delay_days,1,local,1,15,vague prior,,
screening_appointment_window_days,14,local,1,30,vague prior,,
ipt_appointment_window_days,14,local,1,30,vague prior,,
max_duration_ipt_continued_treatment_months,36,local,1,15,vague prior,,
min_days_symptomatic_required_for_screening,14,local,1,30,vague prior,,
number_doses_3hp_per_dispensation,12,local,1,24,vague prior,,
number_doses_ipt_per_dispensation,182,local,1,365,vague prior,,
