Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
init_p_tob_f_age1519,"initial prevalence of tobacco use, female age1519",dhs 2015,
init_p_tob_f_age2039,"initial prevalence of tobacco use, female aged2039",dhs 2015,
init_p_tob_f_age40+,"initial prevalence of tobacco use, female aged40+",dhs 2015,
init_p_ex_alc_m,initial prevalence of excess alcohol in men,WHO 2014 report http://www.who.int/substance_abuse/publications/global_alcohol_report/msb_gsr_2014_2.pdf?ua=1,
init_p_ex_alc_f,intial prevalence of excess alcohol in women,WHO 2014 report http://www.who.int/substance_abuse/publications/global_alcohol_report/msb_gsr_2014_2.pdf?ua=1,
init_p_low_ex_f_rural,"initial prevalence of low exercise - female, rural",Msyamboza et al; 2011; WHO STEPS,
init_p_wealth_rural,List of probabilities of category given rural,dhs 2015,
init_dist_mar_stat_age1520,"proportions never, current, div_wid age 15-20 baseline",dhs 2015,
init_dist_mar_stat_age2030,"proportions never, current, div_wid age 20-30 baseline",dhs 2015,
init_dist_mar_stat_age3040,"proportions never, current, div_wid age 30-40 baseline",dhs 2015,
init_dist_mar_stat_age4050,"proportions never, current, div_wid age 40-50 baseline",dhs 2015,
init_dist_mar_stat_age5060,"proportions never, current, div_wid age 50-60 baseline",dhs 2015,
init_dist_mar_stat_agege60,"proportions never, current, div_wid age ge 60 baseline",dhs 2015,
init_age2030_w5_some_ed,proportions of low wealth 20-30 year olds with some education at baseline,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_age0513,relative prevalence of some education at baseline age 5-13,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_age1320,relative prevalence of some education at baseline age 13-20,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_age2030,relative prevalence of some education at baseline age 20-30,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_age3040,relative prevalence of some education at baseline age 30-40,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_age4050,relative prevalence of some education at baseline age 40-50,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_age5060,relative prevalence of some education at baseline age 50-60,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_agege60,relative prevalence of some education at baseline age age 60+,inferred from DHS 2015 data (see diagram to right),"'init_rp_some_ed_agege60': Parameter(Types.REAL, 'relative prevalence of some education at baseline age age 60+'),"
init_rp_some_ed_per_higher_wealth,relative prevalence of some education at baseline per higher wealth level,inferred from DHS 2015 data (see diagram to right),
init_prop_age2030_w5_some_ed_sec,proportion of low wealth aged 20-30 with some education who have secondary education at baseline,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_sec_age1320,relative prevalence of secondary education age 15-20,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_sec_age3040,relative prevalence of secondary education age 30-40,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_sec_age4050,relative prevalence of secondary education age 40-50,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_sec_age5060,relative prevalence of secondary education age 50-60,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_sec_agege60,relative prevalence of secondary education age 60+,inferred from DHS 2015 data (see diagram to right),
init_rp_some_ed_sec_per_higher_wealth,relative prevalence of secondary education per higher wealth level,inferred from DHS 2015 data (see diagram to right),
init_p_bmi_urban_m_not_high_sugar_age1529_not_tob_wealth1,"initial probabilities of bmi categories for urban men age 15-29 not using tobacco, not high sugar and wealth level 1",informed by Price et al 2018,
init_or_higher_bmi_f,odds ratio for higher initial bmi category if female ,informed by Price et al 2018,
init_or_higher_bmi_rural,odds ratio for higher initial bmi category if rural ,informed by Price et al 2018,
init_or_higher_bmi_high_sugar,odds ratio for higher initial bmi category if high sugar,informed by Price et al 2018,
init_or_higher_bmi_age3049,odds ratio for higher initial bmi category if age 30-49,informed by Price et al 2018,
init_or_higher_bmi_agege50,odds ratio for higher initial bmi category if age 50+,informed by Price et al 2018,
init_or_higher_bmi_tob,odds ratio for higher initial bmi category if using tobacco,informed by Price et al 2018,
init_or_higher_bmi_per_higher_wealth_level,odds ratio for higher initial bmi category per higher wealth level,informed by Price et al 2018,
init_p_high_sugar,initial probability of high sugar intake,informed by Price et al 2018,
init_p_high_salt_urban,initial probability of high salt intake if urban,informed by Price et al 2018,
init_or_high_salt_rural,rate ratio for high salt intake if rural,informed by Price et al 2018,
r_urban,probability per 3 months of change from rural to urban,rate low  given small change between 2010 and 2015 DHS,
r_rural,probability per 3 months of change from urban to rural,"assumed negligible, given trends in successive DHS",
r_low_ex,probability per 3 months of change from not low exercise to low exercise,rate combined with relative rates below leads to prevalence by gender and urban/rural consistent with prevalence at baseline,
r_not_low_ex,probability per 3 months of change from low exercise to not low exercise,currently assumed negligible - will be raised by interventions to increase exercise,
rr_low_ex_f,risk ratio for becoming low exercise if female rather than male,relative rate combined with rates above leads to prevalence by gender and urban/rural consistent with prevalence at baseline,
rr_low_ex_urban,risk ratio for becoming low exercise if urban rather than rural,relative rate combined with rates above leads to prevalence by gender and urban/rural consistent with prevalence at baseline,
r_tob,probability per 3 months of change from not using tobacco to using tobacco if male age 15-19 wealth level 1,"rates chosen to be consistent with baseline prevalence by age and gender, based on DHS",
r_not_tob,probability per 3 months of change from tobacco using to not tobacco using,assumed no quiting but interventions against tobacco will alter this,
rr_tob_age2039,risk ratio for tobacco using if age 20-39 compared with 15-19,effects inferred from DHS 2015,
rr_tob_agege40,risk ratio for tobacco using if age >= 40 compared with 15-19,effects inferred from DHS 2015,
rr_tob_f,risk ratio for tobacco using if female,effects inferred from DHS 2015,
rr_tob_wealth,risk ratio for tobacco using per 1 higher wealth level  (higher wealth level = lower wealth),effects inferred from DHS 2015,
r_ex_alc,probability per 3 months of change from not excess alcohol to excess alcohol ,rate informed by that requried to lead to prevalemce in WHO 2014 report ,
r_not_ex_alc,probability per 3 months of change from excess alcohol to  not excess alcohol,assume no transition to no excess alcohol - interventions might change this,
rr_ex_alc_f,risk ratio for becoming excess alcohol if female rather than male,rate informed by that requried to lead to prevalemce in WHO 2014 report ,
r_mar,probability per 3 months of marriage when age 15-30,"rates consistent with prevalence of marriage, widowed/divorced",
r_div_wid,probability per 3 months of becoming divorced or widowed amongst those married,"rates consistent with prevalence of marriage, widowed/divorced",
r_stop_ed,probabilities per 3 months of stopping education once in secondary education if wealth level 5,these rates chosen to calibrate approximately to patterns in DHS 2015 (see diagram),
rr_stop_ed_lower_wealth,relative rate of stopping education per 1 lower wealth quintile,these rates chosen to calibrate approximately to patterns in DHS 2015 (see diagram),
p_ed_primary,probability at age 5 that start primary education if wealth level 5,these rates chosen to calibrate approximately to patterns in DHS 2015 (see diagram),
rp_ed_primary_higher_wealth,relative probability of starting school per 1 higher wealth level,these rates chosen to calibrate approximately to patterns in DHS 2015 (see diagram),
p_ed_secondary,probability at age 13 that start secondary education at 13 if in primary education and wealth level 5,these rates chosen to calibrate approximately to patterns in DHS 2015 (see diagram),
rp_ed_secondary_higher_wealth,relative probability of starting secondary school per 1 higher wealth level,these rates chosen to calibrate approximately to patterns in DHS 2015 (see diagram),
r_improved_sanitation,probability per 3 months of change from unimproved_sanitation true to false,low rates plcae-holder until evidence of any substantive transition emerges,
r_clean_drinking_water,probability per 3 months of change from drinking_water true to false,low rates plcae-holder until evidence of any substantive transition emerges,
r_non_wood_burn_stove,probability per 3 months of change from wood_burn_stove true to false,low rates plcae-holder until evidence of any substantive transition emerges,
r_access_handwashing,probability per 3 months of change from no_access_handwashing true to false ,low rates plcae-holder until evidence of any substantive transition emerges,
r_higher_bmi,rate of higher bmi category if in category 1-4 and rural male age 15-29 not tobacco wealth 1 not high sugar,informed by Price et al 2018,
rr_higher_bmi_urban,rate ratio for higher bmi if urban,informed by Price et al 2018,
rr_higher_bmi_f,rate ratio for higher bmi if female,informed by Price et al 2018,
rr_higher_bmi_age3049,rate ratio for higher bmi if age 30-49,informed by Price et al 2018,
rr_higher_bmi_agege50,rate ratio for higher bmi if age 50+,informed by Price et al 2018,
rr_higher_bmi_tob,rate ratio for higher bmi if tobacco smoker,informed by Price et al 2018,
rr_higher_bmi_per_higher_wealth,rate ratio for higher bmi per higher wealth,,
rr_higher_bmi_high_sugar,rate ratio for higher bmi if high sugar intake,informed by Price et al 2018,
r_lower_bmi,rate of lower bmi if not tobacco ,informed by Price et al 2018,
rr_lower_bmi_tob,rate ratio for lower bmi if use tobacco,informed by Price et al 2018,
rr_lower_bmi_pop_advice_weight,rate ratio for lower bmi if exposed to population intervention on weight loss,,
r_high_salt_urban,rate of becoming high salt intake if urban,informed by Price et al 2018,
rr_high_salt_rural,rate ratio of high salt intake if rural,informed by Price et al 2018,
r_not_high_salt,rate of becoming not high salt intake,informed by Price et al 2018,
rr_not_high_salt_pop_advice_salt,rate ratio of not high salt intake if exposed to population intervention on salt reduction,,
r_high_sugar,rate of becoming high sugar intake,informed by Price et al 2018,
r_not_high_sugar,rate of becoming not high sugar intake,informed by Price et al 2018,
rr_not_high_sugar_pop_advice_sugar,rate ratio for not high sugar intake if exposed to population advice on sugar reduction,,
rr_not_low_ex_pop_advice_exercise,TODO: value for this,,
rr_not_ex_alc_pop_advice_alcohol,TODO: value for this,,
