ADMIN1,District,Year,Endemicity,MDA_scheme,PopReq_SAC,PopTrg_SAC,PopTreat_SAC,Cov_SAC,EpiCov_SAC,PopReq_Adults,PopTrg_Adults,PopTreat_Adults,Cov_Adults,EpiCov_Adults,PopReq_Total,PopTrg_Total,PopTreat_Total,Cov_Total,EpiCov_Total,Cov_PSAC,EpiCov_PSAC,param_label
Northern,Mzimba,2021,Moderate prevalence (10%-49%),Not delivered,185828,0,0,0,0,141584,0,0,0,0,327412,0,0,0,0,0,0,calibration data
Central,Lilongwe City,2021,Moderate prevalence (10%-49%),Not delivered,423022,0,0,0,0,322302,0,0,0,0,745324,0,0,0,0,0,0,calibration data
Southern,Blantyre City,2021,Moderate prevalence (10%-49%),Not delivered,198036,0,0,0,0,150884,0,0,0,0,348920,0,0,0,0,0,0,calibration data
Northern,Mzuzu City,2021,Moderate prevalence (10%-49%),Not delivered,185828,0,0,0,0,141584,0,0,0,0,327412,0,0,0,0,0,0,calibration data
Southern,Zomba City,2021,High prevalence (50% and above),PZQ,270086,199982,147885,0.7395,0.5475,514449,230679,151801,0.6581,0.2951,784535,430661,299686,0.6959,0.382,0,0,calibration data
Central,Dedza,2020,High prevalence (50% and above),PZQ+ALB/MBD,258035,182352,158032,0.8666,0.6124,491496,172807,155205,0.8981,0.3158,749531,355159,313237,0.882,0.4179,0,0,calibration data
Central,Dowa,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,120718,140893,124134,0.8811,1.0283,91976,0,0,0,0,212694,140893,124134,0.8811,0.5836,0,0,calibration data
Central,Kasungu,2020,High prevalence (50% and above),PZQ+ALB/MBD,262411,199405,174530,0.8753,0.6651,499830,499830,1964,0.0039,0.0039,762241,199405,176494,0.8851,0.2315,0,0,calibration data
Central,Lilongwe,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,412061,397773,348507,0.8761,0.8458,313951,0,0,0,0,726012,397773,348507,0.8761,0.48,0,0,calibration data
Central,Mchinji,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,93384,172324,147757,0.8574,1.5822,71150,71150,15,0.0002,0.0002,164534,172324,147772,0.8575,0.8981,0,0,calibration data
Central,Nkhotakota,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,61382,66601,59887,0.8992,0.9756,46767,109474,105793,0.9664,2.2621,108149,176075,165680,0.941,1.532,0,0,calibration data
Central,Ntcheu,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,103468,117311,100026,0.8527,0.9667,78832,0,0,0,0,182300,117311,100026,0.8527,0.5487,0,0,calibration data
Central,Ntchisi,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,49929,81919,70209,0.8571,1.4062,38041,0,0,0,0,87970,81919,70209,0.8571,0.7981,0,0,calibration data
Central,Salima,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,75180,129508,114813,0.8865,1.5272,57280,0,0,0,0,132460,129508,114813,0.8865,0.8668,0,0,calibration data
Likoma,Likoma,2020,High prevalence (50% and above),Not delivered,4531,0,0,0,0,8631,0,0,0,0,13162,0,0,0,0,0,0,calibration data
Northern,Chitipa,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,36495,56137,52570,0.9365,1.4405,27806,27806,62,0.0022,0.0022,64301,56137,52632,0.9376,0.8185,0,0,calibration data
Northern,Karonga,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,57148,60563,41687,0.6883,0.7295,43542,43542,56,0.0013,0.0013,100690,60563,41743,0.6892,0.4146,0,0,calibration data
Northern,Nkhata Bay,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,44398,50895,37626,0.7393,0.8475,33827,0,0,0,0,78224,50895,37626,0.7393,0.481,0,0,calibration data
Northern,Rumphi,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,35808,43650,36456,0.8352,1.0181,27282,0,0,0,0,63090,43650,36456,0.8352,0.5778,0,0,calibration data
Southern,Balaka,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,68632,81499,64876,0.796,0.9453,52291,0,0,0,0,120923,81499,64876,0.796,0.5365,0,0,calibration data
Southern,Blantyre,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,192904,232402,207456,0.8927,1.0754,146975,146975,3,0,0,339880,232402,207459,0.8927,0.6104,0,0,calibration data
Southern,Chikwawa,2020,High prevalence (50% and above),PZQ+ALB/MBD,174422,151836,118665,0.7815,0.6803,332232,238536,142888,0.599,0.4301,506654,390372,261553,0.67,0.5162,0,0,calibration data
Southern,Chiradzulu,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,54687,88014,71984,0.8179,1.3163,41666,89776,62559,0.6968,1.5014,96353,177790,134543,0.7568,1.3963,0,0,calibration data
Southern,Machinga,2020,High prevalence (50% and above),PZQ+ALB/MBD,233413,137309,134050,0.9763,0.5743,444596,7903,7503,0.9494,0.0169,678009,145212,141553,0.9748,0.2088,0,0,calibration data
Southern,Mangochi,2020,High prevalence (50% and above),PZQ+ALB/MBD,362443,129652,115607,0.8917,0.319,690368,270560,228221,0.8435,0.3306,1052811,400212,343828,0.8591,0.3266,0,0,calibration data
Southern,Mulanje,2020,High prevalence (50% and above),PZQ+ALB/MBD,211722,217818,186909,0.8581,0.8828,403280,445231,377636,0.8482,0.9364,615002,663049,564545,0.8514,0.918,0,0,calibration data
Southern,Mwanza,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,20580,35378,30825,0.8713,1.4978,15681,175783,0,0,0,36261,211161,30825,0.146,0.8501,0,0,calibration data
Southern,Neno,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,21316,33880,29228,0.8627,1.3711,16241,16241,9,0.0006,0.0006,37558,33880,29237,0.863,0.7785,0,0,calibration data
Southern,Nsanje,2020,High prevalence (50% and above),PZQ+ALB/MBD,91688,87266,80343,0.9207,0.8763,174644,98169,84287,0.8586,0.4826,266332,185435,164630,0.8878,0.6181,0,0,calibration data
Southern,Phalombe,2020,High prevalence (50% and above),PZQ+ALB/MBD,133948,97166,82651,0.8506,0.617,255138,0,0,0,0,389086,97166,82651,0.8506,0.2124,0,0,calibration data
Southern,Thyolo,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,110338,56300,48761,0.8661,0.4419,84068,291633,209509,0.7184,2.4921,194406,347933,258270,0.7423,1.3285,0,0,calibration data
Southern,Zomba,2020,High prevalence (50% and above),PZQ+ALB/MBD,263088,144740,124185,0.858,0.472,501119,501119,120911,0.2413,0.2413,764207,144740,245096,1.6934,0.3207,0,0,calibration data
Northern,Mzimba,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,181013,210941,183315,0.8676,1.3445,137915,110384,7522,0.03405,0.03405,318928,210941,190837,0.89625,0.77785,0,0,calibration data
Central,Lilongwe City,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,412061,397773,348507,0.8761,0.8458,313951,0,0,0,0,726012,397773,348507,0.8761,0.48,0,0,calibration data
Southern,Blantyre City,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,192904,232402,207456,0.8927,1.0754,146975,146975,3,0,0,339880,232402,207459,0.8927,0.6104,0,0,calibration data
Northern,Mzuzu City,2020,Moderate prevalence (10%-49%),PZQ+ALB/MBD,181013,210941,183315,0.8676,1.3445,137915,110384,7522,0.03405,0.03405,318928,210941,190837,0.89625,0.77785,0,0,calibration data
Southern,Zomba City,2020,High prevalence (50% and above),PZQ+ALB/MBD,263088,144740,124185,0.858,0.472,501119,501119,120911,0.2413,0.2413,764207,144740,245096,1.6934,0.3207,0,0,calibration data
Central,Dedza,2019,High prevalence (50% and above),PZQ+ALB/MBD,251007,233765,214698,0.9184,0.8553,478109,51485,40055,0.778,0.0838,729116,285250,254753,0.8931,0.3494,0,0,calibration data
Central,Dowa,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,117088,164596,111564,0.6778,0.9528,89210,57401,33089,0.5765,0.3709,206299,221997,144653,0.6516,0.7012,0,0,calibration data
Central,Kasungu,2019,High prevalence (50% and above),PZQ+ALB/MBD,255015,272831,241230,0.8842,0.9459,485743,49141,46907,0.9545,0.0966,740758,321972,288137,0.8949,0.389,0,0,calibration data
Central,Lilongwe,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,398898,645615,502491,0.7783,1.2597,303922,144766,118705,0.82,0.3906,702820,790381,621196,0.7859,0.8839,0,0,calibration data
Central,Mchinji,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,90930,169764,139923,0.8242,1.5388,69280,26304,22388,0.8511,0.3232,160209,196068,162311,0.8278,1.0131,0,0,calibration data
Central,Nkhotakota,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,59768,119172,102577,0.8607,1.7163,45538,41575,37253,0.896,0.8181,105306,160747,139830,0.8699,1.3278,0,0,calibration data
Central,Ntcheu,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,100162,179820,140604,0.7819,1.4038,76314,33001,27029,0.819,0.3542,176476,212821,167633,0.7877,0.9499,0,0,calibration data
Central,Ntchisi,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,48240,73241,63680,0.8695,1.3201,36755,11999,10200,0.8501,0.2775,84995,85240,73880,0.8667,0.8692,0,0,calibration data
Central,Salima,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,72708,138350,109322,0.7902,1.5036,55396,34541,25803,0.747,0.4658,128104,172891,135125,0.7816,1.0548,0,0,calibration data
Likoma,Likoma,2019,High prevalence (50% and above),PZQ+ALB/MBD,4399,3921,3639,0.9281,0.8272,8379,1159,1003,0.8654,0.1197,12778,5080,4642,0.9138,0.3633,0,0,calibration data
Northern,Chitipa,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,35501,77443,74849,0.9665,2.1084,27049,13503,13506,1.0002,0.4993,62550,90946,88355,0.9715,1.4126,0,0,calibration data
Northern,Karonga,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,55376,209456,175830,0.8395,3.1752,42191,25971,27205,1.0475,0.6448,97567,235427,203035,0.8624,2.081,0,0,calibration data
Northern,Nkhata Bay,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,43188,84033,61507,0.7319,1.4242,32905,14572,10870,0.746,0.3303,76093,98605,72377,0.734,0.9512,0,0,calibration data
Northern,Rumphi,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,34731,65734,58164,0.8848,1.6747,26462,12394,10801,0.8715,0.4082,61193,78128,68965,0.8827,1.127,0,0,calibration data
Southern,Balaka,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,66504,140434,110250,0.7851,1.6578,50670,27836,22654,0.8138,0.4471,117174,168270,132904,0.7898,1.1342,0,0,calibration data
Southern,Blantyre,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,188384,344071,313260,0.9105,1.6629,143530,66145,57694,0.8722,0.402,331914,410216,370954,0.9043,1.1176,0,0,calibration data
Southern,Chikwawa,2019,High prevalence (50% and above),Not delivered,170167,0,0,0,0,324129,0,0,0,0,494296,0,0,0,0,0,0,calibration data
Southern,Chiradzulu,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,53562,103171,91132,0.8833,1.7014,40809,23008,20208,0.8783,0.4952,94371,126179,111340,0.8824,1.1798,0,0,calibration data
Southern,Machinga,2019,High prevalence (50% and above),PZQ+ALB/MBD,224651,211200,193181,0.9147,0.8599,427907,51329,47169,0.919,0.1102,652558,262529,240350,0.9155,0.3683,0,0,calibration data
Southern,Mangochi,2019,High prevalence (50% and above),PZQ+ALB/MBD,349849,290572,198792,0.6841,0.5682,666378,85963,65524,0.7622,0.0983,1016227,376535,264316,0.702,0.2601,0,0,calibration data
Southern,Mulanje,2019,High prevalence (50% and above),PZQ+ALB/MBD,206357,214642,184714,0.8606,0.8951,393061,32824,27897,0.8499,0.071,599418,247466,212611,0.8592,0.3547,0,0,calibration data
Southern,Mwanza,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,19904,43765,37786,0.8634,1.8984,15165,13597,11986,0.8815,0.7904,35069,57362,49772,0.8677,1.4193,0,0,calibration data
Southern,Neno,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,20816,46670,41758,0.8948,2.006,15860,9911,8508,0.8584,0.5364,36677,56581,50266,0.8884,1.3705,0,0,calibration data
Southern,Nsanje,2019,High prevalence (50% and above),Not delivered,89803,0,0,0,0,171053,0,0,0,0,260856,0,0,0,0,0,0,calibration data
Southern,Phalombe,2019,High prevalence (50% and above),PZQ+ALB/MBD,130046,137482,115978,0.8436,0.8918,247707,21590,13246,0.6135,0.0535,377753,159072,129224,0.8124,0.3421,0,0,calibration data
Southern,Thyolo,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,108175,206740,174511,0.8441,1.6132,82419,38367,31566,0.8227,0.383,190594,245107,206077,0.8408,1.0812,0,0,calibration data
Southern,Zomba,2019,High prevalence (50% and above),PZQ+ALB/MBD,256671,246481,213183,0.8649,0.8306,488897,47018,40834,0.8685,0.0835,745568,293499,254017,0.8655,0.3407,0,0,calibration data
Northern,Mzimba,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,175491,336320,281500,0.84235,2.34655,133707,64430,55961,0.8752,0.6192,309197,400750,337461,0.84765,1.59955,0,0,calibration data
Central,Lilongwe City,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,398898,645615,502491,0.7783,1.2597,303922,144766,118705,0.82,0.3906,702820,790381,621196,0.7859,0.8839,0,0,calibration data
Southern,Blantyre City,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,188384,344071,313260,0.9105,1.6629,143530,66145,57694,0.8722,0.402,331914,410216,370954,0.9043,1.1176,0,0,calibration data
Northern,Mzuzu City,2019,Moderate prevalence (10%-49%),PZQ+ALB/MBD,175491,336320,281500,0.84235,2.34655,133707,64430,55961,0.8752,0.6192,309197,400750,337461,0.84765,1.59955,0,0,calibration data
Southern,Zomba City,2019,High prevalence (50% and above),PZQ+ALB/MBD,256671,246481,213183,0.8649,0.8306,488897,47018,40834,0.8685,0.0835,745568,293499,254017,0.8655,0.3407,0,0,calibration data
Central,Dedza,2018,High prevalence (50% and above),PZQ+ALB/MBD,213320,239030,226667,0.9483,1.0626,412778,117709,111870,0.9504,0.271,626098,356739,338537,0.949,0.5407,0,0,calibration data
Central,Dowa,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,107189,201920,171544,0.8496,1.6004,82965,125085,97849,0.7823,1.1794,190154,327005,269393,0.8238,1.4167,0,0,calibration data
Central,Kasungu,2018,High prevalence (50% and above),PZQ+ALB/MBD,232717,325162,265355,0.8161,1.1402,450312,300674,259669,0.8636,0.5766,683029,625836,525024,0.8389,0.7687,0,0,calibration data
Central,Lilongwe,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,372340,765439,635446,0.8302,1.7066,288194,245881,220174,0.8954,0.764,660534,1011320,855620,0.846,1.2953,0,0,calibration data
Central,Mchinji,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,83294,156887,130482,0.8317,1.5665,64470,23159,19049,0.8225,0.2955,147764,180046,149531,0.8305,1.012,0,0,calibration data
Central,Nkhotakota,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,55968,119286,101203,0.8484,1.8082,43320,64573,57475,0.8901,1.3268,99288,183859,158678,0.863,1.5982,0,0,calibration data
Central,Ntcheu,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,83636,181721,152187,0.8375,1.8196,64735,40518,35209,0.869,0.5439,148371,222239,187396,0.8432,1.263,0,0,calibration data
Central,Ntchisi,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,42324,165776,144559,0.872,3.4155,32759,24593,20383,0.8288,0.6222,75083,190369,164942,0.8664,2.1968,0,0,calibration data
Central,Salima,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,61637,139968,107538,0.7683,1.7447,47707,114432,89978,0.7863,1.886,109344,254400,197516,0.7764,1.8064,0,0,calibration data
Likoma,Likoma,2018,High prevalence (50% and above),Not delivered,3056,0,0,0,0,5914,0,0,0,0,8970,0,0,0,0,0,0,calibration data
Northern,Chitipa,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,31680,60129,55932,0.9302,1.7656,24520,58998,42995,0.7288,1.7535,56200,119127,98927,0.8304,1.7603,0,0,calibration data
Northern,Karonga,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,49732,105333,93291,0.8857,1.8759,38493,59869,49991,0.835,1.2987,88226,165202,143282,0.8673,1.624,0,0,calibration data
Northern,Nkhata Bay,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,39744,81201,65798,0.8103,1.6556,30762,41296,33154,0.8028,1.0778,70505,122497,98952,0.8078,1.4035,0,0,calibration data
Northern,Rumphi,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,30478,64335,59038,0.9177,1.9371,23590,29899,26643,0.8911,1.1294,54068,94234,85681,0.9092,1.5847,0,0,calibration data
