parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,
rr_pph_ua_diabetes,"[1.22, 1.22]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
prob_pph_retained_placenta,"[0.001, 0.0016]",undetermined,"[0, 0]","[1, 1]",calibration,,
prob_pph_other_causes,"[0.0007, 0.001]",undetermined,"[0, 0]","[1, 1]",calibration,,
cfr_pp_pph,"[0.22, 0.08]",undetermined,"[0, 0]","[1, 1]",calibration,,
rr_death_from_haem_with_anaemia,"[1.5, 1.5]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
,,,,,,,
odds_deliver_in_health_centre,"[0.69, 1.08]",undetermined,"[0.01, 0.01]","[100, 100]",calibration,,
rrr_hc_delivery_age_20_24,"[0.79, 1]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_age_25_29,"[0.5, 0.56]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_age_30_34,"[0.27, 0.32]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_age_35_39,"[0.13, 0.14]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_age_40_44,"[0.06, 0.07]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_age_45_49,"[0.02, 0.03]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_wealth_4,"[0.82, 0.79]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_wealth_3,"[0.77, 0.73]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_wealth_2,"[0.62, 0.58] ",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_wealth_1,"[0.55, 0.43]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_parity_3_to_4,"[2, 1.85]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_parity_>4,"[3.9, 3.8]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_rural,"[1.99, 1.81]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hc_delivery_married,"[1.3, 1.42]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
,,,,,,,
odds_deliver_at_home,"[0.37, 0.09]",undetermined,"[0.01, 0.01]","[100, 100]",calibration,,
rrr_hb_delivery_age_20_24,"[1.42, 1]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_age_25_29,"[1, 0.58]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_age_30_34,"[0.42, 0.25]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_age_35_39,"[0.24, 0.16] ",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_age_40_44,"[0.12, 0.07] ",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_age_45_49,"[0.05, 0.04] ",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_rural,"[1.73, 1] ",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_primary_education,"[0.76, 0.79] ",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_secondary_education,"[0.46, 0.51]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_wealth_4,"[0.82, 0.74]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_wealth_3,"[0.72, 0.68]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_wealth_2,"[0.41, 0.49] ",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_wealth_1,"[0.2, 0.17]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_parity_3_to_4,"[2.4, 1]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_parity_>4,"[5.25, 1]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
rrr_hb_delivery_married,"[0.63, 1]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
,,,,,,,
probability_delivery_hospital,"[0.32, 0.40]",undetermined,"[0, 0]","[1, 1]",calibration,,
,,,,,,,
prob_careseeking_for_complication,"[0.782, 0.782]",local,"[0, 0]","[1, 1]",vague prior,"Chinkhumba, J. et al. (2017) �Household costs and time to seek care for pregnancy related complications: The role of results-based financing�, PLOS ONE. Public Library of Science, 12(9), p. e0182326. doi: 10.1371/JOURNAL.PONE.0182326.","Chinkhumba, J. et al. (2017) �Household costs and time to seek care for pregnancy related complications: The role of results-based financing�, PLOS ONE. Public Library of Science, 12(9), p. e0182326. doi: 10.1371/JOURNAL.PONE.0182326."
prob_careseeking_for_complication_pn,"[0.782, 0.782]",local,"[0, 0]","[1, 1]",vague prior,,
test_care_seeking_probs,"[[0.33, 0.33, 0.34], [0.33, 0.33, 0.34]] ",scenario,"[[0, 0, 0], [1, 1, 1]] ",N/A,vague prior,,
,,,,,,,
prob_timings_pnc,"[[0.85, 0.15], [0.88, 0.12]]",undetermined,"[[0, 0], [0, 0]]","[[1, 1], [1, 1]]",calibration,,
odds_will_attend_pnc,"[0.9, 0.9]",undetermined,"[0.01, 0.01]","[100, 100]",calibration,,
or_pnc_age_30_35,"[1.75, 1.75]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
or_pnc_age_>35,"[1.86, 1.86]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
or_pnc_rural,"[0.55, 0.55]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
or_pnc_wealth_level_1,"[0.72, 0.72]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
or_pnc_anc4+,"[1.2 , 1.2]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
or_pnc_caesarean_delivery,"[1.93, 1.93] ",local,"[0.01, 0.01]","[100, 100]",vague prior,,
or_pnc_facility_delivery,"[1.91, 1.91]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
or_pnc_parity_>4,"[0.03, 0.03]",local,"[0.01, 0.01]","[100, 100]",vague prior,,
probs_of_attending_pn_event_by_day,"[[0.4, 0.3, 0.2, 0.05, 0.05], [0.4, 0.3, 0.2, 0.05, 0.05]]",local,N/A,N/A,vague prior,,
,,,,,,,
prob_delivery_modes_ec,"[[0,  0, 1], [0,  0, 1]]",local,"[[0, 0, 0], [0, 0, 0]]","[[1, 1, 1], [1, 1, 1]]",vague prior,,
prob_delivery_modes_spe,"[[0.05,  0.05, 0.9], [0.05,  0.05, 0.9]]",local,"[[0, 0, 0], [0, 0, 0]]","[[1, 1, 1], [1, 1, 1]]",vague prior,,
residual_prob_avd,"[0.128, 0.128]",undetermined,"[0, 0]","[1, 1]",calibration,,
residual_prob_caesarean,"[0.0188, 0.022]",undetermined,"[0, 0]","[1, 1]",calibration,,
prob_adherent_ifa,"[0.37, 0.34]",local,"[0, 0]","[1, 1]",vague prior,,
effect_of_ifa_for_resolving_anaemia,"[0.7, 0.7]",universal,"[0, 0]","[1, 1]",vague prior,,
number_ifa_tablets_required_postnatally,"[93, 93]",local,"[1, 1]","[365, 365]",vague prior,,
treatment_effect_maternal_infection_clean_delivery,"[0.4, 0.4]",universal,"[0, 0]","[1, 1]",vague prior,,
treatment_effect_maternal_chorio_abx_prom,"[0.66, 0.66]",universal,"[0, 0]","[1, 1]",vague prior,,
treatment_effect_amtsl,"[0.34, 0.34]",universal,"[0, 0]","[1, 1]",vague prior,,
prob_haemostatis_uterotonics,"[0.57, 0.57]",universal,"[0, 0]","[1, 1]",vague prior,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011689.pub3/full#CD011689-sec-0029,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011689.pub3/full#CD011689-sec-0029
prob_successful_manual_removal_placenta,"[0.75, 0.75]",local,"[0, 0]","[1, 1]",vague prior,,
success_rate_pph_surgery,"[0.79, 0.79]",local,"[0, 0]","[1, 1]",vague prior,,
pph_treatment_effect_surg_md,"[0.25, 0.25]",universal,"[0, 0]","[1, 1]",vague prior,,
pph_treatment_effect_hyst_md,"[0.25, 0.25]",universal,"[0, 0]","[1, 1]",vague prior,,
pph_bt_treatment_effect_md,"[0.4, 0.4]",universal,"[0, 0]","[1, 1]",vague prior,,
sepsis_treatment_effect_md,"[0.2, 0.2]",universal,"[0, 0]","[1, 1]",vague prior,,
success_rate_uterine_repair,"[0.83, 0.83]",local,"[0, 0]","[1, 1]",vague prior,,
ur_repair_treatment_effect_md,"[0.25, 0.25]",universal,"[0, 0]","[1, 1]",vague prior,,
ur_treatment_effect_bt_md,"[0.4, 0.4]",universal,"[0, 0]","[1, 1]",vague prior,,
ur_hysterectomy_treatment_effect_md,"[0.25, 0.25]",universal,"[0, 0]","[1, 1]",vague prior,,
eclampsia_treatment_effect_severe_pe,"[0.41, 0.41]",universal,"[0, 0]","[1, 1]",vague prior,,
eclampsia_treatment_effect_md,"[0.4, 0.4]",universal,"[0, 0]","[1, 1]",vague prior,,
anti_htns_treatment_effect_md,"[0.5, 0.5]",universal,"[0, 0]","[1, 1]",vague prior,,
anti_htns_treatment_effect_progression,"[0.49, 0.49]",universal,"[0, 0]","[1, 1]",vague prior,,
aph_bt_treatment_effect_md,"[0.4, 0.4]",universal,"[0, 0]","[1, 1]",vague prior,,
aph_cs_treatment_effect_md,"[0.25, 0.25]",universal,"[0, 0]","[1, 1]",vague prior,,
treatment_effect_blood_transfusion_anaemia,"[0.9, 0.9]",universal,"[0, 0]","[1, 1]",vague prior,,
prob_successful_assisted_vaginal_delivery,"[0.7, 0.7]",local,"[0, 0]","[1, 1]",vague prior,,
treatment_effect_avd_still_birth,"[0.55, 0.55]",universal,"[0, 0]","[1, 1]",vague prior,,
treatment_effect_cs_still_birth,"[0.25, 0.25]",universal,"[0, 0]","[1, 1]",vague prior,,
,,,,,,,
prob_hcw_avail_iv_abx,"[0.99, 0.99]",local,"[0, 0]","[1, 1]",,BEmONC Survey 2015,BEmONC Survey 2015
prob_hcw_avail_uterotonic,"[0.99, 0.99]",local,"[0, 0]","[1, 1]",,BEmONC Survey 2015,BEmONC Survey 2015
prob_hcw_avail_anticonvulsant,"[0.93, 0.93]",local,"[0, 0]","[1, 1]",,BEmONC Survey 2015,BEmONC Survey 2015
prob_hcw_avail_man_r_placenta,"[0.82, 0.82]",local,"[0, 0]","[1, 1]",,BEmONC Survey 2015,BEmONC Survey 2015
prob_hcw_avail_avd,"[0.46, 0.46]",local,"[0, 0]","[1, 1]",,BEmONC Survey 2015,BEmONC Survey 2015
prob_hcw_avail_blood_tran,"[0.86, 0.86]",local,"[0, 0]","[1, 1]",,BEmONC Survey 2015,BEmONC Survey 2015
prob_hcw_avail_surg,"[0.74, 0.74]",local,"[0, 0]","[1, 1]",,BEmONC Survey 2015,BEmONC Survey 2015
prob_hcw_avail_neo_resus,"[0.98, 0.98]",local,"[0, 0]","[1, 1]",vague prior,,
prob_hcw_avail_retained_prod,"[0.49, 0.49]",local,"[0, 0]","[1, 1]",vague prior,,
,,,,,,,
mean_hcw_competence_hc,"[0.602, 0.602]",local,"[0, 0]","[1, 1]",,"Arsenault, C. et al. (2020) �Variation in competent and respectful delivery care in Kenya and Malawi: a retrospective analysis of national facility surveys�, Tropical medicine & international health_: TM & IH. Trop Med Int Health, 25(4), pp. 442�453. doi: 10.1111/TMI.13361.","Arsenault, C. et al. (2020) �Variation in competent and respectful delivery care in Kenya and Malawi: a retrospective analysis of national facility surveys�, Tropical medicine & international health_: TM & IH. Trop Med Int Health, 25(4), pp. 442�453. doi: 10.1111/TMI.13361."
mean_hcw_competence_hp,"[0.662, 0.662]",local,"[0, 0]","[1, 1]",,"Arsenault, C. et al. (2020) �Variation in competent and respectful delivery care in Kenya and Malawi: a retrospective analysis of national facility surveys�, Tropical medicine & international health_: TM & IH. Trop Med Int Health, 25(4), pp. 442�453. doi: 10.1111/TMI.13361.","Arsenault, C. et al. (2020) �Variation in competent and respectful delivery care in Kenya and Malawi: a retrospective analysis of national facility surveys�, Tropical medicine & international health_: TM & IH. Trop Med Int Health, 25(4), pp. 442�453. doi: 10.1111/TMI.13361."
,,,,,,,
prob_intervention_delivered_anaemia_assessment_pnc,"[0.14, 0.18]",local,"[0, 0]","[1, 1]",vague prior,,
,,,,,,,
analysis_year,2023,undetermined,2020,2030,design decision,,
la_analysis_in_progress,FALSE,scenario,FALSE,TRUE,N/A,,
alternative_bemonc_availability,FALSE,scenario,FALSE,TRUE,N/A,,
alternative_cemonc_availability,FALSE,scenario,FALSE,TRUE,N/A,,
bemonc_availability,1,scenario,0,1,N/A,,
cemonc_availability,1,scenario,0,1,N/A,,
bemonc_cons_availability,1,scenario,0,1,N/A,,
cemonc_cons_availability,1,scenario,0,1,N/A,,
alternative_pnc_coverage,FALSE,scenario,FALSE,TRUE,N/A,,
alternative_pnc_quality,FALSE,scenario,FALSE,TRUE,N/A,,
pnc_availability_odds,3,scenario,0,10,N/A,,
pnc_availability_probability,1,scenario,0,1,N/A,,
sba_sens_analysis_max,FALSE,scenario,FALSE,TRUE,N/A,,
pnc_sens_analysis_max,FALSE,scenario,FALSE,TRUE,N/A,,
pnc_sens_analysis_min,FALSE,scenario,FALSE,TRUE,N/A,,
,,,,,,,
min_reproductive_age,14,universal,0,20,vague prior,,
max_reproductive_age,50,universal,30,60,vague prior,,
,,,,,,,
birth_weight_threshold_macrosomia,4000,universal,3500,5000,vague prior,,
birth_weight_threshold_normal,2500,universal,2000,3000,vague prior,,
birth_weight_threshold_low,1500,universal,1000,2000,vague prior,,
birth_weight_threshold_very_low,1000,universal,500,1500,vague prior,,
,,,,,,,
hsi_event_standard_delay_window,1,undetermined,1,12,design decision,,
delivery_event_delay_window,2,undetermined,1,12,design decision,,
death_stillbirth_event_delay,4,undetermined,1,12,design decision,,
birth_event_delay,5,undetermined,1,12,design decision,,
,,,,,,,
max_estimated_pregnancy_duration_days,245,universal,200,300,vague prior,,
,,,,,,,
beddays_regular_delivery,2,local,1,10,vague prior,,
beddays_extended_delivery,5,local,2,15,vague prior,,
,,,,,,,
anemia_diagnostic_sensitivity,1,universal,0,1,vague prior,,
prob_timings_pnc_<48_scenario,"[[1,0],[1,0]]",scenario,N/A,N/A,N/A,,
prob_timings_pnc_newborns_<48_scenario,"[[1,0],[1,0]]",scenario,N/A,N/A,N/A,,
home_delivery_sens_analysis_prob,0,scenario,0,1,vague prior,,
