MDA historical Coverage (.csv)
==============================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_Improved_Healthsystem_And_Healthcare_Seeking/MDA_historical_Coverage.csv>`

====  ==================  ======  ======  ========
 107  Ntchisi/2018        0.9999  0.9999    0.9999
 108  Rumphi/2015         0.9999  0.9999    0.9999
 109  Rumphi/2016         0.9999  0.9999    0.9999
 110  Rumphi/2017         0.9999  0.9999    0.9999
 111  Rumphi/2018         0.9999  0.9999    0.9999
 112  Salima/2015         0.9999  0.9999    0.9999
 113  Salima/2016         0.9999  0.9999    0.9999
 114  Salima/2017         0.9999  0.9999    0.9999
 115  Salima/2018         0.9999  0.9999    0.9999
 116  Thyolo/2015         0.9999  0.9999    0.9999
 117  Thyolo/2016         0.9999  0.9999    0.9999
 118  Thyolo/2017         0.9999  0.9999    0.9999
 119  Thyolo/2018         0.9999  0.9999    0.9999
 120  Zomba/2015          0.9999  0.9999    0.9999
 121  Zomba/2016          0.9999  0.9999    0.9999
 122  Zomba/2017          0.9999  0.9999    0.9999
 123  Zomba/2018          0.9999  0.9999    0.9999
 124  Zomba City/2015     0.9999  0.9999    0.9999
 125  Zomba City/2016     0.9999  0.9999    0.9999
 126  Zomba City/2017     0.9999  0.9999    0.9999
 127  Zomba City/2018     0.9999  0.9999    0.9999
====  ==================  ======  ======  ========
