MoH CPT IPT2020 (.csv)
======================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_HIV/MoH_CPT_IPT2020.csv>`

====  ======  =========  =================  =======  ===============  ===================  ===============  ===================
  30    2018  Q1         Machinga             29551            28373                 0.96  0.0              0.0
  31    2018  Q1         Zomba                51936            46130                 0.89  41112.0          0.79
  32    2018  Q1         Mulanje              51158            46782                 0.91  0.0              0.0
  33    2018  Q1         Phalombe             31263            25206                 0.81  0.0              0.0
  34    2018  Q1         Balaka               20292            19501                 0.96  0.0              0.0
  35    2018  Q2         National            775645           714603                 0.92  255420.0         0.33
  36    2018  Q2         Northern Zone        75558            68147                 0.9   0.0              0.0
  37    2018  Q2         Chitipa               5650             4275                 0.76  0.0              0.0
  38    2018  Q2         Karonga              13429            11939                 0.89  0.0              0.0
  39    2018  Q2         Nkhata Bay            9413             8827                 0.94  0.0              0.0
  40    2018  Q2         Rumphi                7693             7470                 0.97  0.0              0.0
  41    2018  Q2         Mzimba North         20440            22143                 0.92  0.0              0.0
  42    2018  Q2         Mzimba South         14726            12866                 0.87  0.0              0.0
  43    2018  Q2         Likoma                 643              628                 0.98  0.0              0.0
  44    2018  Q2         Central East Zone    61738            57128                 0.93  0.0              0.0
  45    2018  Q2         Nkhotakota           12478            11359                 0.91  0.0              0.0
  46    2018  Q2         Kasungu              16373            15597                 0.95  0.0              0.0
  47    2018  Q2         Ntchisi               4524             4313                 0.95  0.0              0.0
  48    2018  Q2         Dowa                 12450            10334                 0.83  0.0              0.0
  49    2018  Q2         Salima               15913            15525                 0.98  0.0              0.0
  50    2018  Q2         Central West Zone   158863           150479                 0.95  78416.0          0.49
  51    2018  Q2         Lilongwe             98716            92232                 0.93  78416.0          0.79
  52    2018  Q2         Mchinji              16253            15416                 0.95  0.0
  53    2018  Q2         Dedza                18356            17970                 0.98  0.0
  54    2018  Q2         Ntcheu               25538            24861                 0.97  0.0
  55    2018  Q2         South West Zone     241505           223252                 0.92  136944.0         0.57
  56    2018  Q2         Chiradzulu           39459            36243                 0.92  33338.0          0.84
  57    2018  Q2         Blantyre             87168            78459                 0.9   64498.0          0.74
  58    2018  Q2         Mwanza                5874             5777                 0.98  0.0              0.0
  59    2018  Q2         Thyolo               52373            48520                 0.93  39109.0          0.75
  60    2018  Q2         Chikwawa             27720            26296                 0.95  0.0              0.0
  61    2018  Q2         Nsanje               20641            19769                 0.96  0.0              0.0
  62    2018  Q2         Neno                  8270             8187                 0.99  0.0              0.0
  63    2018  Q2         South East Zone     237981           215597                 0.91  40060.0          0.17
  64    2018  Q2         Mangochi             50944            48742                 0.96  0.0              0.0
  65    2018  Q2         Machinga             30168            28960                 0.96  0.0              0.0
  66    2018  Q2         Zomba                52150            44821                 0.86  40060.0          0.77
  67    2018  Q2         Mulanje              52185            47510                 0.91  0.0              0.0
  68    2018  Q2         Phalombe             31895            26095                 0.82  0.0              0.0
  69    2018  Q2         Balaka               20639            19469                 0.94  0.0              0.0
  70    2018  Q3         National            788728           710776                 0.9   239581.0         0.3
  71    2018  Q3         Northern Zone        77679            70293                 0.9   0.0              0.0
  72    2018  Q3         Chitipa               5858             5002                 0.85  0.0              0.0
  73    2018  Q3         Karonga              13852            13017                 0.94  0.0              0.0
  74    2018  Q3         Nkhata Bay            9518             8745                 0.92  0.0              0.0
  75    2018  Q3         Rumphi                7984             7639                 0.97  0.0              0.0
  76    2018  Q3         Mzimba North         24692            22242                 0.9   0.0              0.0
  77    2018  Q3         Mzimba South         15213            13001                 0.85  0.0              0.0
  78    2018  Q3         Likoma                 652              647                 0.99  0.0              0.0
  79    2018  Q3         Central East Zone    62223            58915                 0.95  0.0              0.0
  80    2018  Q3         Nkhotakota           12034            11237                 0.93  0.0              0.0
  81    2018  Q3         Kasungu              17012            15635                 0.92  0.0              0.0
  82    2018  Q3         Ntchisi               4538             4377                 0.96  0.0              0.0
  83    2018  Q3         Dowa                 12587            12276                 0.98  0.0              0.0
  84    2018  Q3         Salima               16052            15390                 0.96  0.0              0.0
  85    2018  Q3         Central West Zone   160205           151301                 0.94  76284.0          0.48
  86    2018  Q3         Lilongwe             99452            92761                 0.93  76284.0          0.77
  87    2018  Q3         Mchinji              16386            15777                 0.96  0.0              0.0
  88    2018  Q3         Dedza                18595            17850                 0.96  0.0              0.0
  89    2018  Q3         Ntcheu               25772            24913                 0.97  0.0              0.0
  90    2018  Q3         South West Zone     246281           210139                 0.85  120413.0         0.49
  91    2018  Q3         Chiradzulu           39610            36034                 0.91  33077.0          0.77
  92    2018  Q3         Blantyre             89971            64406                 0.72  49235.0          0.0
  93    2018  Q3         Mwanza                5978             5587                 0.93  0.0              0.0
  94    2018  Q3         Thyolo               53330            49303                 0.92  38100.0          0.49
  95    2018  Q3         Chikwawa             28066            26769                 0.95  0.0              0.84
  96    2018  Q3         Nsanje               21018            19787                 0.94  0.0              0.55
  97    2018  Q3         Neno                  8308             8251                 0.99  0.0              0.0
  98    2018  Q3         South East Zone     242340           220127                 0.91  42885.0          0.71
  99    2018  Q3         Mangochi             52586            50617                 0.96  0.0              0.0
 100    2018  Q3         Machinga             30329            29092                 0.96  0.0              0.0
 101    2018  Q3         Zomba                53056            44770                 0.84  42885.0          0.18
 102    2018  Q3         Mulanje              52910            46149                 0.87  0.0              0.0
 103    2018  Q3         Phalombe             32476            29799                 0.92  0.0              0.0
 104    2018  Q3         Balaka               20983            19700                 0.94  0.0              0.0
 105    2018  Q4         National            798864           723391                 0.91  248299.0         0.31
 106    2018  Q4         Northern Zone        78975            64380                 0.82  0.0              0.0
 107    2018  Q4         Chitipa               5972             2240                 0.38  0.0              0.0
 108    2018  Q4         Karonga              13740            11230                 0.82  0.0              0.0
 109    2018  Q4         Nkhata Bay            9697             8889                 0.92  0.0              0.0
 110    2018  Q4         Rumphi                8316             7782                 0.94  0.0              0.0
 111    2018  Q4         Mzimba North         25415            23259                 0.92  0.0              0.0
 112    2018  Q4         Mzimba South         15160            10306                 0.68  0.0              0.0
 113    2018  Q4         Likoma                 675              674                 1     0.0              0.0
 114    2018  Q4         Central East Zone   621984            59814                 0.95  0.0              0.0
 115    2018  Q4         Nkhotakota           12066            11091                 0.92  0.0              0.0
 116    2018  Q4         Kasungu              17200            16481                 0.96  0.0              0.0
 117    2018  Q4         Ntchisi               4609             4458                 0.97  0.0              0.0
 118    2018  Q4         Dowa                 12834            12438                 0.97  0.0              0.0
 119    2018  Q4         Salima               16275            15346                 0.94  0.0              0.0
 120    2018  Q4         Central West Zone   163745           151833                 0.93  73325.0          0.45
 121    2018  Q4         Lilongwe            101716            92002                 0.9   73325.0          0.72
 122    2018  Q4         Mchinji              16852            16171                 0.96  0.0              0.0
 123    2018  Q4         Dedza                18932            18590                 0.98  0.0              0.0
 124    2018  Q4         Ntcheu               26245            25070                 0.96  0.0              0.0
 125    2018  Q4         South West Zone     249225           221668                 0.89  136434.0         0.55
 126    2018  Q4         Chiradzulu           39568            35738                 0.9   32563.0          0.82
 127    2018  Q4         Blantyre             91265            76111                 0.83  63884.0          0.7
 128    2018  Q4         Mwanza                6033             5673                 0.94  0.0              0.0
 129    2018  Q4         Thyolo               53887            49748                 0.92  39986.0          0.74
 130    2018  Q4         Chikwawa             28643            27100                 0.95  0.0              0.0
 131    2018  Q4         Nsanje               21475            19445                 0.91  0.0              0.0
 132    2018  Q4         Neno                  8354             7854                 0.94  0.0              0.0
 133    2018  Q4         South East Zone     243935           225697                 0.93  38541.0          0.16
 134    2018  Q4         Mangochi             52801            50842                 0.96  0.0              0.0
 135    2018  Q4         Machinga             30428            28510                 0.94  0.0              0.0
 136    2018  Q4         Zomba                53033            48126                 0.91  38541.0          0.73
 137    2018  Q4         Mulanje              53753            49804                 0.93  0.0              0.0
 138    2018  Q4         Phalombe             32938            29468                 0.89  0.0              0.0
 139    2018  Q4         Balaka               20982            18947                 0.9   0.0              0.0
 140    2019  Q1         National            806823           717142                 0.89  244504.0         0.3
 141    2019  Q1         Northern Zone        80601            72568                 0.9   0.0              0.0
 142    2019  Q1         Chitipa               6185             5209                 0.84  0.0              0.0
 143    2019  Q1         Karonga              13753            12417                 0.9   0.0              0.0
 144    2019  Q1         Nkhata Bay            9799             9177                 0.94  0.0              0.0
 145    2019  Q1         Rumphi                8373             7993                 0.95  0.0              0.0
 146    2019  Q1         Mzimba North         26211            21831                 0.83  0.0              0.0
 147    2019  Q1         Mzimba South         15568            15272                 0.98  0.0              0.0
 148    2019  Q1         Likoma                 712              669                 0.94  0.0              0.0
 149    2019  Q1         Central East Zone    64058            60549                 0.95  0.0              0.0
 150    2019  Q1         Nkhotakota           12239            11540                 0.94  0.0              0.0
 151    2019  Q1         Kasungu              17504            15963                 0.91  0.0              0.0
 152    2019  Q1         Ntchisi               4763             4616                 0.97  0.0              0.0
 153    2019  Q1         Dowa                 13022            12247                 0.94  0.0              0.0
 154    2019  Q1         Salima               16530            16182                 0.98  0.0              0.0
 155    2019  Q1         Central West Zone   165878           139384                 0.84  67949.0          0.41
 156    2019  Q1         Lilongwe            102785            82930                 0.81  67949.0          0.66
 157    2019  Q1         Mchinji              17333            16603                 0.96  0.0              0.0
 158    2019  Q1         Dedza                19133            13905                 0.73  0.0              0.0
 159    2019  Q1         Ntcheu               26627            25946                 0.97  0.0              0.0
 160    2019  Q1         South West Zone     252155           215569                 0.85  133000.0         0.53
 161    2019  Q1         Chiradzulu           39621            33507                 0.85  30003.0          0.76
 162    2019  Q1         Blantyre             92351            77099                 0.83  67194.0          0.73
 163    2019  Q1         Mwanza                6176             1651                 0.27  0.0              0.0
 164    2019  Q1         Thyolo               54729            50265                 0.92  35802.0          0.65
 165    2019  Q1         Chikwawa             29043            23585                 0.81  0.0              0.0
 166    2019  Q1         Nsanje               21811            21246                 0.97  0.0              0.0
 167    2019  Q1         Neno                  8424             8215                 0.98  0.0              0.0
 168    2019  Q1         South East Zone     244131           299072                 0.94  43555.0          0.18
 169    2019  Q1         Mangochi             51706            49228                 0.95  0.0              0.0
 170    2019  Q1         Machinga             29713            27005                 0.91  0.0              0.0
 171    2019  Q1         Zomba                53861            49774                 0.92  43555.0          0.81
 172    2019  Q1         Mulanje              53837            50725                 0.94  0.0              0.0
 173    2019  Q1         Phalombe             33708            31658                 0.94  0.0              0.0
 174    2019  Q1         Balaka               21306            20681                 0.97  0.0              0.0
 175    2019  Q2         National            819947           743147                 0.91  239987.0         0.29
 176    2019  Q2         Northern Zone        81449            73251                 0.9   0.0              0.0
 177    2019  Q2         Chitipa               6286             4809                 0.76  0.0              0.0
 178    2019  Q2         Karonga              14255            12877                 0.9   0.0              0.0
 179    2019  Q2         Nkhata Bay           10070             7737                 0.77  0.0              0.0
 180    2019  Q2         Rumphi                8252             8038                 0.97  0.0              0.0
 181    2019  Q2         Mzimba North         26040            24413                 0.94  0.0              0.0
 182    2019  Q2         Mzimba South         15830            14669                 0.93  0.0              0.0
 183    2019  Q2         Likoma                 716              709                 0.99  0.0              0.0
 184    2019  Q2         Central East Zone    65001            61421                 0.94  0.0              0.0
 185    2019  Q2         Nkhotakota           12537            12053                 0.96  0.0              0.0
 186    2019  Q2         Kasungu              17728            17170                 0.97  0.0              0.0
 187    2019  Q2         Ntchisi               4803             4599                 0.96  0.0              0.0
 188    2019  Q2         Dowa                 13049            12591                 0.96  0.0              0.0
 189    2019  Q2         Salima               16884            15008                 0.89  0.0              0.0
 190    2019  Q2         Central West Zone   167917           157708                 0.94  72592.0          0.43
 191    2019  Q2         Lilongwe            104273            98019                 0.93  72592.0          0.7
 192    2019  Q2         Mchinji              17191            15865                 0.92  0.0              0.0
 193    2019  Q2         Dedza                19392            18646                 0.96  0.0              0.0
 194    2019  Q2         Ntcheu               27061            26177                 0.97  0.0              0.0
 195    2019  Q2         South West Zone     254597           217910                 0.86  131844.0         0.52
 196    2019  Q2         Chiradzulu           40255            36757                 0.91  31222.0          0.78
 197    2019  Q2         Blantyre             93288            69559                 0.75  63176.0          0.68
 198    2019  Q2         Mwanza                6269             5926                 0.95  0.0              0.0
 199    2019  Q2         Thyolo               54701            50543                 0.92  37445.0          0.68
 200    2019  Q2         Chikwawa             29685            28066                 0.95  0.0              0.0
 201    2019  Q2         Nsanje               21940            18842                 0.86  0.0              0.0
 202    2019  Q2         Neno                  8459             8216                 0.97  0.0              0.0
 203    2019  Q2         South East Zone     250983           232858                 0.93  35551.0          0.14
 204    2019  Q2         Mangochi             53396            50214                 0.94  0.0              0.0
 205    2019  Q2         Machinga             30660            28928                 0.94  0.0              0.0
 206    2019  Q2         Zomba                54302            50774                 0.94  35551.0          0.65
 207    2019  Q2         Mulanje              56732            50981                 0.9   0.0              0.0
 208    2019  Q2         Phalombe             34205            31114                 0.91  0.0              0.0
 209    2019  Q2         Balaka               21688            20848                 0.96  0.0              0.0
 210    2019  Q3         National            826102           716840                 0.87  220418.0         0.27
 211    2019  Q3         Northern Zone        81610            72422                 0.89  0.0              0.0
 212    2019  Q3         Chitipa               6460             4778                 0.74  0.0              0.0
 213    2019  Q3         Karonga              14319            11678                 0.82  0.0              0.0
 214    2019  Q3         Nkhata Bay           10193             9691                 0.95  0.0              0.0
 215    2019  Q3         Rumphi                8276             7838                 0.95  0.0              0.0
 216    2019  Q3         Mzimba North         25724            23364                 0.91  0.0              0.0
 217    2019  Q3         Mzimba South         15884            14335                 0.9   0.0              0.0
 218    2019  Q3         Likoma                 754              739                 0.98  0.0              0.0
 219    2019  Q3         Central East Zone    65597            62327                 0.95  0.0              0.0
 220    2019  Q3         Nkhotakota           12729            12002                 0.94  0.0              0.0
 221    2019  Q3         Kasungu              17888            16851                 0.94  0.0              0.0
 222    2019  Q3         Ntchisi               4864             4760                 0.98  0.0              0.0
 223    2019  Q3         Dowa                 13114            12630                 0.96  0.0              0.0
 224    2019  Q3         Salima               17002            16085                 0.95  0.0              0.0
 225    2019  Q3         Central West Zone   168958           153744                 0.91  58612.0          0.35
 226    2019  Q3         Lilongwe            105262            95030                 0.9   58612.0          0.56
 227    2019  Q3         Mchinji              16901            15998                 0.95  0.0              0.0
 228    2019  Q3         Dedza                19610            18962                 0.97  0.0              0.0
 229    2019  Q3         Ntcheu               27185            23754                 0.87  0.0              0.0
 230    2019  Q3         South West Zone     257639           214968                 0.83  125479.0         0.49
 231    2019  Q3         Chiradzulu           41140            35877                 0.87  30473.0          0.74
 232    2019  Q3         Blantyre             94575            71477                 0.76  59512.0          0.63
 233    2019  Q3         Mwanza                6224             5803                 0.93  0.0              0.0
 234    2019  Q3         Thyolo               55994            46666                 0.83  35493.0          0.63
 235    2019  Q3         Chikwawa             29764            26451                 0.89  0.0              0.0
 236    2019  Q3         Nsanje               21389            20250                 0.95  0.0              0.0
 237    2019  Q3         Neno                  8523             8445                 0.99  0.0              0.0
 238    2019  Q3         South East Zone     252298           213379                 0.85  36327.0          0.14
 239    2019  Q3         Mangochi             53990            49514                 0.92  0.0              0.0
 240    2019  Q3         Machinga             30597            24361                 0.8   0.0              0.0
 241    2019  Q3         Zomba                55334            46369                 0.84  36327.0          0.66
 242    2019  Q3         Mulanje              58895            47321                 0.83  0.0              0.0
 243    2019  Q3         Phalombe             33630            25979                 0.77  0.0              0.0
 244    2019  Q3         Balaka               21852            19836                 0.91  0.0              0.0
 245    2019  Q4         National            833277           729267                 0.88  207334.0         0.25
 246    2019  Q4         Northern Zone        83419            75579                 0.91  0.0              0.0
 247    2019  Q4         Chitipa               6544             4838                 0.74  0.0              0.0
 248    2019  Q4         Karonga              14571            13947                 0.96  0.0              0.0
 249    2019  Q4         Nkhata Bay           10399             9807                 0.94  0.0              0.0
 250    2019  Q4         Rumphi                8505             8327                 0.98  0.0              0.0
 251    2019  Q4         Mzimba North         26559            24517                 0.92  0.0              0.0
 252    2019  Q4         Mzimba South         16056            13981                 0.87  0.0              0.0
 253    2019  Q4         Likoma                 785              163                 0.21  0.0              0.0
 254    2019  Q4         Central East Zone    65904            61476                 0.93  0.0              0.0
 255    2019  Q4         Nkhotakota           12719            11881                 0.93  0.0              0.0
 256    2019  Q4         Kasungu              18041            16655                 0.92  0.0              0.0
 257    2019  Q4         Ntchisi               4864             4737                 0.97  0.0              0.0
 258    2019  Q4         Dowa                 13227            11910                 0.9   0.0              0.0
 259    2019  Q4         Salima               17053            16292                 0.96  0.0              0.0
 260    2019  Q4         Central West Zone   170397           153673                 0.9   61526.0          0.36
 261    2019  Q4         Lilongwe            106061            97089                 0.92  61526.0          0.58
 262    2019  Q4         Mchinji              17206            13273                 0.77  0.0              0.0
 263    2019  Q4         Dedza                19543            18334                 0.94  0.0              0.0
 264    2019  Q4         Ntcheu               27587            24977                 0.91  0.0              0.0
 265    2019  Q4         South West Zone     256971           223542                 0.87  115040.0         0.45
 266    2019  Q4         Chiradzulu           40778            36566                 0.9   31869.0          0.78
 267    2019  Q4         Blantyre             95125            78991                 0.83  48458.0          0.51
 268    2019  Q4         Mwanza                6407             5939                 0.93  0.0              0.0
 269    2019  Q4         Thyolo               57398            51743                 0.9   34713.0          0.6
 270    2019  Q4         Chikwawa             27851            25396                 0.91  0.0              0.0
 271    2019  Q4         Nsanje               20870            16385                 0.79  0.0              0.0
 272    2019  Q4         Neno                  8542             8522                 1     0.0              0.0
 273    2019  Q4         South East Zone     256586           214998                 0.84  30769.0          0.12
 274    2019  Q4         Mangochi             53437            43942                 0.82  0.0              0.0
 275    2019  Q4         Machinga             31475            26245                 0.83  0.0              0.0
 276    2019  Q4         Zomba                56742            48882                 0.86  30769.0          0.54
 277    2019  Q4         Mulanje              57604            50466                 0.88  0.0              0.0
 278    2019  Q4         Phalombe             35531            25631                 0.72  0.0              0.0
 279    2019  Q4         Balaka               21797            19833                 0.91  0.0              0.0
 280    2020  Q1         National            840229           658773                 0.78  92773.0          0.11
 281    2020  Q1         Northern Zone        83963            65387                 0.78  785.0            0.01
 282    2020  Q1         Chitipa               6660             4849                 0.73  14.0             0.0
 283    2020  Q1         Karonga              14656            12235                 0.83  0.0              0.0
 284    2020  Q1         Nkhata Bay           10465             9713                 0.93  0.0              0.0
 285    2020  Q1         Rumphi                8544             8128                 0.95  0.0              0.0
 286    2020  Q1         Mzimba North         26760            15848                 0.59  592.0            0.02
 287    2020  Q1         Mzimba South         16098            16850                 0.86  57.0             0.0
 288    2020  Q1         Likoma                 780              764                 0.98  122.0            0.16
 289    2020  Q1         Central East Zone    66636            61017                 0.92  2659.0           0.04
 290    2020  Q1         Nkhotakota           12938            12144                 0.94  26.0             0.0
 291    2020  Q1         Kasungu              18204            15942                 0.88  49.0             0.0
 292    2020  Q1         Ntchisi               4894             4732                 0.97  8.0              0.0
 293    2020  Q1         Dowa                 13455            12948                 0.96  0.0              0.0
 294    2020  Q1         Salima               17145            15251                 0.89  2576.0           0.15
 295    2020  Q1         Central West Zone   173023           144149                 0.83  10103.0          0.06
 296    2020  Q1         Lilongwe            107915            91197                 0.85  9247.0           0.09
 297    2020  Q1         Mchinji              17482            15444                 0.88  20.0             0.0
 298    2020  Q1         Dedza                19923            12789                 0.64  4.0              0.0
 299    2020  Q1         Ntcheu               27703            24719                 0.89  833.0            0.03
 300    2020  Q1         South West Zone     264610           192149                 0.73  52165.0          0.2
 301    2020  Q1         Chiradzulu           41240            28671                 0.7   16331.0          0.4
 302    2020  Q1         Blantyre             97097            73804                 0.76  23976.0          0.25
 303    2020  Q1         Mwanza                6468              406                 0.06  0.0              0.0
 304    2020  Q1         Thyolo               57928            32184                 0.56  8316.0           0.14
 305    2020  Q1         Chikwawa             31065            28594                 0.92  2678.0           0.09
 306    2020  Q1         Nsanje               22137            21006                 0.95  805.0            0.04
 307    2020  Q1         Neno                  8675             7485                 0.86  59.0             0.01
 308    2020  Q1         South East Zone     251997           196070                 0.78  27060.0          0.11
 309    2020  Q1         Mangochi             53272            35420                 0.66  13630.0          0.26
 310    2020  Q1         Machinga             30328            24176                 0.8   439.0            0.01
 311    2020  Q1         Zomba                54537            39871                 0.73  12966.0          0.24
 312    2020  Q1         Mulanje              56531            51122                 0.9   26.0             0.0
 313    2020  Q1         Phalombe             35452            26636                 0.75  0.0              0.0
 314    2020  Q1         Balaka               21877            18845                 0.86  0.0              0.0
 315    2020  Q2         National            846164           603346                 0.71  54647.0          0.06
 316    2020  Q2         Northern Zone        84339            61593                 0.73  2010.0           0.02
 317    2020  Q2         Chitipa               6739             3970                 0.59  294.0            0.04
 318    2020  Q2         Karonga              14842            11242                 0.76  339.0            0.02
 319    2020  Q2         Nkhata Bay           10444             7722                 0.74  421.0            0.04
 320    2020  Q2         Rumphi                8422             7363                 0.87  142.0            0.02
 321    2020  Q2         Mzimba North         26765            20398                 0.76  577.0            0.02
 322    2020  Q2         Mzimba South         16314            10742                 0.66  239.0            0.01
 323    2020  Q2         Likoma                 813              158                 0.19  0.0              0.0
 324    2020  Q2         Central East Zone    67115            56908                 0.85  2665.0           0.04
 325    2020  Q2         Nkhotakota           13074            12155                 0.93  56.0             0.0
 326    2020  Q2         Kasungu              18333            11888                 0.65  332.0            0.02
 327    2020  Q2         Ntchisi               4952             4401                 0.89  482.0            0.1
 328    2020  Q2         Dowa                 13438            12733                 0.95  209.0            0.02
 329    2020  Q2         Salima               17318            15731                 0.91  1585.0           0.09
 330    2020  Q2         Central West Zone   174362           127269                 0.73  8266.0           0.05
 331    2020  Q2         Lilongwe            109068            85224                 0.78  6089.0           0.06
 332    2020  Q2         Mchinji              17499            11339                 0.65  465.0            0.03
 333    2020  Q2         Dedza                19924            11526                 0.58  121.0            0.01
 334    2020  Q2         Ntcheu               27871            19180                 0.69  1591.0           0.06
 335    2020  Q2         South West Zone     263907           175494                 0.66  21331.0          0.08
 336    2020  Q2         Chiradzulu           41114            24012                 0.58  5065.0           0.12
 337    2020  Q2         Blantyre             97548            66296                 0.68  8581.0           0.09
 338    2020  Q2         Mwanza                6511             4168                 0.64  150.0            0.02
 339    2020  Q2         Thyolo               56449            34822                 0.62  5180.0           0.09
 340    2020  Q2         Chikwawa             31036            21438                 0.69  598.0            0.02
 341    2020  Q2         Nsanje               22344            16799                 0.75  963.0            0.04
 342    2020  Q2         Neno                  8905             7960                 0.89  793.0            0.09
 343    2020  Q2         South East Zone     256441           182082                 0.71  20375.0          0.08
 344    2020  Q2         Mangochi             53001            39089                 0.74  8261.0           0.16
 345    2020  Q2         Machinga             31230            14550                 0.47  0.0              0.0
 346    2020  Q2         Zomba                57189            39501                 0.69  5076.0           0.09
 347    2020  Q2         Mulanje              57010            47329                 0.83  5602.0           0.1
 348    2020  Q2         Phalombe             35720            26338                 0.74  36.0             0.0
 349    2020  Q2         Balaka               22291            15274                 0.69  1401.0           0.06
 350    2020  Q3         National            852425           604764                 0.71  89967.0          0.11
 351    2020  Q3         Northern Zone        84588            66771                 0.79  12623.0          0.15
 352    2020  Q3         Chitipa               6826             4524                 0.66  660.0            0.1
 353    2020  Q3         Karonga              14810            12068                 0.81  181.0            0.01
 354    2020  Q3         Nkhata Bay           10828             9250                 0.85  2127.0           0.2
 355    2020  Q3         Rumphi                8469             6728                 0.79  1377.0           0.16
 356    2020  Q3         Mzimba North         26783            20452                 0.76  6171.0           0.23
 357    2020  Q3         Mzimba South         16080            12957                 0.81  1711.0           0.11
 358    2020  Q3         Likoma                 792              792                 1     396.0            0.5
 359    2020  Q3         Central East Zone    66945            52280                 0.78  9659.0           0.14
 360    2020  Q3         Nkhotakota           13013            10431                 0.8   1157.0           0.09
 361    2020  Q3         Kasungu              18159            14128                 0.78  1345.0           0.07
 362    2020  Q3         Ntchisi               4939             4101                 0.83  668.0            0.14
 363    2020  Q3         Dowa                 13430             9582                 0.71  423.0            0.03
 364    2020  Q3         Salima               17404            14039                 0.81  6067.0           0.35
 365    2020  Q3         Central West Zone   175719           139436                 0.79  20066.0          0.11
 366    2020  Q3         Lilongwe            110142            86325                 0.78  14118.0          0.13
 367    2020  Q3         Mchinji              17664            13233                 0.75  186.0            0.01
 368    2020  Q3         Dedza                20018            17444                 0.87  4307.0           0.22
 369    2020  Q3         Ntcheu               27895            22343                 0.8   1454.0           0.05
 370    2020  Q3         South West Zone     266977           178168                 0.67  25577.0          0.1
 371    2020  Q3         Chiradzulu           41064            25897                 0.62  2888.0           0.07
 372    2020  Q3         Blantyre             99026            53415                 0.54  7184.0           0.07
 373    2020  Q3         Mwanza                6586             4199                 0.64  67.0             0.01
 374    2020  Q3         Thyolo               56946            43161                 0.76  4000.0           0.07
 375    2020  Q3         Chikwawa             31204            25488                 0.82  8094.0           0.26
 376    2020  Q3         Nsanje               22661            17448                 0.77  2364.0           0.1
 377    2020  Q3         Neno                  8950             8560                 0.96  980.0            0.11
 378    2020  Q3         South East Zone     258196           168109                 0.65  22042.0          0.09
 379    2020  Q3         Mangochi             52545            33528                 0.64  6812.0           0.13
 380    2020  Q3         Machinga             31023            19679                 0.63  2003.0           0.06
 381    2020  Q3         Zomba                58566            35996                 0.61  4920.0           0.08
 382    2020  Q3         Mulanje              57871            39664                 0.69  4425.0           0.08
 383    2020  Q3         Phalombe             35799            24511                 0.68  455.0            0.01
 384    2020  Q3         Balaka               22212            14731                 0.66  3427.0           0.15
 385    2020  Q4         National            864491           616843                 0.71
 386    2020  Q4         Northern Zone        86561            67731                 0.78
 387    2020  Q4         Chitipa               6920             2781                 0.4
