OfficerType,Facility_Level,Parameter_name,Value,Description
Radiography,3,salary_usd,7018.551205,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Radiography,4,salary_usd,7018.551205,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Radiography,5,salary_usd,8475.274416,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Mental,1a,salary_usd,7202.621081,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Mental,1b,salary_usd,7202.621081,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Mental,2,salary_usd,7202.621081,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Mental,3,salary_usd,8786.522084,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Mental,4,salary_usd,9029.284106,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Mental,5,salary_usd,8786.522084,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nutrition,1a,salary_usd,4573.11153,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nutrition,1b,salary_usd,4573.11153,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nutrition,2,salary_usd,4573.11153,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nutrition,3,salary_usd,6065.989923,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nutrition,4,salary_usd,6065.989923,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Nutrition,5,salary_usd,10661.50757,"""Salary_USD""  is the weighted average of salary paid by grade to health workers within each cadre and level of care in 2021. If missing, we assume  that the salary for the cadre at a given level of care is the same as that at the next lower level of care. "
Clinical,1a,annual_mentorship_and_supervision_cost,2630.556634,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 7
Clinical,1b,annual_mentorship_and_supervision_cost,2630.556634,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 8
Clinical,2,annual_mentorship_and_supervision_cost,2630.556634,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 9
Clinical,3,annual_mentorship_and_supervision_cost,4490.434776,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 10
Clinical,4,annual_mentorship_and_supervision_cost,3079.063419,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 11
Clinical,5,annual_mentorship_and_supervision_cost,5076.589156,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 12
DCSA,0,annual_mentorship_and_supervision_cost,1146.322372,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 13
Dental,1a,annual_mentorship_and_supervision_cost,2502.430584,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 14
Dental,1b,annual_mentorship_and_supervision_cost,2502.430584,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 15
Dental,2,annual_mentorship_and_supervision_cost,2502.430584,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 16
Dental,3,annual_mentorship_and_supervision_cost,4280.414834,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 17
Dental,4,annual_mentorship_and_supervision_cost,4280.414834,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 18
Dental,5,annual_mentorship_and_supervision_cost,4280.414834,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 19
Laboratory,1a,annual_mentorship_and_supervision_cost,2621.556894,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 20
Laboratory,1b,annual_mentorship_and_supervision_cost,2621.556894,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 21
Laboratory,2,annual_mentorship_and_supervision_cost,2621.556894,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 22
Laboratory,3,annual_mentorship_and_supervision_cost,3529.961153,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 23
Laboratory,4,annual_mentorship_and_supervision_cost,3529.961153,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 24
Laboratory,5,annual_mentorship_and_supervision_cost,3748.955584,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 25
Nursing_and_Midwifery,1a,annual_mentorship_and_supervision_cost,2823.03101,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 26
Nursing_and_Midwifery,1b,annual_mentorship_and_supervision_cost,2823.03101,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 27
Nursing_and_Midwifery,2,annual_mentorship_and_supervision_cost,2823.03101,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 28
Nursing_and_Midwifery,3,annual_mentorship_and_supervision_cost,3273.894724,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 29
Nursing_and_Midwifery,4,annual_mentorship_and_supervision_cost,3116.179852,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 30
Nursing_and_Midwifery,5,annual_mentorship_and_supervision_cost,5828.243526,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 31
Pharmacy,1a,annual_mentorship_and_supervision_cost,2220.34917,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 32
Pharmacy,1b,annual_mentorship_and_supervision_cost,2220.34917,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 33
Pharmacy,2,annual_mentorship_and_supervision_cost,2220.34917,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 34
Pharmacy,3,annual_mentorship_and_supervision_cost,3635.869692,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 35
Pharmacy,4,annual_mentorship_and_supervision_cost,4114.962851,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 36
Pharmacy,5,annual_mentorship_and_supervision_cost,4200.103891,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 37
Radiography,1a,annual_mentorship_and_supervision_cost,2903.314477,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 38
Radiography,1b,annual_mentorship_and_supervision_cost,2903.314477,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 39
Radiography,2,annual_mentorship_and_supervision_cost,2903.314477,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 40
Radiography,3,annual_mentorship_and_supervision_cost,3407.686413,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 41
Radiography,4,annual_mentorship_and_supervision_cost,3407.686413,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 42
Radiography,5,annual_mentorship_and_supervision_cost,4114.962851,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 43
Mental,1a,annual_mentorship_and_supervision_cost,3497.057053,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 44
Mental,1b,annual_mentorship_and_supervision_cost,3497.057053,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 45
Mental,2,annual_mentorship_and_supervision_cost,3497.057053,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 46
Mental,3,annual_mentorship_and_supervision_cost,4266.081567,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 47
Mental,4,annual_mentorship_and_supervision_cost,4383.948748,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 48
Mental,5,annual_mentorship_and_supervision_cost,4266.081567,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 49
Nutrition,1a,annual_mentorship_and_supervision_cost,2220.362803,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 50
Nutrition,1b,annual_mentorship_and_supervision_cost,2220.362803,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 51
Nutrition,2,annual_mentorship_and_supervision_cost,2220.362803,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 52
Nutrition,3,annual_mentorship_and_supervision_cost,2945.193508,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 53
Nutrition,4,annual_mentorship_and_supervision_cost,2945.193508,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 54
Nutrition,5,annual_mentorship_and_supervision_cost,5176.435055,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 55
Clinical,1a,annual_inservice_training_cost_usd,610.7041001,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 7
Clinical,1b,annual_inservice_training_cost_usd,610.7041001,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 8
Clinical,2,annual_inservice_training_cost_usd,610.7041001,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 9
Clinical,3,annual_inservice_training_cost_usd,1042.489218,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 10
Clinical,4,annual_inservice_training_cost_usd,714.8284245,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 11
Clinical,5,annual_inservice_training_cost_usd,1178.569498,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 12
DCSA,0,annual_inservice_training_cost_usd,266.1276186,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 13
Dental,1a,annual_inservice_training_cost_usd,580.9586451,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 14
Dental,1b,annual_inservice_training_cost_usd,580.9586451,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 15
Dental,2,annual_inservice_training_cost_usd,580.9586451,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 16
Dental,3,annual_inservice_training_cost_usd,993.7314617,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 17
Dental,4,annual_inservice_training_cost_usd,993.7314617,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 18
Dental,5,annual_inservice_training_cost_usd,993.7314617,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 19
Laboratory,1a,annual_inservice_training_cost_usd,608.6147407,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 20
Laboratory,1b,annual_inservice_training_cost_usd,608.6147407,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 21
Laboratory,2,annual_inservice_training_cost_usd,608.6147407,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 22
Laboratory,3,annual_inservice_training_cost_usd,819.5078262,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 23
Laboratory,4,annual_inservice_training_cost_usd,819.5078262,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 24
Laboratory,5,annual_inservice_training_cost_usd,870.3490801,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 25
Nursing_and_Midwifery,1a,annual_inservice_training_cost_usd,655.3885175,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 26
Nursing_and_Midwifery,1b,annual_inservice_training_cost_usd,655.3885175,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 27
Nursing_and_Midwifery,2,annual_inservice_training_cost_usd,655.3885175,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 28
Nursing_and_Midwifery,3,annual_inservice_training_cost_usd,760.0600213,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 29
Nursing_and_Midwifery,4,annual_inservice_training_cost_usd,723.4452919,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 30
Nursing_and_Midwifery,5,annual_inservice_training_cost_usd,1353.071883,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 31
Pharmacy,1a,annual_inservice_training_cost_usd,515.4712596,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 32
Pharmacy,1b,annual_inservice_training_cost_usd,515.4712596,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 33
Pharmacy,2,annual_inservice_training_cost_usd,515.4712596,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 34
Pharmacy,3,annual_inservice_training_cost_usd,844.0953141,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 35
Pharmacy,4,annual_inservice_training_cost_usd,955.3205022,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 36
Pharmacy,5,annual_inservice_training_cost_usd,975.0866541,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 37
Radiography,1a,annual_inservice_training_cost_usd,674.0269463,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 38
Radiography,1b,annual_inservice_training_cost_usd,674.0269463,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 39
Radiography,2,annual_inservice_training_cost_usd,674.0269463,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 40
Radiography,3,annual_inservice_training_cost_usd,791.1207983,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 41
Radiography,4,annual_inservice_training_cost_usd,791.1207983,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 42
