Item_Code,Items,Unit,Price_per_unit,Data_source,Notes
60,"Hydralazine, powder for injection, 20 mg ampoule",1 ml (20 mg/ml),0.773547925,CMST 2023,
61,"Magnesium sulfate, injection, 500 mg/ml in 10-ml ampoule",10 ml ampoule (500 mg/ml),0.124416372,Malawi EHP 2021,
64,"Infant resuscitator, clear plastic + mask + bag_each_CMST",1 resuscitator,8.283937288,Malawi EHP 2021,
65,"Ketamine, 10 ml vial, 50 mg/ml",10 ml vial (50 mg/ml),1.552761643,CMST 2023,
66,"Cefazolin, ampoule, 500 mg",1 mg,0.001240284,Malawi EHP 2021,
67,"Blade, surgical, no. 22, sterile, disposable",1 blade,0.03588972,CMST 2023,
68,"Tetracycline eye ointment, 1 %, tube 5 mg",1 g,0.092922527,CMST 2023,
70,"Amoxicillin, powder/oral suspension, 125 mg/5 ml",1 ml (125mg/5ml),0.006052369,CMST 2023,
71,Paracetamol syrup 120mg/5ml_0.0119047619047619_CMST,1 ml (120mg/5ml),0.008339889,CMST 2023,
73,Iodine strong 10% solution_500ml_CMST,1 ml (10%),0.005925294,CMST 2023,
74,Chlorhexidine 1.5% solution_5_CMST,1 ml (1.5%),0.0061256,UNICEF Supply Catalogue 2024 https://supply.unicef.org/s1531510.html [Chlorhexidine conc. sol. 5%/BOT-100ml],
75,"Gauze, swabs 8-ply 10cm x 10cm_100_CMST",1 swab (10cm X 10cm),0.015209399,CMST 2023,
76,Scalpel blade size 22 (individually wrapped)_100_CMST,1 blade,0.03588972,CMST 2023,
80,Giving set iv administration + needle 15 drops/ml_each_CMST,1 IV set,0.0934328,CMST 2023,
81,"Ceftriaxone 1g, PFR_each_CMST",1 g,0.219443911,CMST 2023,
82,Catheter Foley's + urine bag (2000ml) 14g_each_CMST,1 catheter,0.069089245,CMST 2023,
84,Declofenac injection_each_CMST,3 ml ampoule (75 mg/ml),0.043751536,CMST 2023,
86,"Ampicillin injection 500mg, PFR_each_CMST",1 injection (500 mg),0.12299346,CMST 2023,
88,"surgical face mask, disp., with metal nose piece_50_IDA",1 mask,0.003841126,CMST 2023,
90,Halothane (fluothane)_250ml_CMST,1 ml,0.072785313,CMST 2023,
92,Metronidazole 200mg_1000_CMST,1 mg,4.50281E-06,CMST 2023,
93,Saline solution,1 ml (0.9%),0.001542292,CMST 2023,
98,"Water for injection, 10ml_Each_CMST",10 ml ampoule,0.049197384,CMST 2023,
99,"Benzylpenicillin 3g (5MU), PFR_each_CMST",1 g,0.045716382,CMST 2023,
101,"Gauze, absorbent 90cm x 40m_each_CMST",1 cm long (84 cm wide),0.010546723,CMST 2023,
102,"Oxytocin 10 IU/ml, 1ml_each_CMST",1 ml (10 IU/ml),0.03974853,CMST 2023,
103,"Bandage, plaster of paris 15cm_12_CMST",1 bandage (15cm),0.258254741,CMST 2023,
105,"Metronidazole 5mg/ml, 100ml_each_CMST",1 ml (5 mg/ml),0.002346289,CMST 2023,
106,"Gentamicin Sulphate 40mg/ml, 2ml_each_CMST",2 ml vial (40 mg/ml),0.053693068,CMST 2023,
112,Glove surgeon's size 7 sterile_2_CMST,1 pair of gloves,0.065658097,CMST 2023,
113,Paracetamol 500mg_1000_CMST,1 mg,7.62032E-07,CMST 2023,
117,Clean delivery kit,1 kit,5.677846168,CMST 2023,
120,Cannula iv  (winged with injection pot) 16_each_CMST,1 cannula,0.138706359,CMST 2023,
123,"Erythromycin, tablet, 250 mg",1 mg,0.000192367,CMST 2023,
125,Amoxycillin 250mg_1000_CMST,1 mg,6.11621E-05,CMST 2023,
126,"Lancet, blood, disposable",1 lancet,0.054639669,CMST 2023,
127,"Oxygen, 1000 liters, primarily with oxygen cylinders",1 litre,0.000571318,One Health Tool 2016,"In the One Health Tool, the treatment specified is ""Shock: Oxygen 3 hours at 6-8 liters/min (1500 liters)"" which requires 1.5 cylinders for 25% of the cases for materna case sepsis management"
128,Complete blood count,1 bottle (5ml),1.546418186,Malawi EHP 2021,"Verified by SM, Emi - ""Estimated from ""Mindray FBC"" and Bottle, Blood Collecting Plain Plastic Vacutainer, 5ml"""
130,"Gentamicin 40mg/ml, 2ml_each_CMST",2 ml vial (40 mg/ml),0.053693068,CMST 2023,
134,"Tube, feeding CH 8_each_CMST",1 tube,0.206044838,CMST 2023,
135,"Disposables gloves, powder free, 100 pieces per box",1 pair of gloves,0.082563979,CMST 2023,
141,"Blood, one unit",1 unit/1 pint,155.1302,"[Costs in USD 2013] Mafirakureva et al (2016) - This cost includes - recruitment, collection, testing, processing, and storage plus distribution.",
144,Hand washing with soap - cost per client,1ml,0.006506495,CMST 2023,
146,"ORS, sachet",1 sachet,0.083544056,CMST 2023,
147,"Zinc, tablet, 20 mg",1 mg,5.88662E-05,CMST 2023,
148,Ciprofloxacin 250mg_100_CMST,1 mg,5.87008E-05,CMST 2023,
149,"ringer's lactate (Hartmann's solution), 1000 ml_12_IDA",1 ml,0.00122587,CMST 2023,
153,"Syringe, autodisposable, BCG, 0.1 ml, with needle",1 dose,0.195624,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s359114.html [BCG vaccine,vial of 20 doses]",
154,"Safety box for used syringes/needles, 5 liter",1 box,0.114424388,CMST 2023,
155,Pneumococcal vaccine,1 dose,0.909948,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s359330.html  [Meningococcal A Conj 10mcg vac,10ds vial]",
157,HPV vaccine,1 dose,5.11784,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s359601.html  [HPV vaccine 2-valent, 2 doses]",
162,"Sulfamethoxazole + trimethropin, tablet 400 mg + 80 mg",1 ml (2.4 mg/ml),0.00365264,Malawi EHP 2021,
163,Malaria test kit (RDT),1 test,0.025941239,CMST 2023,
164,"Lumefantrine 120mg/Artemether 20mg,  30x18_540_CMST",1 tablet (Lumefantrine 120mg/Artemether 20mg),0.001683461,Malawi EHP 2021,
170,Injectable artesunate,1 ampoule (60 mg artesunate),0.109717557,CMST 2023,
171,Cannula iv  (winged with injection pot) 18_each_CMST,1 cannula,0.148331169,CMST 2023,
175,X-ray,1 film (35cm  X 43cm),1.885865412,CMST 2023,
178,Cat. I & III Patient Kit B,1 kit (6 blisters (168) 4-FDCs (R150/H75/Z400/E275); 18 blisters (504) 2-FDC tablets (E400/H150)),31.88276,Global Drug Facility Product Catalogue 2024 https://stoptb.org/assets/documents/gdf/who_stoptb_gdf_prod_a4.pdf  [Stop TB Cat. I+III Patient Kit B: 6 blisters (168) 4-FDCs (R150/H75/Z400/E275); 18 blisters (504) 2-FDC tablets (E400/H150)],
184,Solid culture and DST,1 culture tube,0.056429188,CMST 2023,
187,Xpert,1 cartridge,0.687267045,CMST 2023,
188,MGIT960 Culture and DST,1 test,0.351091783,CMST 2023,
190,VL Test,1 test,14.7212,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s0002143.html [GeneXpert IV, HIV1 VL cartridge kit/10]",
191,CD4 test,1 test,3.4163064,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s0001241.html [CyFlow,Easycount,CD4[abs,%],100 tests]",
192,"Isoniazid/Pyridoxine, tablet 300 mg",1 tablet (Isoniazid 300mg/Pyridoxine 25mg),0.003809549,CMST Catalogue 2023 (Price of two consumables combined),"The cost should be for both isoniazid and pyridoxine, and not matched to one drug from CMST"
196,"Test, HIV EIA Elisa",1 test,2.530502486,Malawi EHP 2021,
197,"male circumcision kit, consumables (10 procedures)_1_IDA",1 kit,13.35776,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s0002707.html [ircumcision device,ster,s.u.20mm,PAC-50]",
198,"Nevirapine, oral solution, 10 mg/ml",1 ml (10 mg/ml),0.142832807,Malawi EHP 2021,
199,"Nevirapine, tablet, 200 mg",1 mg,0.000242164,One Health Tool 2016,"Another option would be to use the cost of ""Nevirapine 10mg/mL oral suspension, 100mL bottle"" -  https://www.theglobalfund.org/media/5813/ppm_arvreferencepricing_table_en.pdf"
202,"Sulfamethoxazole + trimethropin, oral suspension, 240 mg, 100 ml",1 ml,0.00365264,Malawi EHP 2021,
203,Cotrimoxazole 120mg_1000_CMST,1 mg,1.12264E-06,CMST 2023,
204,"Cotrimoxizole, 960mg pppy",1 mg,1.10339E-06,CMST 2023,
206,Culture test,1 test kit,17.48905016,One Health Tool 2016,One Health Tool gives cost per client
209,"Vitamin A, caplet, 100,000 IU","1 capsule (100,000 IU, 30mg)",0.023736,MSH International Medical Products Price Guide (2015) UNFPA price https://msh.org/wp-content/uploads/2020/03/msh-2015-international-medical-products-price-guide.pdf,
212,"Vitamin A, caplet, 200,000 IU","1 capsule (200,000 IU, 60mg)",0.030057,MSH International Medical Products Price Guide (2015) UNFPA price https://msh.org/wp-content/uploads/2020/03/msh-2015-international-medical-products-price-guide.pdf,
213,SAM theraputic foods,1 g (Therapeutic complex of vitamins and minerals (CMV)),0.0212173,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/all-materials/nutrition.html [Therapeutic CMV,tin 800g/CAR-6] - 6 tins of 800g each",
216,Blood glucose level test,1 test strip,0.082944248,Malawi EHP 2021,
221,Hydrochlorothiazide 25mg_1000_CMST,1 mg,6.27692E-05,CMST 2023,
222,Methyldopa 250mg_1000_CMST,1 mg,9.45114E-05,CMST 2023,
225,Frusemide 40mg_1000_CMST,1 mg,7.13958E-05,CMST 2023,
226,Aspirin 300mg_1000_CMST,1 mg,9.03855E-06,CMST 2023,
227,"Insulin soluble 100 IU/ml, 10ml_each_CMST",10 ml vial (100 IU/ml),2.451678438,CMST 2023,
232,Glibenclamide 5mg_1000_CMST,1 mg,0.0003584,CMST 2023,
233,Metformin hydrochloride 500mg_100_CMST,1 mg,8.48046E-05,CMST 2023,
234,"Simvastatin, 15 mg",1 mg,0.002058437,CMST 2023,
238,"Doxorubicin, 50 mg vial",1 vial (50 mg),19.30815211,CMST 2023,
239,Cisplatin 50mg Injection,1 vial (50 mg),4.428609159,CMST 2023,
240,5-Fluorouracil 500mg injection,1 shot (500mg),1.106415446,One Health Tool 2016,
242,"diclofenac sodium 25 mg, enteric coated_1000_IDA",1 mg,1.31629E-05,CMST 2023,
243,"morphine sulphate 10 mg/ml, 1 ml, injection (nt)_10_IDA",1 ml (10 mg/ml),0.699663871,CMST 2023,
244,"Bandage, crepe 7.5cm x 1.4m long , when stretched",1 cm long (7.5 cm wide),0.00271664,CMST 2023,
247,Suture pack,1 suture pack,0.157274148,CMST 2023,
248,Flucloxacillin 250mg_100_CMST,1 mg,9.89983E-05,CMST 2023,
249,Plaster of Paris (POP) 10cm x 7.5cm slab_12_CMST,1 slab (10cm x 7.5cm),0.250806657,CMST 2023,
259,Vincristin 1mg Injection,1 ml (1 mg/ml),0.080003815,CMST 2023,
260,Paclitaxel 100mg Injection,1 ml (6 mg/ml),0.570501734,CMST 2023,
261,"Cyclophosphamide, 1 g",1 mg,0.001913456,CMST 2023,
262,"Methylprednisolone acetate sub-conj. 40mg/ml,2ml_each_CMST",2 ml vial (40 mg/ml),3.061560602,CMST 2023,
263,"bleomycin powder 15 mg (15,000 IU)   (**)_1_IDA",1 mg (1000 IU/mg),0.437975196,CMST 2023,
264,Vinblastin 10mg injection,10 ml vial (1 mg/ml),4.97490951,CMST 2023,
265,Dacarbazine 500mg injection,1 vial (500 mg),8.073016238,CMST 2023,
267,Amitriptyline 25mg_100_CMST,1 mg,2.75995E-05,CMST 2023,
268,Fluoxetine 20mg_1000_CMST,1 mg,0.0001016,CMST 2023,
275,Sodium valproate 200mg_100_CMST,1 mg,0.000169259,CMST 2023,
276,Carbamazepine 200mg_1000_CMST,1 mg,5.10651E-05,CMST 2023,
278,"Phenobarbital, 100 mg",1 mg,0.00013377,CMST 2023,
279,Phenytoin sodium 100mg_1000_CMST,1 mg,2.97266E-05,CMST 2023,
280,Diazepam 5mg_1000_CMST,1 mg,0.003821324,CMST 2023,
284,"Clonidine, .1 mg",1 mcg,0.003777508,One Health Tool 2016,"(Rasmussen, 2014) - ""Clonidine, in doses of 40 or 80 μg/kg BW, significantly reduced alcohol intake on both days of treatment (p<0.001)"""
286,Praziquantel 600mg_1000_CMST,1 mg,4.06606E-05,CMST 2023,
288,Diclofenac sodium 100mg _100_CMST,1 mg,8.49561E-05,CMST 2023,
289,Catheter Foley's + urine bag (2000ml) 10g_each_CMST,1 urine bag (2L),0.698546548,CMST 2023,
291,Prednisolone 5mg_100_CMST,1 mg,0.0014067,CMST 2023,
292,"Aminophylline 100mg, tablets",1 mg,3.19421E-05,CMST 2023,
293,Salbutamol Inhaler 100mcg/dose - 200 doses ,1 dose (100 mcg),0.005269496,CMST 2023,
295,"Paracetamol, tablet, 100 mg",1 mg,0.000368023,CMST 2023,
296,"Salbutamol, tablet, 4 mg",1 mg,0.000637213,CMST 2023,
297,"Salbutamol, syrup, 2 mg/5 ml",1 ml (2 mg/5 ml),0.00128259,Malawi EHP 2021,
298,"Salbutamol sulphate 1mg/ml, 5ml_each_CMST",5 ml vial (1 mg/ml),0.050047716,Malawi EHP 2021,
299,"Amoxycillin 125mg/5ml suspension, PFR_0.025_CMST",1 ml (125 mg/5 ml),0.006052369,CMST 2023,"Atropine sulphate 600 micrograms/ml, 1ml"
300,"Tube, nasogastric CH 8_each_CMST",1 tube,0.133920347,CMST 2023,
307,"Atropine sulphate  600 micrograms/ml, 1ml_each_CMST",1 ml (600 mcg/ml),0.138064118,CMST 2023,
1007,"Calcium, tablet, 600 mg",1 mg,4.55096E-05,CMST 2023,
1191,"Tenofovir (TDF)/Emtricitabine (FTC), tablet, 300/200 mg",1 tablet (TDF 300mg/ FTC 200 mg),0.168700166,Malawi EHP 2021,
1220,"F-75 therapeutic milk, 102.5 g",1g,0.008697488,UNICEF Supply Catalogue 2024 hhttps://supply.unicef.org/s0000236.html [F-75 Therap.milk CAN 400g/CAR-24],
1223,"F-100 therapeutic diet, sach., 114g/CAR-90",1g,0.009861475,UNICEF Supply Catalogue 2024 https://supply.unicef.org/s0000237.html [F-100 Therap.milk CAN 400g/CAR-24],
1227,"Therapeutic spread, sachet 92g/CAR-150",1 sachet,0.324064,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/all-materials/nutrition.html [Therapeutic spread,sachet 92g/CAR-150]",
1827,"Dexamethasone 5mg/ml, 5ml_each_CMST",1 ml (4 mg/ml),0.231699268,CMST 2023,
1831,"Flucloxacillin 250mg, vial, PFR_each_CMST",1 mg,9.89983E-05,CMST 2023,
1871,Cetrimide 15% + chlorhexidine 1.5% solution.for dilution _5_CMST,1 ml (Cetrimide 15% + chlorhexidine 1.5%),0.002713322,CMST 2023,
1933,Glove disposable powdered latex medium_100_CMST,1 pair of gloves,0.065658097,CMST 2023,
1960,"Syringe, autodestruct, 5ml, disposable, hypoluer with 21g needle_each_CMST",1 syringe (5 ml) + alcohol swab,0.135760586,CMST Catalogue 2023 (Price of two consumables combined),
2008,Hepatitis B test kit-Dertemine_100 tests_CMST,1 test,0.384594203,Malawi EHP 2021,
2019,Pregnancy slide test kit_100_CMST,1 test,0.033380495,CMST 2023,
2064,Dianeal + Dextrose 1.5% intraperitoneal dialysis soln. with minicap_2L_CMST,1 dialysis,16.50330633,One Health Tool 2016,Assumed that One Health Tool gives cost per client
2338,"ceftriaxon 500 mg, powder for injection_10_IDA",1 g,0.219443911,CMST 2023,
2564,"tramadol HCl 100 mg/2 ml, for injection_100_IDA",1 vial (100mg),0.268350967,CMST 2023,
2578,"vitamin B12 (cyanocobalamine) 1 mg/ml, 1 ml, inj._100_IDA",1 vial,0.37544,Trade India 2024 [Rngrow B12] https://www.tradeindia.com/products/methylcobalamin-pyridoxine-hydrochloride-niacinamide-lnjection-c7650596.html,
2606,"Benzylpenicillin 1g (1MU), PFR_Each_CMST",1 vial (1.44g/2.4 MU),0.389303334,CMST 2023,
2669,"Forceps, obstetric",1 pair of forceps,23.35820007,CMST 2023,
2670,"Vacuum, obstetric",1 delivery (assuming 1 vaccum extractor for every 100 deliveries),2.1121464,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s0791501.html [Vacuum extractor,Bird(ant&post),manu,set]",
2676,"Polyamide monofilament suture sterile 1, on 40mm 3/8 circle reverse cutting needle_12_GG005100_CMST",1 suture pack,0.157274148,CMST 2023,
2677,"Catgut chromic suture sterile 0, 75cm, round bodied ¬Ω circle 40mm needle_12_GG000600_CMST",1 suture pack,0.269995426,CMST 2023,
10,Trocar,1 use of reuseable trocar (assuming 100 uses per trocar),1.516652584,"UNICEF 2019 https://www.unicef.org/sop/media/1351/file/MNCH%20Gaza%20Mapping%20report.pdf; assume 100 uses per piece based on 'Reuseable Trocar 5mm with stopcock' from this paper - https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0271601#pone-0271601-t001;
Exchange rate taken as 0.89 2019 euros/$ from https://databank.worldbank.org/source/world-development-indicators/preview/","One Health Tool note ""For insertion, 1 trocar per 10 insertions"" for Implant"
31,"Methylergometrine, Injection  0.2 mg/ml, 1 ml amp",1 ml ampoule,0.024765783,One Health Tool 2016,"One Health tool gives cost per injection (3 units per case needed for ""Post-abortion case management"")"
32,"Pethidine, 50 mg/ml, 2 ml ampoule",1 ampoule of 2ml (50 mg/ml),0.327613052,CMST 2023,
36,"Epinephrine, ampoule, 1 mg/ml",1 ampoule of 4ml (1 mg/ml),0.176484178,CMST 2023,
45,Albendazole 200mg_1000_CMST,1 mg,4.8309E-05,CMST 2023,
131,"Cephalotin, 100 ml vial",1 vial of 1g,0.741154368,CMST 2023,
132,"Ampicillin injection 250mg, PFR_each_CMST",1 vial of 500mg,0.12299346,CMST 2023,
133,"Dextrose (glucose) 5%, 1000ml_each_CMST",1 ml (5%),0.001080891,CMST 2023,
140,"Ferrous Salt + Folic Acid, tablet, 200 + 0.25 mg",1 tablet (Ferrous sulphate 200mg/Folic acid 25mg),0.001982148,CMST 2023,
145,Hygienic disposal of children's stools - cost per client,Consumables needed for one client,6.77586005,One Health Tool 2016,One Health Tool gives cost per client but the consumables are not specified
150,Rotavirus vaccine,1 dose,2.3218,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s359500.html [Rotavirus vac.,mono,tube of 1 dose]",
151,Polio vaccine,1 dose,0.139308,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s359190.html [bOPV,bivalent type 1+3,vial of 20 doses]",
158,Measles vaccine,1 dose,0.45448,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s359163.html  [Measles vaccine,vial of 10 doses]",
160,Insecticide-treated net,1 net,0.951750102,Malawi EHP 2021,
161,Indoor residual spraying drugs/supplies to service a client,IRS for one client,3.483,"Stelmach et al Tanzania https://pmc.ncbi.nlm.nih.gov/articles/PMC6169190/#_ad93_ (Price in 2011 USD) - This cost includes non-consumable costs - personnel, equipment, fuel, logistics and planning, shipping, PPE. The cost is measured per person protected",
176,Cat. I & III Patient Kit A,1 kit (6 blisters (168) 4-FDC tablets (R150/H75/Z400/E275); 12 blisters (336) 2-FDC tablets (R150/H75)),22.0324,Global Drug Facility Product Catalogue 2024 https://stoptb.org/assets/documents/gdf/who_stoptb_gdf_prod_a4.pdf  [Stop TB Cat. I+III Patient Kit A: 6 blisters (168) 4-FDC tablets (R150/H75/Z400/E275); 12 blisters (336) 2-FDC tablets (R150/H75)],
177,Cat. II Patient Kit A1,"1 full treatment (""First line treatment for retreatment TB cases for adults"")",110.1041739,One Health Tool 2016,https://stoptb.org/assets/documents/gdf/who_stoptb_gdf_prod_a4.pdf - One Health Tool gives cost per client but the consumables are not specified
179,Cat. II Patient Kit A2,"1 full treatment (""First line treatment for retreatment TB cases for children"")",96.2180336,One Health Tool 2016,https://stoptb.org/assets/documents/gdf/who_stoptb_gdf_prod_a4.pdf - One Health Tool gives cost per client so we can use this 2016 cost for now
181,Treatment: second-line drugs,"1 full treatment (""Case management of MDR cases"")",612.0561355,One Health Tool 2016,https://stoptb.org/assets/documents/gdf/who_stoptb_gdf_prod_a4.pdf - One Health Tool gives cost per client so we can use this 2016 cost for now
182,MDR Fuel,1 assay kit,8.49433,"Global Drug Facility Product Catalogue 2024 https://www.stoptb.org/sites/default/files/gdf_diagnostics_medical_devices_other_health_products_catalog_0.pdf  [BD MAX MDR TB Assay kit, 2 x 24 tests (443878)] ",https://stoptb.org/assets/documents/gdf/who_stoptb_gdf_prod_a4.pdf
200,DNA PCR for infant after birth,1 test,2.108752072,Malawi EHP 2021,
205,Nutrition supplements in first six months drugs/supplies to service a client,1 sachet (multiple micronutrient),0.018772,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/all-materials/nutrition.html [Multiple micrn. pdr,custom sach./PAC-30] - box of 30 sachets",
207,Smear test,1 test,2.530502486,Malawi EHP 2021,
208,Corn Soya Blend (or Supercereal - CSB++),1 g,0.004770393,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/all-materials/nutrition.html [Emergency food ration,500g/CAR-24] - 24 packsof 500g each (9 bars per 500 gram pack)",
214,SAM medicines,"1 full treatment (""Management of severe malnutrition (children)"")",1.768550392,"Calculated using CMST 2023 prices for the drugs included in treatment (antibiotics, albendazole, antimalarials, measles vaccine for uncomplicated cases + glucose, ORS, vitamin A for complicated cases). 15% of cases assumed to be complicated (weighted average taken)",
266,Leucovorin 50mg injection,1 vial (5 mg),2.47144713,CMST 2023,
281,"Thiamine (vitamin B1), 100 mg",,0.054834,UNICEF Supply Catalogue 2024 https://supply.unicef.org/s0000203.html [Thiamine 50mg tabs/PAC-100] Thiamine 50mg tablets in a bottle containing 100 tablets.,
283,"Methadone, 5 mg",1 ml,0.017434907,UNICEF Supply Catalogue 2024 https://supply.unicef.org/s0003033.html [Methadone HCl 5mg/ml or.sol 1000ml/PAC-6] 6 bottles of 1000ml each,
285,Mectizan,"1 full treatment (""Onchocerciasis mass drug administration"")",3.788747989,One Health Tool 2016,One Health Tool gives cost per client
287,I/V R/lactate 3Lts,"1 full treatment (""LF hydrocele surgery"")",6.946176901,One Health Tool 2016,One Health Tool gives cost per client (3 units are needed per client)
290,Underpants,1 underpant,4.293914388,One Health Tool 2016,One Health Tool gives cost per client (1 unit needed per client)
1015,Dietary supplements (country-specific),1 sachet,0.018772,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/all-materials/nutrition.html [Multiple micrn. pdr,custom sach./PAC-30] - box of 30 sachets",
1197,"Pentavalent vaccine (DPT, Hep B, Hib)",1 dose,0.84474,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/s359129.html  [DTP-HepB-Hib vac.,liquid,vial of 10 dose]",
1221,"Supplementary spread, sachet 92g/CAR-150",1 sachet (92g),0.324064,"UNICEF Supply Catalogue 2024 https://supply.unicef.org/all-materials/nutrition.html [Therapeutic spread,sachet 92g/CAR-150]",
2580,"vitamin K1  (phytomenadione) 1 mg/ml, 1 ml, inj._100_IDA",1 ml (2 mg/ml),0.582435,MSH International Medical Products Price Guide (2015)  price https://msh.org/wp-content/uploads/2020/03/msh-2015-international-medical-products-price-guide.pdf,
2671,First-line ART regimen: adult,1 tablet (Tenofovir/Lamivudine/Dolutegravir 300mg/300mg/50mg),0.103,MSF Access ARV Prices 2023 - TDF/3TC/DTG - https://www.msfaccess.org/antiretroviral-prices-2023,
2672,First line ART regimen: older child,1 tablet (Abacavir/Dolutegravir/Lamivudine 60/5/30mg),0.082333333,"Global Fund ARV Reference Prices 2024 - https://www.theglobalfund.org/media/5813/ppm_arvreferencepricing_table_en.pdf Abacavir/Dolutegravir/Lamivudine 60/5/30mg dispersible tablet, container of 90 tablets",
