MAP IRSrates (.csv)
===================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/malaria/ResourceFile_malaria/MAP_IRSrates.csv>`

====  ===============  =============  ======  ========  ==============  ============  ============  =============  ===========
  64  Central Region   Dowa             2011  0         local                      0             1  vague prior    MAP
  65  Central Region   Dowa             2012  0         local                      0             1  vague prior    MAP
  66  Central Region   Dowa             2013  0         local                      0             1  vague prior    MAP
  67  Central Region   Dowa             2014  0         local                      0             1  vague prior    MAP
  68  Central Region   Dowa             2015  0         local                      0             1  vague prior    MAP
  69  Central Region   Dowa             2016  0         local                      0             1  vague prior    MAP
  70  Central Region   Dowa             2017  0         local                      0             1  vague prior    MAP
  71  Central Region   Dowa             2018  0         local                      0             1  vague prior    MAP
  72  Northern Region  Karonga          2010  0.835191  local                      0             1  vague prior    MAP
  73  Northern Region  Karonga          2011  0         local                      0             1  vague prior    MAP
  74  Northern Region  Karonga          2012  0.733117  local                      0             1  vague prior    MAP
  75  Northern Region  Karonga          2013  0         local                      0             1  vague prior    MAP
  76  Northern Region  Karonga          2014  0         local                      0             1  vague prior    MAP
  77  Northern Region  Karonga          2015  0.697537  local                      0             1  vague prior    MAP
  78  Northern Region  Karonga          2016  0         local                      0             1  vague prior    MAP
  79  Northern Region  Karonga          2017  0         local                      0             1  vague prior    MAP
  80  Northern Region  Karonga          2018  0         local                      0             1  vague prior    MAP
  81  Central Region   Kasungu          2010  0         local                      0             1  vague prior    MAP
  82  Central Region   Kasungu          2011  0         local                      0             1  vague prior    MAP
  83  Central Region   Kasungu          2012  0         local                      0             1  vague prior    MAP
  84  Central Region   Kasungu          2013  0         local                      0             1  vague prior    MAP
  85  Central Region   Kasungu          2014  0         local                      0             1  vague prior    MAP
  86  Central Region   Kasungu          2015  0         local                      0             1  vague prior    MAP
  87  Central Region   Kasungu          2016  0         local                      0             1  vague prior    MAP
  88  Central Region   Kasungu          2017  0         local                      0             1  vague prior    MAP
  89  Central Region   Kasungu          2018  0         local                      0             1  vague prior    MAP
  90  Northern Region  Likoma           2010  0         local                      0             1  vague prior    MAP
  91  Northern Region  Likoma           2011  0         local                      0             1  vague prior    MAP
  92  Northern Region  Likoma           2012  0         local                      0             1  vague prior    MAP
  93  Northern Region  Likoma           2013  0         local                      0             1  vague prior    MAP
  94  Northern Region  Likoma           2014  0         local                      0             1  vague prior    MAP
  95  Northern Region  Likoma           2015  0         local                      0             1  vague prior    MAP
  96  Northern Region  Likoma           2016  0         local                      0             1  vague prior    MAP
  97  Northern Region  Likoma           2017  0         local                      0             1  vague prior    MAP
  98  Northern Region  Likoma           2018  0         local                      0             1  vague prior    MAP
  99  Central Region   Lilongwe         2010  0         local                      0             1  vague prior    MAP
 100  Central Region   Lilongwe         2011  0         local                      0             1  vague prior    MAP
 101  Central Region   Lilongwe         2012  0         local                      0             1  vague prior    MAP
 102  Central Region   Lilongwe         2013  0         local                      0             1  vague prior    MAP
 103  Central Region   Lilongwe         2014  0         local                      0             1  vague prior    MAP
 104  Central Region   Lilongwe         2015  0         local                      0             1  vague prior    MAP
 105  Central Region   Lilongwe         2016  0         local                      0             1  vague prior    MAP
 106  Central Region   Lilongwe         2017  0         local                      0             1  vague prior    MAP
 107  Central Region   Lilongwe         2018  0         local                      0             1  vague prior    MAP
 108  Central Region   Lilongwe City    2010  0         local                      0             1  vague prior    MAP
 109  Central Region   Lilongwe City    2011  0         local                      0             1  vague prior    MAP
 110  Central Region   Lilongwe City    2012  0         local                      0             1  vague prior    MAP
 111  Central Region   Lilongwe City    2013  0         local                      0             1  vague prior    MAP
 112  Central Region   Lilongwe City    2014  0         local                      0             1  vague prior    MAP
 113  Central Region   Lilongwe City    2015  0         local                      0             1  vague prior    MAP
 114  Central Region   Lilongwe City    2016  0         local                      0             1  vague prior    MAP
 115  Central Region   Lilongwe City    2017  0         local                      0             1  vague prior    MAP
 116  Central Region   Lilongwe City    2018  0         local                      0             1  vague prior    MAP
 117  Southern Region  Machinga         2010  0         local                      0             1  vague prior    MAP
 118  Southern Region  Machinga         2011  0         local                      0             1  vague prior    MAP
 119  Southern Region  Machinga         2012  0         local                      0             1  vague prior    MAP
 120  Southern Region  Machinga         2013  0         local                      0             1  vague prior    MAP
 121  Southern Region  Machinga         2014  0         local                      0             1  vague prior    MAP
 122  Southern Region  Machinga         2015  0         local                      0             1  vague prior    MAP
 123  Southern Region  Machinga         2016  0         local                      0             1  vague prior    MAP
 124  Southern Region  Machinga         2017  0         local                      0             1  vague prior    MAP
 125  Southern Region  Machinga         2018  0         local                      0             1  vague prior    MAP
 126  Southern Region  Mangochi         2010  0.264321  local                      0             1  vague prior    MAP
 127  Southern Region  Mangochi         2011  0         local                      0             1  vague prior    MAP
 128  Southern Region  Mangochi         2012  0.236382  local                      0             1  vague prior    MAP
 129  Southern Region  Mangochi         2013  0         local                      0             1  vague prior    MAP
 130  Southern Region  Mangochi         2014  0         local                      0             1  vague prior    MAP
 131  Southern Region  Mangochi         2015  0         local                      0             1  vague prior    MAP
 132  Southern Region  Mangochi         2016  0         local                      0             1  vague prior    MAP
 133  Southern Region  Mangochi         2017  0         local                      0             1  vague prior    MAP
 134  Southern Region  Mangochi         2018  0         local                      0             1  vague prior    MAP
 135  Central Region   Mchinji          2010  0         local                      0             1  vague prior    MAP
 136  Central Region   Mchinji          2011  0         local                      0             1  vague prior    MAP
 137  Central Region   Mchinji          2012  0         local                      0             1  vague prior    MAP
 138  Central Region   Mchinji          2013  0         local                      0             1  vague prior    MAP
 139  Central Region   Mchinji          2014  0         local                      0             1  vague prior    MAP
 140  Central Region   Mchinji          2015  0.374022  local                      0             1  vague prior    MAP
 141  Central Region   Mchinji          2016  0         local                      0             1  vague prior    MAP
 142  Central Region   Mchinji          2017  0         local                      0             1  vague prior    MAP
 143  Central Region   Mchinji          2018  0         local                      0             1  vague prior    MAP
 144  Southern Region  Mulanje          2010  0         local                      0             1  vague prior    MAP
 145  Southern Region  Mulanje          2011  0         local                      0             1  vague prior    MAP
 146  Southern Region  Mulanje          2012  0         local                      0             1  vague prior    MAP
 147  Southern Region  Mulanje          2013  0         local                      0             1  vague prior    MAP
 148  Southern Region  Mulanje          2014  0         local                      0             1  vague prior    MAP
 149  Southern Region  Mulanje          2015  0         local                      0             1  vague prior    MAP
 150  Southern Region  Mulanje          2016  0         local                      0             1  vague prior    MAP
 151  Southern Region  Mulanje          2017  0         local                      0             1  vague prior    MAP
 152  Southern Region  Mulanje          2018  0         local                      0             1  vague prior    MAP
 153  Southern Region  Mwanza           2010  0         local                      0             1  vague prior    MAP
 154  Southern Region  Mwanza           2011  0         local                      0             1  vague prior    MAP
 155  Southern Region  Mwanza           2012  0         local                      0             1  vague prior    MAP
 156  Southern Region  Mwanza           2013  0         local                      0             1  vague prior    MAP
 157  Southern Region  Mwanza           2014  0         local                      0             1  vague prior    MAP
 158  Southern Region  Mwanza           2015  0         local                      0             1  vague prior    MAP
 159  Southern Region  Mwanza           2016  0         local                      0             1  vague prior    MAP
 160  Southern Region  Mwanza           2017  0         local                      0             1  vague prior    MAP
 161  Southern Region  Mwanza           2018  0         local                      0             1  vague prior    MAP
 162  Northern Region  Mzimba           2010  0         local                      0             1  vague prior    MAP
 163  Northern Region  Mzimba           2011  0         local                      0             1  vague prior    MAP
 164  Northern Region  Mzimba           2012  0         local                      0             1  vague prior    MAP
 165  Northern Region  Mzimba           2013  0         local                      0             1  vague prior    MAP
 166  Northern Region  Mzimba           2014  0         local                      0             1  vague prior    MAP
 167  Northern Region  Mzimba           2015  0         local                      0             1  vague prior    MAP
 168  Northern Region  Mzimba           2016  0         local                      0             1  vague prior    MAP
 169  Northern Region  Mzimba           2017  0         local                      0             1  vague prior    MAP
 170  Northern Region  Mzimba           2018  0         local                      0             1  vague prior    MAP
 171  Northern Region  Mzuzu City       2010  0         local                      0             1  vague prior    MAP
 172  Northern Region  Mzuzu City       2011  0         local                      0             1  vague prior    MAP
 173  Northern Region  Mzuzu City       2012  0         local                      0             1  vague prior    MAP
 174  Northern Region  Mzuzu City       2013  0         local                      0             1  vague prior    MAP
 175  Northern Region  Mzuzu City       2014  0         local                      0             1  vague prior    MAP
 176  Northern Region  Mzuzu City       2015  0         local                      0             1  vague prior    MAP
 177  Northern Region  Mzuzu City       2016  0         local                      0             1  vague prior    MAP
 178  Northern Region  Mzuzu City       2017  0         local                      0             1  vague prior    MAP
 179  Northern Region  Mzuzu City       2018  0         local                      0             1  vague prior    MAP
 180  Southern Region  Neno             2010  0         local                      0             1  vague prior    MAP
 181  Southern Region  Neno             2011  0         local                      0             1  vague prior    MAP
 182  Southern Region  Neno             2012  0         local                      0             1  vague prior    MAP
 183  Southern Region  Neno             2013  0         local                      0             1  vague prior    MAP
 184  Southern Region  Neno             2014  0         local                      0             1  vague prior    MAP
 185  Southern Region  Neno             2015  0         local                      0             1  vague prior    MAP
 186  Southern Region  Neno             2016  0         local                      0             1  vague prior    MAP
 187  Southern Region  Neno             2017  0         local                      0             1  vague prior    MAP
 188  Southern Region  Neno             2018  0         local                      0             1  vague prior    MAP
 189  Northern Region  Nkhata Bay       2010  1         local                      0             1  vague prior    MAP
 190  Northern Region  Nkhata Bay       2011  0         local                      0             1  vague prior    MAP
 191  Northern Region  Nkhata Bay       2012  0.883861  local                      0             1  vague prior    MAP
 192  Northern Region  Nkhata Bay       2013  0         local                      0             1  vague prior    MAP
 193  Northern Region  Nkhata Bay       2014  0         local                      0             1  vague prior    MAP
 194  Northern Region  Nkhata Bay       2015  0         local                      0             1  vague prior    MAP
 195  Northern Region  Nkhata Bay       2016  0         local                      0             1  vague prior    MAP
 196  Northern Region  Nkhata Bay       2017  0         local                      0             1  vague prior    MAP
 197  Northern Region  Nkhata Bay       2018  0         local                      0             1  vague prior    MAP
 198  Central Region   Nkhotakota       2010  0.376786  local                      0             1  vague prior    MAP
 199  Central Region   Nkhotakota       2011  0.575915  local                      0             1  vague prior    MAP
 200  Central Region   Nkhotakota       2012  0.58515   local                      0             1  vague prior    MAP
 201  Central Region   Nkhotakota       2013  0         local                      0             1  vague prior    MAP
 202  Central Region   Nkhotakota       2014  0         local                      0             1  vague prior    MAP
 203  Central Region   Nkhotakota       2015  0         local                      0             1  vague prior    MAP
 204  Central Region   Nkhotakota       2016  0         local                      0             1  vague prior    MAP
 205  Central Region   Nkhotakota       2017  0         local                      0             1  vague prior    MAP
 206  Central Region   Nkhotakota       2018  0         local                      0             1  vague prior    MAP
 207  Southern Region  Nsanje           2010  0.84936   local                      0             1  vague prior    MAP
 208  Southern Region  Nsanje           2011  0         local                      0             1  vague prior    MAP
 209  Southern Region  Nsanje           2012  0.748723  local                      0             1  vague prior    MAP
 210  Southern Region  Nsanje           2013  0         local                      0             1  vague prior    MAP
 211  Southern Region  Nsanje           2014  0         local                      0             1  vague prior    MAP
 212  Southern Region  Nsanje           2015  0         local                      0             1  vague prior    MAP
 213  Southern Region  Nsanje           2016  0         local                      0             1  vague prior    MAP
 214  Southern Region  Nsanje           2017  0         local                      0             1  vague prior    MAP
 215  Southern Region  Nsanje           2018  0         local                      0             1  vague prior    MAP
 216  Central Region   Ntcheu           2010  0         local                      0             1  vague prior    MAP
 217  Central Region   Ntcheu           2011  0         local                      0             1  vague prior    MAP
 218  Central Region   Ntcheu           2012  0         local                      0             1  vague prior    MAP
 219  Central Region   Ntcheu           2013  0         local                      0             1  vague prior    MAP
 220  Central Region   Ntcheu           2014  0         local                      0             1  vague prior    MAP
 221  Central Region   Ntcheu           2015  0         local                      0             1  vague prior    MAP
 222  Central Region   Ntcheu           2016  0         local                      0             1  vague prior    MAP
 223  Central Region   Ntcheu           2017  0         local                      0             1  vague prior    MAP
 224  Central Region   Ntcheu           2018  0         local                      0             1  vague prior    MAP
 225  Central Region   Ntchisi          2010  0         local                      0             1  vague prior    MAP
 226  Central Region   Ntchisi          2011  0         local                      0             1  vague prior    MAP
 227  Central Region   Ntchisi          2012  0         local                      0             1  vague prior    MAP
 228  Central Region   Ntchisi          2013  0         local                      0             1  vague prior    MAP
 229  Central Region   Ntchisi          2014  0         local                      0             1  vague prior    MAP
 230  Central Region   Ntchisi          2015  0         local                      0             1  vague prior    MAP
 231  Central Region   Ntchisi          2016  0         local                      0             1  vague prior    MAP
 232  Central Region   Ntchisi          2017  0         local                      0             1  vague prior    MAP
 233  Central Region   Ntchisi          2018  0         local                      0             1  vague prior    MAP
 234  Southern Region  Phalombe         2010  0         local                      0             1  vague prior    MAP
 235  Southern Region  Phalombe         2011  0         local                      0             1  vague prior    MAP
 236  Southern Region  Phalombe         2012  0         local                      0             1  vague prior    MAP
 237  Southern Region  Phalombe         2013  0         local                      0             1  vague prior    MAP
 238  Southern Region  Phalombe         2014  0         local                      0             1  vague prior    MAP
 239  Southern Region  Phalombe         2015  0         local                      0             1  vague prior    MAP
 240  Southern Region  Phalombe         2016  0         local                      0             1  vague prior    MAP
 241  Southern Region  Phalombe         2017  0         local                      0             1  vague prior    MAP
 242  Southern Region  Phalombe         2018  0         local                      0             1  vague prior    MAP
 243  Northern Region  Rumphi           2010  0         local                      0             1  vague prior    MAP
 244  Northern Region  Rumphi           2011  0         local                      0             1  vague prior    MAP
 245  Northern Region  Rumphi           2012  0         local                      0             1  vague prior    MAP
 246  Northern Region  Rumphi           2013  0         local                      0             1  vague prior    MAP
 247  Northern Region  Rumphi           2014  0         local                      0             1  vague prior    MAP
 248  Northern Region  Rumphi           2015  0         local                      0             1  vague prior    MAP
 249  Northern Region  Rumphi           2016  0         local                      0             1  vague prior    MAP
 250  Northern Region  Rumphi           2017  0         local                      0             1  vague prior    MAP
 251  Northern Region  Rumphi           2018  0         local                      0             1  vague prior    MAP
 252  Central Region   Salima           2010  0.335071  local                      0             1  vague prior    MAP
 253  Central Region   Salima           2011  0         local                      0             1  vague prior    MAP
 254  Central Region   Salima           2012  0.535895  local                      0             1  vague prior    MAP
 255  Central Region   Salima           2013  0.50138   local                      0             1  vague prior    MAP
 256  Central Region   Salima           2014  0         local                      0             1  vague prior    MAP
 257  Central Region   Salima           2015  0         local                      0             1  vague prior    MAP
 258  Central Region   Salima           2016  0         local                      0             1  vague prior    MAP
 259  Central Region   Salima           2017  0         local                      0             1  vague prior    MAP
 260  Central Region   Salima           2018  0         local                      0             1  vague prior    MAP
 261  Southern Region  Thyolo           2010  0         local                      0             1  vague prior    MAP
 262  Southern Region  Thyolo           2011  0         local                      0             1  vague prior    MAP
 263  Southern Region  Thyolo           2012  0         local                      0             1  vague prior    MAP
 264  Southern Region  Thyolo           2013  0         local                      0             1  vague prior    MAP
 265  Southern Region  Thyolo           2014  0         local                      0             1  vague prior    MAP
 266  Southern Region  Thyolo           2015  0         local                      0             1  vague prior    MAP
 267  Southern Region  Thyolo           2016  0         local                      0             1  vague prior    MAP
 268  Southern Region  Thyolo           2017  0         local                      0             1  vague prior    MAP
 269  Southern Region  Thyolo           2018  0         local                      0             1  vague prior    MAP
 270  Southern Region  Zomba            2010  0         local                      0             1  vague prior    MAP
 271  Southern Region  Zomba            2011  0         local                      0             1  vague prior    MAP
 272  Southern Region  Zomba            2012  0         local                      0             1  vague prior    MAP
 273  Southern Region  Zomba            2013  0         local                      0             1  vague prior    MAP
 274  Southern Region  Zomba            2014  0         local                      0             1  vague prior    MAP
 275  Southern Region  Zomba            2015  0         local                      0             1  vague prior    MAP
 276  Southern Region  Zomba            2016  0         local                      0             1  vague prior    MAP
 277  Southern Region  Zomba            2017  0         local                      0             1  vague prior    MAP
 278  Southern Region  Zomba            2018  0         local                      0             1  vague prior    MAP
 279  Southern Region  Zomba City       2010  0         local                      0             1  vague prior    MAP
 280  Southern Region  Zomba City       2011  0         local                      0             1  vague prior    MAP
 281  Southern Region  Zomba City       2012  0         local                      0             1  vague prior    MAP
 282  Southern Region  Zomba City       2013  0         local                      0             1  vague prior    MAP
 283  Southern Region  Zomba City       2014  0         local                      0             1  vague prior    MAP
 284  Southern Region  Zomba City       2015  0         local                      0             1  vague prior    MAP
 285  Southern Region  Zomba City       2016  0         local                      0             1  vague prior    MAP
 286  Southern Region  Zomba City       2017  0         local                      0             1  vague prior    MAP
 287  Southern Region  Zomba City       2018  0         local                      0             1  vague prior    MAP
====  ===============  =============  ======  ========  ==============  ============  ============  =============  ===========
