MAP ITNrates (.csv)
===================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/malaria/ResourceFile_malaria/MAP_ITNrates.csv>`

====  =============  ======  ========  ==============  ============  ============  =============  ===========
 156  Mwanza           2013  0.51159   local                      0             1  vague prior    MAP
 157  Mwanza           2014  0.505847  local                      0             1  vague prior    MAP
 158  Mwanza           2015  0.522302  local                      0             1  vague prior    MAP
 159  Mwanza           2016  0.718756  local                      0             1  vague prior    MAP
 160  Mwanza           2017  0.615649  local                      0             1  vague prior    MAP
 161  Mwanza           2018  0.656705  local                      0             1  vague prior    MAP
 162  Mzimba           2010  0.253036  local                      0             1  vague prior    MAP
 163  Mzimba           2011  0.248646  local                      0             1  vague prior    MAP
 164  Mzimba           2012  0.463346  local                      0             1  vague prior    MAP
 165  Mzimba           2013  0.650647  local                      0             1  vague prior    MAP
 166  Mzimba           2014  0.49509   local                      0             1  vague prior    MAP
 167  Mzimba           2015  0.352556  local                      0             1  vague prior    MAP
 168  Mzimba           2016  0.563074  local                      0             1  vague prior    MAP
 169  Mzimba           2017  0.495705  local                      0             1  vague prior    MAP
 170  Mzimba           2018  0.554879  local                      0             1  vague prior    MAP
 171  Mzuzu City       2010  0.253036  local                      0             1  vague prior    MAP
 172  Mzuzu City       2011  0.248646  local                      0             1  vague prior    MAP
 173  Mzuzu City       2012  0.463346  local                      0             1  vague prior    MAP
 174  Mzuzu City       2013  0.650647  local                      0             1  vague prior    MAP
 175  Mzuzu City       2014  0.49509   local                      0             1  vague prior    MAP
 176  Mzuzu City       2015  0.352556  local                      0             1  vague prior    MAP
 177  Mzuzu City       2016  0.563074  local                      0             1  vague prior    MAP
 178  Mzuzu City       2017  0.495705  local                      0             1  vague prior    MAP
 179  Mzuzu City       2018  0.554879  local                      0             1  vague prior    MAP
 180  Neno             2010  0.51421   local                      0             1  vague prior    MAP
 181  Neno             2011  0.251517  local                      0             1  vague prior    MAP
 182  Neno             2012  0.385391  local                      0             1  vague prior    MAP
 183  Neno             2013  0.611444  local                      0             1  vague prior    MAP
 184  Neno             2014  0.554046  local                      0             1  vague prior    MAP
 185  Neno             2015  0.50717   local                      0             1  vague prior    MAP
 186  Neno             2016  0.697608  local                      0             1  vague prior    MAP
 187  Neno             2017  0.604436  local                      0             1  vague prior    MAP
 188  Neno             2018  0.649194  local                      0             1  vague prior    MAP
 189  Nkhata Bay       2010  0.371624  local                      0             1  vague prior    MAP
 190  Nkhata Bay       2011  0.376911  local                      0             1  vague prior    MAP
 191  Nkhata Bay       2012  0.595822  local                      0             1  vague prior    MAP
 192  Nkhata Bay       2013  0.738537  local                      0             1  vague prior    MAP
 193  Nkhata Bay       2014  0.5447    local                      0             1  vague prior    MAP
 194  Nkhata Bay       2015  0.376116  local                      0             1  vague prior    MAP
 195  Nkhata Bay       2016  0.612325  local                      0             1  vague prior    MAP
 196  Nkhata Bay       2017  0.588713  local                      0             1  vague prior    MAP
 197  Nkhata Bay       2018  0.655951  local                      0             1  vague prior    MAP
 198  Nkhotakota       2010  0.398526  local                      0             1  vague prior    MAP
 199  Nkhotakota       2011  0.367991  local                      0             1  vague prior    MAP
 200  Nkhotakota       2012  0.572883  local                      0             1  vague prior    MAP
 201  Nkhotakota       2013  0.744573  local                      0             1  vague prior    MAP
 202  Nkhotakota       2014  0.666086  local                      0             1  vague prior    MAP
 203  Nkhotakota       2015  0.585193  local                      0             1  vague prior    MAP
 204  Nkhotakota       2016  0.731053  local                      0             1  vague prior    MAP
 205  Nkhotakota       2017  0.615616  local                      0             1  vague prior    MAP
 206  Nkhotakota       2018  0.650146  local                      0             1  vague prior    MAP
 207  Nsanje           2010  0.434865  local                      0             1  vague prior    MAP
 208  Nsanje           2011  0.207987  local                      0             1  vague prior    MAP
 209  Nsanje           2012  0.341707  local                      0             1  vague prior    MAP
 210  Nsanje           2013  0.551004  local                      0             1  vague prior    MAP
 211  Nsanje           2014  0.403663  local                      0             1  vague prior    MAP
 212  Nsanje           2015  0.304227  local                      0             1  vague prior    MAP
 213  Nsanje           2016  0.550599  local                      0             1  vague prior    MAP
 214  Nsanje           2017  0.534343  local                      0             1  vague prior    MAP
 215  Nsanje           2018  0.607801  local                      0             1  vague prior    MAP
 216  Ntcheu           2010  0.472703  local                      0             1  vague prior    MAP
 217  Ntcheu           2011  0.259354  local                      0             1  vague prior    MAP
 218  Ntcheu           2012  0.498451  local                      0             1  vague prior    MAP
 219  Ntcheu           2013  0.746156  local                      0             1  vague prior    MAP
 220  Ntcheu           2014  0.593414  local                      0             1  vague prior    MAP
 221  Ntcheu           2015  0.411739  local                      0             1  vague prior    MAP
 222  Ntcheu           2016  0.606281  local                      0             1  vague prior    MAP
 223  Ntcheu           2017  0.546452  local                      0             1  vague prior    MAP
 224  Ntcheu           2018  0.605481  local                      0             1  vague prior    MAP
 225  Ntchisi          2010  0.290157  local                      0             1  vague prior    MAP
 226  Ntchisi          2011  0.24619   local                      0             1  vague prior    MAP
 227  Ntchisi          2012  0.417184  local                      0             1  vague prior    MAP
 228  Ntchisi          2013  0.58758   local                      0             1  vague prior    MAP
 229  Ntchisi          2014  0.488724  local                      0             1  vague prior    MAP
 230  Ntchisi          2015  0.403572  local                      0             1  vague prior    MAP
 231  Ntchisi          2016  0.579688  local                      0             1  vague prior    MAP
 232  Ntchisi          2017  0.454175  local                      0             1  vague prior    MAP
 233  Ntchisi          2018  0.493145  local                      0             1  vague prior    MAP
 234  Phalombe         2010  0.464213  local                      0             1  vague prior    MAP
 235  Phalombe         2011  0.257946  local                      0             1  vague prior    MAP
 236  Phalombe         2012  0.442517  local                      0             1  vague prior    MAP
 237  Phalombe         2013  0.655912  local                      0             1  vague prior    MAP
 238  Phalombe         2014  0.490564  local                      0             1  vague prior    MAP
 239  Phalombe         2015  0.373927  local                      0             1  vague prior    MAP
 240  Phalombe         2016  0.660634  local                      0             1  vague prior    MAP
 241  Phalombe         2017  0.688238  local                      0             1  vague prior    MAP
 242  Phalombe         2018  0.761216  local                      0             1  vague prior    MAP
 243  Rumphi           2010  0.233508  local                      0             1  vague prior    MAP
 244  Rumphi           2011  0.221174  local                      0             1  vague prior    MAP
 245  Rumphi           2012  0.442382  local                      0             1  vague prior    MAP
 246  Rumphi           2013  0.647515  local                      0             1  vague prior    MAP
 247  Rumphi           2014  0.49768   local                      0             1  vague prior    MAP
 248  Rumphi           2015  0.354453  local                      0             1  vague prior    MAP
 249  Rumphi           2016  0.563182  local                      0             1  vague prior    MAP
 250  Rumphi           2017  0.47639   local                      0             1  vague prior    MAP
 251  Rumphi           2018  0.523302  local                      0             1  vague prior    MAP
 252  Salima           2010  0.431517  local                      0             1  vague prior    MAP
 253  Salima           2011  0.341394  local                      0             1  vague prior    MAP
 254  Salima           2012  0.611721  local                      0             1  vague prior    MAP
 255  Salima           2013  0.812768  local                      0             1  vague prior    MAP
 256  Salima           2014  0.648068  local                      0             1  vague prior    MAP
 257  Salima           2015  0.42467   local                      0             1  vague prior    MAP
 258  Salima           2016  0.586592  local                      0             1  vague prior    MAP
 259  Salima           2017  0.500394  local                      0             1  vague prior    MAP
 260  Salima           2018  0.553259  local                      0             1  vague prior    MAP
 261  Thyolo           2010  0.448203  local                      0             1  vague prior    MAP
 262  Thyolo           2011  0.211596  local                      0             1  vague prior    MAP
 263  Thyolo           2012  0.350933  local                      0             1  vague prior    MAP
 264  Thyolo           2013  0.539436  local                      0             1  vague prior    MAP
 265  Thyolo           2014  0.385145  local                      0             1  vague prior    MAP
 266  Thyolo           2015  0.279378  local                      0             1  vague prior    MAP
 267  Thyolo           2016  0.516124  local                      0             1  vague prior    MAP
 268  Thyolo           2017  0.485511  local                      0             1  vague prior    MAP
 269  Thyolo           2018  0.55659   local                      0             1  vague prior    MAP
 270  Zomba            2010  0.492926  local                      0             1  vague prior    MAP
 271  Zomba            2011  0.249782  local                      0             1  vague prior    MAP
 272  Zomba            2012  0.442018  local                      0             1  vague prior    MAP
 273  Zomba            2013  0.685268  local                      0             1  vague prior    MAP
 274  Zomba            2014  0.549356  local                      0             1  vague prior    MAP
 275  Zomba            2015  0.423389  local                      0             1  vague prior    MAP
 276  Zomba            2016  0.657868  local                      0             1  vague prior    MAP
 277  Zomba            2017  0.624096  local                      0             1  vague prior    MAP
 278  Zomba            2018  0.686783  local                      0             1  vague prior    MAP
 279  Zomba City       2010  0.492926  local                      0             1  vague prior    MAP
 280  Zomba City       2011  0.249782  local                      0             1  vague prior    MAP
 281  Zomba City       2012  0.442018  local                      0             1  vague prior    MAP
 282  Zomba City       2013  0.685268  local                      0             1  vague prior    MAP
 283  Zomba City       2014  0.549356  local                      0             1  vague prior    MAP
 284  Zomba City       2015  0.423389  local                      0             1  vague prior    MAP
 285  Zomba City       2016  0.657868  local                      0             1  vague prior    MAP
 286  Zomba City       2017  0.624096  local                      0             1  vague prior    MAP
 287  Zomba City       2018  0.686783  local                      0             1  vague prior    MAP
====  =============  ======  ========  ==============  ============  ============  =============  ===========
