,Village,District,Region,Population
73,Kantwanje,Balaka,South,2020.1797235023041
74,Kanyimbo,Balaka,South,2020.1797235023041
75,Kanyole,Balaka,South,2020.1797235023041
76,Kapalamula I,Balaka,South,2020.1797235023041
77,Kapire,Balaka,South,2020.1797235023041
78,Kasonya,Balaka,South,2020.1797235023041
79,Katapila,Balaka,South,2020.1797235023041
80,Katundu,Balaka,South,2020.1797235023041
81,Kaumphawi,Balaka,South,2020.1797235023041
82,Kavala,Balaka,South,2020.1797235023041
83,Kefa,Balaka,South,2020.1797235023041
84,Khawaleya,Balaka,South,2020.1797235023041
85,Khoswe,Balaka,South,2020.1797235023041
86,Kuntiyani,Balaka,South,2020.1797235023041
87,Lakalaka,Balaka,South,2020.1797235023041
88,Lazalo,Balaka,South,2020.1797235023041
89,Lemu,Balaka,South,2020.1797235023041
90,Ligwangwa,Balaka,South,2020.1797235023041
91,Likoja,Balaka,South,2020.1797235023041
92,Liwiza,Balaka,South,2020.1797235023041
93,Mackenzie,Balaka,South,2020.1797235023041
94,Maduwani,Balaka,South,2020.1797235023041
95,Madyelatu,Balaka,South,2020.1797235023041
96,Magombo,Balaka,South,2020.1797235023041
97,Mahowa,Balaka,South,2020.1797235023041
98,Majikuta,Balaka,South,2020.1797235023041
99,Makande,Balaka,South,2020.1797235023041
100,Makoleje I,Balaka,South,2020.1797235023041
101,Makunganya,Balaka,South,2020.1797235023041
102,Makwinja,Balaka,South,2020.1797235023041
103,Malakata,Balaka,South,2020.1797235023041
104,Maleta,Balaka,South,2020.1797235023041
105,Malewa,Balaka,South,2020.1797235023041
106,Maliwata,Balaka,South,2020.1797235023041
107,Malopa,Balaka,South,2020.1797235023041
108,Malula,Balaka,South,2020.1797235023041
109,Manjanja,Balaka,South,2020.1797235023041
110,Mapiko,Balaka,South,2020.1797235023041
111,Matanda,Balaka,South,2020.1797235023041
112,Matembera,Balaka,South,2020.1797235023041
113,Matola,Balaka,South,2020.1797235023041
114,Mazenga,Balaka,South,2020.1797235023041
115,Mbatamira,Balaka,South,2020.1797235023041
116,Mbera,Balaka,South,2020.1797235023041
117,Mbewe,Balaka,South,2020.1797235023041
118,Mboga,Balaka,South,2020.1797235023041
119,Mchenga,Balaka,South,2020.1797235023041
120,Mgomwa,Balaka,South,2020.1797235023041
121,Mgwira,Balaka,South,2020.1797235023041
122,Million,Balaka,South,2020.1797235023041
123,Minama,Balaka,South,2020.1797235023041
124,Mjale,Balaka,South,2020.1797235023041
125,Mkamwana,Balaka,South,2020.1797235023041
126,Mkanda,Balaka,South,2020.1797235023041
127,Mkwatula,Balaka,South,2020.1797235023041
128,Mkwekwe,Balaka,South,2020.1797235023041
129,Mkweta,Balaka,South,2020.1797235023041
130,Mlandula,Balaka,South,2020.1797235023041
131,Mmanga,Balaka,South,2020.1797235023041
132,Mpambira,Balaka,South,2020.1797235023041
133,Mpembedza,Balaka,South,2020.1797235023041
134,Mphezi,Balaka,South,2020.1797235023041
135,Mpilisi,Balaka,South,2020.1797235023041
136,Mponda,Balaka,South,2020.1797235023041
137,Mposera,Balaka,South,2020.1797235023041
138,Mpulula,Balaka,South,2020.1797235023041
139,Msaliwa,Balaka,South,2020.1797235023041
140,Msamanyada,Balaka,South,2020.1797235023041
141,Msamati,Balaka,South,2020.1797235023041
142,Msoma,Balaka,South,2020.1797235023041
143,Msulu,Balaka,South,2020.1797235023041
144,Mtalika,Balaka,South,2020.1797235023041
145,Mtanja,Balaka,South,2020.1797235023041
146,Mtelera,Balaka,South,2020.1797235023041
147,Mtenga,Balaka,South,2020.1797235023041
148,Mtetemera,Balaka,South,2020.1797235023041
149,Mthawitsa,Balaka,South,2020.1797235023041
150,Mtimbuka,Balaka,South,2020.1797235023041
151,Mtumbwe,Balaka,South,2020.1797235023041
152,Muotcha,Balaka,South,2020.1797235023041
153,Muoza,Balaka,South,2020.1797235023041
154,Musa,Balaka,South,2020.1797235023041
155,Mveriha,Balaka,South,2020.1797235023041
156,Mwalabu,Balaka,South,2020.1797235023041
157,Nailuwa,Balaka,South,2020.1797235023041
158,Nakapa,Balaka,South,2020.1797235023041
159,Namachira,Balaka,South,2020.1797235023041
160,Nambola,Balaka,South,2020.1797235023041
161,Namiyaka,Balaka,South,2020.1797235023041
162,Namwela,Balaka,South,2020.1797235023041
163,Namwera,Balaka,South,2020.1797235023041
164,Nandumbo,Balaka,South,2020.1797235023041
165,Nasiyaya,Balaka,South,2020.1797235023041
166,Naweta,Balaka,South,2020.1797235023041
167,Ndanga,Balaka,South,2020.1797235023041
168,Ndoya,Balaka,South,2020.1797235023041
169,Nduta,Balaka,South,2020.1797235023041
170,Ngasale,Balaka,South,2020.1797235023041
171,Ngwalu,Balaka,South,2020.1797235023041
172,Nkaya,Balaka,South,2020.1797235023041
173,Nkolola,Balaka,South,2020.1797235023041
174,Nkuli,Balaka,South,2020.1797235023041
175,Nsanja,Balaka,South,2020.1797235023041
176,Ntandiwa,Balaka,South,2020.1797235023041
177,Ntondokera,Balaka,South,2020.1797235023041
178,Nyanga,Balaka,South,2020.1797235023041
179,Nyanyala,Balaka,South,2020.1797235023041
180,Ojesi,Balaka,South,2020.1797235023041
181,Peter Kasanga,Balaka,South,2020.1797235023041
182,Phalula,Balaka,South,2020.1797235023041
183,Phimbi,Balaka,South,2020.1797235023041
184,Phombeya,Balaka,South,2020.1797235023041
185,Pilitu,Balaka,South,2020.1797235023041
186,Pyoli,Balaka,South,2020.1797235023041
187,Saidi,Balaka,South,2020.1797235023041
188,Saiwa,Balaka,South,2020.1797235023041
189,Saiwala,Balaka,South,2020.1797235023041
190,Sambuzi,Balaka,South,2020.1797235023041
191,Sanudi,Balaka,South,2020.1797235023041
192,Sato,Balaka,South,2020.1797235023041
193,Sekazawo,Balaka,South,2020.1797235023041
194,Semani,Balaka,South,2020.1797235023041
195,Sidiriki,Balaka,South,2020.1797235023041
196,Silika,Balaka,South,2020.1797235023041
197,Siliya,Balaka,South,2020.1797235023041
198,Simbota,Balaka,South,2020.1797235023041
199,Sinkrea,Balaka,South,2020.1797235023041
200,Sitima,Balaka,South,2020.1797235023041
201,Somo,Balaka,South,2020.1797235023041
202,Sosola,Balaka,South,2020.1797235023041
203,Sumani,Balaka,South,2020.1797235023041
204,Thapanyiwa,Balaka,South,2020.1797235023041
205,Time,Balaka,South,2020.1797235023041
206,Tsanyaoyera,Balaka,South,2020.1797235023041
207,Tseka,Balaka,South,2020.1797235023041
208,Tsite,Balaka,South,2020.1797235023041
209,Utale,Balaka,South,2020.1797235023041
210,Wala,Balaka,South,2020.1797235023041
211,Wiliki,Balaka,South,2020.1797235023041
212,Zalengela,Balaka,South,2020.1797235023041
213,Zalimu,Balaka,South,2020.1797235023041
214,Zammimba,Balaka,South,2020.1797235023041
215,Zandeya,Balaka,South,2020.1797235023041
216,Zidyana,Balaka,South,2020.1797235023041
217,Anderson,Blantyre,South,1139.4444444444443
218,Anderson,Blantyre,South,2020.8686868686868
219,Andrew,Blantyre,South,1139.4444444444443
220,Andrew,Blantyre,South,2020.8686868686868
221,Balaza,Blantyre,South,1139.4444444444443
222,Balaza,Blantyre,South,2020.8686868686868
223,Baluti,Blantyre,South,1139.4444444444443
224,Baluti,Blantyre,South,2020.8686868686868
225,Blantyre City,Blantyre,South,1139.4444444444443
226,Blantyre City,Blantyre,South,2020.8686868686868
227,Blantyre Township,Blantyre,South,1139.4444444444443
228,Blantyre Township,Blantyre,South,2020.8686868686868
229,Bota,Blantyre,South,1139.4444444444443
230,Bota,Blantyre,South,2020.8686868686868
231,Butawo,Blantyre,South,1139.4444444444443
232,Butawo,Blantyre,South,2020.8686868686868
233,Chabvala,Blantyre,South,1139.4444444444443
234,Chabvala,Blantyre,South,2020.8686868686868
235,Chagwirauta,Blantyre,South,1139.4444444444443
236,Chagwirauta,Blantyre,South,2020.8686868686868
237,Chakwiya,Blantyre,South,1139.4444444444443
238,Chakwiya,Blantyre,South,2020.8686868686868
239,Chamba,Blantyre,South,1139.4444444444443
240,Chamba,Blantyre,South,2020.8686868686868
241,Chapasuka,Blantyre,South,1139.4444444444443
242,Chapasuka,Blantyre,South,2020.8686868686868
243,Chapotela,Blantyre,South,1139.4444444444443
244,Chapotela,Blantyre,South,2020.8686868686868
245,Chasemphana,Blantyre,South,1139.4444444444443
246,Chasemphana,Blantyre,South,2020.8686868686868
247,Chaswanthaka,Blantyre,South,1139.4444444444443
248,Chaswanthaka,Blantyre,South,2020.8686868686868
249,Chauwa,Blantyre,South,1139.4444444444443
250,Chauwa,Blantyre,South,2020.8686868686868
251,Chazemba,Blantyre,South,1139.4444444444443
252,Chazemba,Blantyre,South,2020.8686868686868
253,Chejine,Blantyre,South,1139.4444444444443
254,Chejine,Blantyre,South,2020.8686868686868
255,Cheweta 1,Blantyre,South,1139.4444444444443
256,Cheweta 1,Blantyre,South,2020.8686868686868
257,Chibwana Mindano,Blantyre,South,1139.4444444444443
258,Chibwana Mindano,Blantyre,South,2020.8686868686868
259,Chibweya,Blantyre,South,1139.4444444444443
260,Chibweya,Blantyre,South,2020.8686868686868
261,Chigonawaya,Blantyre,South,1139.4444444444443
262,Chigonawaya,Blantyre,South,2020.8686868686868
263,Chigumula Trading Centre,Blantyre,South,1139.4444444444443
264,Chigumula Trading Centre,Blantyre,South,2020.8686868686868
265,Chiimire,Blantyre,South,1139.4444444444443
266,Chiimire,Blantyre,South,2020.8686868686868
267,Chikalema,Blantyre,South,1139.4444444444443
268,Chikalema,Blantyre,South,2020.8686868686868
269,Chikira,Blantyre,South,1139.4444444444443
270,Chikira,Blantyre,South,2020.8686868686868
271,Chilambe,Blantyre,South,1139.4444444444443
272,Chilambe,Blantyre,South,2020.8686868686868
273,Chilipa,Blantyre,South,1139.4444444444443
274,Chilipa,Blantyre,South,2020.8686868686868
275,Chilobwe,Blantyre,South,1139.4444444444443
276,Chilobwe,Blantyre,South,2020.8686868686868
277,Chilomoni Township,Blantyre,South,1139.4444444444443
278,Chilomoni Township,Blantyre,South,2020.8686868686868
279,Chimala,Blantyre,South,1139.4444444444443
280,Chimala,Blantyre,South,2020.8686868686868
281,Chimpango,Blantyre,South,1139.4444444444443
282,Chimpango,Blantyre,South,2020.8686868686868
283,Chimtengo,Blantyre,South,1139.4444444444443
284,Chimtengo,Blantyre,South,2020.8686868686868
285,Chimwanga,Blantyre,South,1139.4444444444443
286,Chimwanga,Blantyre,South,2020.8686868686868
287,Chimwayi,Blantyre,South,1139.4444444444443
288,Chimwayi,Blantyre,South,2020.8686868686868
289,Ching'amba,Blantyre,South,1139.4444444444443
290,Ching'amba,Blantyre,South,2020.8686868686868
291,Chinkanda,Blantyre,South,1139.4444444444443
292,Chinkanda,Blantyre,South,2020.8686868686868
293,Chinupule,Blantyre,South,1139.4444444444443
294,Chinupule,Blantyre,South,2020.8686868686868
295,Chipagala,Blantyre,South,1139.4444444444443
296,Chipagala,Blantyre,South,2020.8686868686868
297,Chipendo,Blantyre,South,1139.4444444444443
298,Chipendo,Blantyre,South,2020.8686868686868
299,Chiswe,Blantyre,South,1139.4444444444443
300,Chiswe,Blantyre,South,2020.8686868686868
301,Chitakale,Blantyre,South,1139.4444444444443
302,Chitakale,Blantyre,South,2020.8686868686868
303,Chitimbe,Blantyre,South,1139.4444444444443
304,Chitimbe,Blantyre,South,2020.8686868686868
305,Chiwaya,Blantyre,South,1139.4444444444443
306,Chiwaya,Blantyre,South,2020.8686868686868
307,Chiwembe,Blantyre,South,1139.4444444444443
308,Chiwembe,Blantyre,South,2020.8686868686868
309,Chumbulu,Blantyre,South,1139.4444444444443
310,Chumbulu,Blantyre,South,2020.8686868686868
311,Daniel,Blantyre,South,1139.4444444444443
312,Daniel,Blantyre,South,2020.8686868686868
313,Fred,Blantyre,South,1139.4444444444443
314,Fred,Blantyre,South,2020.8686868686868
315,Gaisi,Blantyre,South,1139.4444444444443
316,Gaisi,Blantyre,South,2020.8686868686868
317,Gomani,Blantyre,South,1139.4444444444443
318,Gomani,Blantyre,South,2020.8686868686868
319,Gombe,Blantyre,South,1139.4444444444443
320,Gombe,Blantyre,South,2020.8686868686868
321,Grace,Blantyre,South,1139.4444444444443
322,Grace,Blantyre,South,2020.8686868686868
323,Gwadani,Blantyre,South,1139.4444444444443
324,Gwadani,Blantyre,South,2020.8686868686868
325,Hendekera,Blantyre,South,1139.4444444444443
326,Hendekera,Blantyre,South,2020.8686868686868
327,Huwa,Blantyre,South,1139.4444444444443
328,Huwa,Blantyre,South,2020.8686868686868
329,Imbwa,Blantyre,South,1139.4444444444443
330,Imbwa,Blantyre,South,2020.8686868686868
331,Issah,Blantyre,South,1139.4444444444443
332,Issah,Blantyre,South,2020.8686868686868
333,Jamusoni,Blantyre,South,1139.4444444444443
334,Jamusoni,Blantyre,South,2020.8686868686868
335,John,Blantyre,South,1139.4444444444443
336,John,Blantyre,South,2020.8686868686868
337,Jumbe,Blantyre,South,1139.4444444444443
338,Jumbe,Blantyre,South,2020.8686868686868
339,Kabano,Blantyre,South,1139.4444444444443
340,Kabano,Blantyre,South,2020.8686868686868
341,Kabuluzi,Blantyre,South,1139.4444444444443
342,Kabuluzi,Blantyre,South,2020.8686868686868
343,Kakodwa,Blantyre,South,1139.4444444444443
344,Kakodwa,Blantyre,South,2020.8686868686868
345,Kalanga,Blantyre,South,1139.4444444444443
346,Kalanga,Blantyre,South,2020.8686868686868
347,Kaloga,Blantyre,South,1139.4444444444443
348,Kaloga,Blantyre,South,2020.8686868686868
349,Kambuzi,Blantyre,South,1139.4444444444443
350,Kambuzi,Blantyre,South,2020.8686868686868
351,Kameza,Blantyre,South,1139.4444444444443
352,Kameza,Blantyre,South,2020.8686868686868
353,Kammata,Blantyre,South,1139.4444444444443
354,Kammata,Blantyre,South,2020.8686868686868
355,Kammwetsa,Blantyre,South,1139.4444444444443
356,Kammwetsa,Blantyre,South,2020.8686868686868
357,Kamoyo,Blantyre,South,1139.4444444444443
358,Kamoyo,Blantyre,South,2020.8686868686868
359,Kamtukule,Blantyre,South,1139.4444444444443
360,Kamtukule,Blantyre,South,2020.8686868686868
361,Kandiwo,Blantyre,South,1139.4444444444443
362,Kandiwo,Blantyre,South,2020.8686868686868
363,Kansizi,Blantyre,South,1139.4444444444443
364,Kansizi,Blantyre,South,2020.8686868686868
365,Kantumbiza,Blantyre,South,1139.4444444444443
366,Kantumbiza,Blantyre,South,2020.8686868686868
367,Kapalariza,Blantyre,South,1139.4444444444443
368,Kapalariza,Blantyre,South,2020.8686868686868
369,Katsalabande,Blantyre,South,1139.4444444444443
370,Katsalabande,Blantyre,South,2020.8686868686868
371,Kausiwa,Blantyre,South,1139.4444444444443
372,Kausiwa,Blantyre,South,2020.8686868686868
373,Kesinala,Blantyre,South,1139.4444444444443
374,Kesinala,Blantyre,South,2020.8686868686868
375,Keyala,Blantyre,South,1139.4444444444443
376,Keyala,Blantyre,South,2020.8686868686868
377,Kholowa,Blantyre,South,1139.4444444444443
378,Kholowa,Blantyre,South,2020.8686868686868
379,Khwerenia,Blantyre,South,1139.4444444444443
380,Khwerenia,Blantyre,South,2020.8686868686868
381,Kumbendela,Blantyre,South,1139.4444444444443
382,Kumbendela,Blantyre,South,2020.8686868686868
383,Kumbokola,Blantyre,South,1139.4444444444443
384,Kumbokola,Blantyre,South,2020.8686868686868
385,Kunthembwe,Blantyre,South,1139.4444444444443
386,Kunthembwe,Blantyre,South,2020.8686868686868
387,Lifa,Blantyre,South,1139.4444444444443
388,Lifa,Blantyre,South,2020.8686868686868
389,Mabala,Blantyre,South,1139.4444444444443
390,Mabala,Blantyre,South,2020.8686868686868
391,Machinjiri,Blantyre,South,1139.4444444444443
392,Machinjiri,Blantyre,South,2020.8686868686868
393,Makanjira,Blantyre,South,1139.4444444444443
394,Makanjira,Blantyre,South,2020.8686868686868
395,Makata,Blantyre,South,1139.4444444444443
396,Makata,Blantyre,South,2020.8686868686868
397,Makochera,Blantyre,South,1139.4444444444443
398,Makochera,Blantyre,South,2020.8686868686868
399,Malenga,Blantyre,South,1139.4444444444443
400,Malenga,Blantyre,South,2020.8686868686868
401,Maleule,Blantyre,South,1139.4444444444443
402,Maleule,Blantyre,South,2020.8686868686868
403,Malume,Blantyre,South,1139.4444444444443
404,Malume,Blantyre,South,2020.8686868686868
405,Malunga,Blantyre,South,1139.4444444444443
406,Malunga,Blantyre,South,2020.8686868686868
407,Manja,Blantyre,South,1139.4444444444443
408,Manja,Blantyre,South,2020.8686868686868
409,Manjero,Blantyre,South,1139.4444444444443
410,Manjero,Blantyre,South,2020.8686868686868
411,Mapondera,Blantyre,South,1139.4444444444443
412,Mapondera,Blantyre,South,2020.8686868686868
413,Masaka,Blantyre,South,1139.4444444444443
414,Masaka,Blantyre,South,2020.8686868686868
415,Masala,Blantyre,South,1139.4444444444443
416,Masala,Blantyre,South,2020.8686868686868
417,Masanjala,Blantyre,South,1139.4444444444443
418,Masanjala,Blantyre,South,2020.8686868686868
419,Masinde,Blantyre,South,1139.4444444444443
420,Masinde,Blantyre,South,2020.8686868686868
421,Masulani,Blantyre,South,1139.4444444444443
422,Masulani,Blantyre,South,2020.8686868686868
423,Matalala,Blantyre,South,1139.4444444444443
424,Matalala,Blantyre,South,2020.8686868686868
425,Matenje,Blantyre,South,1139.4444444444443
426,Matenje,Blantyre,South,2020.8686868686868
427,Matope,Blantyre,South,1139.4444444444443
428,Matope,Blantyre,South,2020.8686868686868
429,Mazale,Blantyre,South,1139.4444444444443
430,Mazale,Blantyre,South,2020.8686868686868
431,Mbayani Township,Blantyre,South,1139.4444444444443
432,Mbayani Township,Blantyre,South,2020.8686868686868
433,Mbega,Blantyre,South,1139.4444444444443
434,Mbega,Blantyre,South,2020.8686868686868
435,Mboma,Blantyre,South,1139.4444444444443
436,Mboma,Blantyre,South,2020.8686868686868
437,Mbuni,Blantyre,South,1139.4444444444443
438,Mbuni,Blantyre,South,2020.8686868686868
439,Mbuyao,Blantyre,South,1139.4444444444443
440,Mbuyao,Blantyre,South,2020.8686868686868
441,Mchenga,Blantyre,South,1139.4444444444443
442,Mchenga,Blantyre,South,2020.8686868686868
443,Mchere,Blantyre,South,1139.4444444444443
444,Mchere,Blantyre,South,2020.8686868686868
445,Mdala,Blantyre,South,1139.4444444444443
446,Mdala,Blantyre,South,2020.8686868686868
447,Mgambo,Blantyre,South,1139.4444444444443
448,Mgambo,Blantyre,South,2020.8686868686868
449,Mkwate,Blantyre,South,1139.4444444444443
450,Mkwate,Blantyre,South,2020.8686868686868
451,Mlanga,Blantyre,South,1139.4444444444443
452,Mlanga,Blantyre,South,2020.8686868686868
453,Mlangeni,Blantyre,South,1139.4444444444443
454,Mlangeni,Blantyre,South,2020.8686868686868
455,Mlomba,Blantyre,South,1139.4444444444443
456,Mlomba,Blantyre,South,2020.8686868686868
457,Mondiwa,Blantyre,South,1139.4444444444443
458,Mondiwa,Blantyre,South,2020.8686868686868
459,Mondiwa Mwateya,Blantyre,South,1139.4444444444443
460,Mondiwa Mwateya,Blantyre,South,2020.8686868686868
461,Mpachika,Blantyre,South,1139.4444444444443
462,Mpachika,Blantyre,South,2020.8686868686868
463,Mpenda,Blantyre,South,1139.4444444444443
464,Mpenda,Blantyre,South,2020.8686868686868
465,Mphatika,Blantyre,South,1139.4444444444443
466,Mphatika,Blantyre,South,2020.8686868686868
467,Mphepo,Blantyre,South,1139.4444444444443
468,Mphepo,Blantyre,South,2020.8686868686868
469,Mphwele,Blantyre,South,1139.4444444444443
470,Mphwele,Blantyre,South,2020.8686868686868
471,Mpingo,Blantyre,South,1139.4444444444443
472,Mpingo,Blantyre,South,2020.8686868686868
473,Mponda,Blantyre,South,1139.4444444444443
474,Mponda,Blantyre,South,2020.8686868686868
475,Mpopo,Blantyre,South,1139.4444444444443
476,Mpopo,Blantyre,South,2020.8686868686868
477,Mtambalika,Blantyre,South,1139.4444444444443
478,Mtambalika,Blantyre,South,2020.8686868686868
479,Mtambauka,Blantyre,South,1139.4444444444443
480,Mtambauka,Blantyre,South,2020.8686868686868
481,Mtema,Blantyre,South,1139.4444444444443
482,Mtema,Blantyre,South,2020.8686868686868
483,Mtenje,Blantyre,South,1139.4444444444443
484,Mtenje,Blantyre,South,2020.8686868686868
485,Mtiza,Blantyre,South,1139.4444444444443
486,Mtiza,Blantyre,South,2020.8686868686868
487,Mtusa,Blantyre,South,1139.4444444444443
488,Mtusa,Blantyre,South,2020.8686868686868
489,Mulima,Blantyre,South,1139.4444444444443
490,Mulima,Blantyre,South,2020.8686868686868
491,Mwachande,Blantyre,South,1139.4444444444443
492,Mwachande,Blantyre,South,2020.8686868686868
493,Mwamadi,Blantyre,South,1139.4444444444443
494,Mwamadi,Blantyre,South,2020.8686868686868
495,Mwangata,Blantyre,South,1139.4444444444443
496,Mwangata,Blantyre,South,2020.8686868686868
497,Mwansambo,Blantyre,South,1139.4444444444443
498,Mwansambo,Blantyre,South,2020.8686868686868
499,Mwazama,Blantyre,South,1139.4444444444443
500,Mwazama,Blantyre,South,2020.8686868686868
501,Mzigala,Blantyre,South,1139.4444444444443
502,Mzigala,Blantyre,South,2020.8686868686868
503,Nakhwala,Blantyre,South,1139.4444444444443
504,Nakhwala,Blantyre,South,2020.8686868686868
505,Namaru,Blantyre,South,1139.4444444444443
506,Namaru,Blantyre,South,2020.8686868686868
507,Namatapwa,Blantyre,South,1139.4444444444443
508,Namatapwa,Blantyre,South,2020.8686868686868
509,Namatetule,Blantyre,South,1139.4444444444443
510,Namatetule,Blantyre,South,2020.8686868686868
511,Namwalisiyo,Blantyre,South,1139.4444444444443
512,Namwalisiyo,Blantyre,South,2020.8686868686868
513,Nanjiwa,Blantyre,South,1139.4444444444443
514,Nanjiwa,Blantyre,South,2020.8686868686868
515,Nankhombe,Blantyre,South,1139.4444444444443
516,Nankhombe,Blantyre,South,2020.8686868686868
517,Nanthoka,Blantyre,South,1139.4444444444443
518,Nanthoka,Blantyre,South,2020.8686868686868
519,Naperi Township,Blantyre,South,1139.4444444444443
520,Naperi Township,Blantyre,South,2020.8686868686868
521,Nazombe,Blantyre,South,1139.4444444444443
522,Nazombe,Blantyre,South,2020.8686868686868
523,Ngwaya,Blantyre,South,1139.4444444444443
524,Ngwaya,Blantyre,South,2020.8686868686868
525,Ngwaya 1,Blantyre,South,1139.4444444444443
526,Ngwaya 1,Blantyre,South,2020.8686868686868
527,Nkata,Blantyre,South,1139.4444444444443
528,Nkata,Blantyre,South,2020.8686868686868
529,Nkhalamba,Blantyre,South,1139.4444444444443
530,Nkhalamba,Blantyre,South,2020.8686868686868
531,Nkhukuten,Blantyre,South,1139.4444444444443
532,Nkhukuten,Blantyre,South,2020.8686868686868
533,Nkolesya,Blantyre,South,1139.4444444444443
534,Nkolesya,Blantyre,South,2020.8686868686868
535,Nkozomba,Blantyre,South,1139.4444444444443
536,Nkozomba,Blantyre,South,2020.8686868686868
537,Nseule,Blantyre,South,1139.4444444444443
538,Nseule,Blantyre,South,2020.8686868686868
539,Ntonda,Blantyre,South,1139.4444444444443
540,Ntonda,Blantyre,South,2020.8686868686868
541,Ntukula,Blantyre,South,1139.4444444444443
542,Ntukula,Blantyre,South,2020.8686868686868
543,Nyaka,Blantyre,South,1139.4444444444443
544,Nyaka,Blantyre,South,2020.8686868686868
545,Padzuwa,Blantyre,South,1139.4444444444443
546,Padzuwa,Blantyre,South,2020.8686868686868
547,Pasani,Blantyre,South,1139.4444444444443
548,Pasani,Blantyre,South,2020.8686868686868
549,Pemba,Blantyre,South,1139.4444444444443
550,Pemba,Blantyre,South,2020.8686868686868
551,Pensulo,Blantyre,South,1139.4444444444443
552,Pensulo,Blantyre,South,2020.8686868686868
553,Peter,Blantyre,South,1139.4444444444443
554,Peter,Blantyre,South,2020.8686868686868
555,Pindani,Blantyre,South,1139.4444444444443
556,Pindani,Blantyre,South,2020.8686868686868
557,Puli,Blantyre,South,1139.4444444444443
558,Puli,Blantyre,South,2020.8686868686868
559,QECH Campus,Blantyre,South,1139.4444444444443
560,QECH Campus,Blantyre,South,2020.8686868686868
561,Ralph Maunde,Blantyre,South,1139.4444444444443
562,Ralph Maunde,Blantyre,South,2020.8686868686868
563,Rhoda,Blantyre,South,1139.4444444444443
564,Rhoda,Blantyre,South,2020.8686868686868
