TLO_Sequela_Code,Sequela,Health state name,Health state lay description,disability weight,lower,uppper
32,Mild diarrheal diseases,"Diarrhea, mild",has diarrhea three or more times a day with occasional discomfort in the belly.,0.074,0.049,0.104
33,Guillain-Barré syndrome due to diarrheal diseases,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296,0.198,0.414
34,Severe diarrheal diseases,"Diarrhea, severe",has diarrhea three or more times a day with severe belly cramps. The person is very thirsty and feels nauseous and tired. ,0.247,0.164,0.348
35,Moderate diarrheal diseases,"Diarrhea, moderate","has diarrhea three or more times a day, with painful cramps in the belly and feeling thirsty",0.188,0.125,0.264
36,Intestinal perforation due to typhoid,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
37,Severe typhoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
38,Gastrointestinal bleeding due to typhoid,Gastric bleeding,vomits blood and feels nauseous.,0.325,0.209,0.462
39,Acute typhoid infection,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
40,Acute paratyphoid infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
41,Moderate paratyphoid fever,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
42,Intestinal perforation due to paratyphoid,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
43,Severe paratyphoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
44,Other intestinal infectious diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
45,Guillain-Barré syndrome due to lower respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296,0.198,0.414
46,Severe lower respiratory infections,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
47,Moderate lower respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
48,Mild upper respiratory infections,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
49,Moderate upper respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
50,Guillain-Barré syndrome due to upper respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296,0.198,0.414
51,Vertigo with moderate hearing loss and ringing due to chronic otitis media,Vertigo with moderate hearing loss and ringing,--,,,
52,Vertigo with moderate hearing loss due to chronic otitis media,Vertigo with moderate hearing loss,--,,,
53,Severe infectious complications due to chronic otitis media,Ear pain,has an ear-ache that causes some difficulty with daily activities.,0.013,0.007,0.024
54,Acute otitis media,Ear pain,has an ear-ache that causes some difficulty with daily activities.,0.013,0.007,0.024
55,Vertigo with mild hearing loss and ringing due to chronic otitis media,Vertigo with mild hearing loss and ringing,--,,,
56,Vertigo with mild hearing loss due to chronic otitis media,Vertigo with mild hearing loss,--,,,
57,Moderate hearing loss due to chronic otitis media,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
58,Mild hearing loss due to chronic otitis media,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
59,Moderate hearing loss with ringing due to chronic otitis media,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
60,Mild hearing loss with ringing due to chronic otitis media,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
61,Epilepsy due to pneumococcal meningitis,Epilepsy,(combined DW),,,
62,Profound hearing loss due to pneumococcal meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to othersoften cause worry, depression, and loneliness.",0.204,0.134,0.288
63,Acute pneumococcal meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
64,Severe hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.261,0.175,0.36
65,Moderately severe hearing loss due to pneumococcal meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),,,
66,Borderline intellectual disability due to pneumococcal meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
67,Moderate hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
68,Profound hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.",0.277,0.182,0.387
69,Severe hearing loss due to pneumococcal meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.158,0.105,0.227
70,Mild behavioral problems due to pneumococcal meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ",0.045,0.028,0.066
71,Severe motor plus cognitive impairments due to pneumococcal meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
72,Mild motor impairment due to long term due to pneumococcal meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
73,Monocular distance vision loss due to pneumococcal meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,0.017,0.009,0.029
74,Severe vision impairment due to pneumococcol meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
75,Moderately severe hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),,,
76,Moderate motor impairment due to pneumococcal meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
77,Mild hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
78,Moderate motor plus cognitive impairments due to pneumococcal meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
79,Mild intellectual disability due to pneumococcal meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
80,Complete hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.316,0.212,0.435
81,Mild motor plus cognitive impairments due to pneumococcal meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
82,Moderate hearing loss due to pneumococcal meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
83,Moderate vision impairment due to pneumococcol meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
84,Mild hearing loss due to pneumococcal meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
85,Severe motor impairment due to pneumococcal meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
86,Blindness due to pneumococcal meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
87,Complete hearing loss due to pneumococcal meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.215,0.144,0.307
88,Monocular distance vision loss due to H influenzae type B meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,0.017,0.009,0.029
89,Profound hearing loss due to H influenzae type B meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to othersoften cause worry, depression, and loneliness.",0.204,0.134,0.288
90,Complete hearing loss due to H influenzae type B meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.215,0.144,0.307
91,Blindness due to H influenzae type B meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
92,Complete hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.316,0.212,0.435
93,Severe hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.261,0.175,0.36
94,Profound hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.",0.277,0.182,0.387
95,Severe vision impairment due to H influenza type B meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
96,Moderate vision impairment due to H influenza type B meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
97,Mild hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
98,Moderate hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
99,Severe hearing loss due to H influenzae type B meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.158,0.105,0.227
100,Moderate motor plus cognitive impairments due to H influenzae type B meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
101,Mild intellectual disability due to H influenzae type B meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
102,Mild motor plus cognitive impairments due to H influenzae type B meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
103,Severe motor impairment due to H influenzae type B meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
104,Mild hearing loss due to H influenzae type B meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
105,Severe motor plus cognitive impairments due to H influenzae type B meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
106,Moderately severe hearing loss due to H influenzae type B meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),,,
107,Moderate hearing loss due to H influenzae type B meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
108,Mild behavioral problems due to H influenzae type B meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ",0.045,0.028,0.066
109,Acute H influenzae type B meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
110,Mild motor impairment due to long term due to H influenzae type B meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
111,Epilepsy due to H influenzae type B meningitis,Epilepsy,(combined DW),,,
112,Moderately severe hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),,,
113,Moderate motor impairment due to H influenzae type B meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
114,Borderline intellectual disability due to H influenzae type B meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
115,Mild behavioral problems due to meningococcal meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ",0.045,0.028,0.066
116,Mild hearing loss with ringing due to meningococcal meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
117,Complete hearing loss due to meningococcal meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.215,0.144,0.307
118,Severe hearing loss due to meningococcal meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.158,0.105,0.227
119,Mild intellectual disability due to meningococcal meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
120,Mild hearing loss due to meningococcal meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
121,Moderate hearing loss due to meningococcal meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
122,Profound hearing loss due to meningococcal meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to othersoften cause worry, depression, and loneliness.",0.204,0.134,0.288
123,Borderline intellectual disability due to meningococcal meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
124,Moderately severe hearing loss due to meningococcal meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),,,
125,Moderate vision impairment due to meningococcal meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
126,Blindness due to meningococcal meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
127,Mild motor plus cognitive impairments due to meningococcal meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
128,Epilepsy due to meningococcal meningitis,Epilepsy,(combined DW),,,
129,Moderate motor impairment due to meningococcal meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
130,Severe vision impairment due to meningococcal meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
131,Severe motor impairment due to meningococcal meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
132,Moderate motor plus cognitive impairments due to meningococcal meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
133,Moderate hearing loss with ringing due to meningococcal meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
134,Severe motor plus cognitive impairments due to meningococcal meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
135,Monocular distance vision loss due to meningococcal meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,0.017,0.009,0.029
136,Profound hearing loss with ringing due to meningococcal meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.",0.277,0.182,0.387
137,Mild motor impairment due to long term due to meningococcal meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
138,Acute meningococcal meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
139,Severe hearing loss with ringing due to meningococcal meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.261,0.175,0.36
140,Complete hearing loss with ringing due to meningococcal meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.316,0.212,0.435
141,Moderately severe hearing loss with ringing due to meningococcal meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),,,
142,Mild intellectual disability due to other bacterial meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
143,Moderate hearing loss with ringing due to other bacterial meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
144,Mild motor plus cognitive impairments due to other bacterial meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
145,Borderline intellectual disability due to other bacterial meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
146,Moderate motor plus cognitive impairments due to other bacterial meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
147,Mild behavioral problems due to other bacterial meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ",0.045,0.028,0.066
148,Severe motor plus cognitive impairments due to other bacterial meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
149,Severe motor impairment due to other bacterial meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
150,Moderately severe hearing loss due to other bacterial meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),,,
151,Monocular distance vision loss due to other bacterial meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,0.017,0.009,0.029
152,Mild hearing loss due to other bacterial meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
153,Moderate hearing loss due to other bacterial meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
