,Officer_Code,ApptType_Code,Facility_Type,FacilityType,Time,Officer
103,R03,NormalDelivery,Central_Hospital,Dispensary,0.0,Sonographer
104,R04,NormalDelivery,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
105,M01,CompDelivery,Central_Hospital,Dispensary,10.5,Medical officer
106,M02,CompDelivery,Central_Hospital,Dispensary,19.5,Clinical Officer
107,N01,CompDelivery,Central_Hospital,Dispensary,30.0,Nurse Officer
108,N02,CompDelivery,Central_Hospital,Dispensary,30.0,Md Wife Tech
109,M03,CompDelivery,Central_Hospital,Dispensary,0.0,Med. Assistant
110,P01,CompDelivery,Central_Hospital,Dispensary,0.0,Pharmacist
111,P02,CompDelivery,Central_Hospital,Dispensary,2.0,Pharm Technician
112,P03,CompDelivery,Central_Hospital,Dispensary,0.0,Pharm Assist
113,L01,CompDelivery,Central_Hospital,Dispensary,0.0,Lab Officer
114,L02,CompDelivery,Central_Hospital,Dispensary,0.0,Lab Technocian
115,L03,CompDelivery,Central_Hospital,Dispensary,0.0,Lab Assist
116,E01,CompDelivery,Central_Hospital,Dispensary,0.0,DCSA
117,D01,CompDelivery,Central_Hospital,Dispensary,0.0,Dental Officer
118,D02,CompDelivery,Central_Hospital,Dispensary,0.0,Dental Therapist
119,D03,CompDelivery,Central_Hospital,Dispensary,0.0,Dental Assistant
120,C01,CompDelivery,Central_Hospital,Dispensary,0.0,Mental Health Staff
121,T01,CompDelivery,Central_Hospital,Dispensary,0.0,Nutrition Staff
122,R01,CompDelivery,Central_Hospital,Dispensary,0.0,Radiographer
123,R02,CompDelivery,Central_Hospital,Dispensary,0.0,Radiography Technician
124,R03,CompDelivery,Central_Hospital,Dispensary,0.0,Sonographer
125,R04,CompDelivery,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
126,M01,Csection,Central_Hospital,Dispensary,22.5,Medical officer
127,M02,Csection,Central_Hospital,Dispensary,22.5,Clinical Officer
128,N01,Csection,Central_Hospital,Dispensary,50.0,Nurse Officer
129,N02,Csection,Central_Hospital,Dispensary,50.0,Md Wife Tech
130,M03,Csection,Central_Hospital,Dispensary,0.0,Med. Assistant
131,P01,Csection,Central_Hospital,Dispensary,5.0,Pharmacist
132,P02,Csection,Central_Hospital,Dispensary,5.0,Pharm Technician
133,P03,Csection,Central_Hospital,Dispensary,0.0,Pharm Assist
134,L01,Csection,Central_Hospital,Dispensary,0.0,Lab Officer
135,L02,Csection,Central_Hospital,Dispensary,0.0,Lab Technocian
136,L03,Csection,Central_Hospital,Dispensary,0.0,Lab Assist
137,E01,Csection,Central_Hospital,Dispensary,0.0,DCSA
138,D01,Csection,Central_Hospital,Dispensary,0.0,Dental Officer
139,D02,Csection,Central_Hospital,Dispensary,0.0,Dental Therapist
140,D03,Csection,Central_Hospital,Dispensary,0.0,Dental Assistant
141,C01,Csection,Central_Hospital,Dispensary,0.0,Mental Health Staff
142,T01,Csection,Central_Hospital,Dispensary,0.0,Nutrition Staff
143,R01,Csection,Central_Hospital,Dispensary,0.0,Radiographer
144,R02,Csection,Central_Hospital,Dispensary,0.0,Radiography Technician
145,R03,Csection,Central_Hospital,Dispensary,0.0,Sonographer
146,R04,Csection,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
147,M01,FamPlan,Central_Hospital,Dispensary,0.0,Medical officer
148,M02,FamPlan,Central_Hospital,Dispensary,0.0,Clinical Officer
149,N01,FamPlan,Central_Hospital,Dispensary,10.0,Nurse Officer
150,N02,FamPlan,Central_Hospital,Dispensary,10.0,Md Wife Tech
151,M03,FamPlan,Central_Hospital,Dispensary,0.0,Med. Assistant
152,P01,FamPlan,Central_Hospital,Dispensary,0.0,Pharmacist
153,P02,FamPlan,Central_Hospital,Dispensary,0.0,Pharm Technician
154,P03,FamPlan,Central_Hospital,Dispensary,0.0,Pharm Assist
155,L01,FamPlan,Central_Hospital,Dispensary,0.0,Lab Officer
156,L02,FamPlan,Central_Hospital,Dispensary,0.0,Lab Technocian
157,L03,FamPlan,Central_Hospital,Dispensary,0.0,Lab Assist
158,E01,FamPlan,Central_Hospital,Dispensary,0.0,DCSA
159,D01,FamPlan,Central_Hospital,Dispensary,0.0,Dental Officer
160,D02,FamPlan,Central_Hospital,Dispensary,0.0,Dental Therapist
161,D03,FamPlan,Central_Hospital,Dispensary,0.0,Dental Assistant
162,C01,FamPlan,Central_Hospital,Dispensary,0.0,Mental Health Staff
163,T01,FamPlan,Central_Hospital,Dispensary,0.0,Nutrition Staff
164,R01,FamPlan,Central_Hospital,Dispensary,0.0,Radiographer
165,R02,FamPlan,Central_Hospital,Dispensary,0.0,Radiography Technician
166,R03,FamPlan,Central_Hospital,Dispensary,0.0,Sonographer
167,R04,FamPlan,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
168,M01,AntenatalFirst,Central_Hospital,Dispensary,1.5,Medical officer
169,M02,AntenatalFirst,Central_Hospital,Dispensary,1.5,Clinical Officer
170,N01,AntenatalFirst,Central_Hospital,Dispensary,30.0,Nurse Officer
171,N02,AntenatalFirst,Central_Hospital,Dispensary,30.0,Md Wife Tech
172,M03,AntenatalFirst,Central_Hospital,Dispensary,0.0,Med. Assistant
173,P01,AntenatalFirst,Central_Hospital,Dispensary,0.0,Pharmacist
174,P02,AntenatalFirst,Central_Hospital,Dispensary,0.0,Pharm Technician
175,P03,AntenatalFirst,Central_Hospital,Dispensary,0.0,Pharm Assist
176,L01,AntenatalFirst,Central_Hospital,Dispensary,0.0,Lab Officer
177,L02,AntenatalFirst,Central_Hospital,Dispensary,0.0,Lab Technocian
178,L03,AntenatalFirst,Central_Hospital,Dispensary,0.0,Lab Assist
179,E01,AntenatalFirst,Central_Hospital,Dispensary,0.0,DCSA
180,D01,AntenatalFirst,Central_Hospital,Dispensary,0.0,Dental Officer
181,D02,AntenatalFirst,Central_Hospital,Dispensary,0.0,Dental Therapist
182,D03,AntenatalFirst,Central_Hospital,Dispensary,0.0,Dental Assistant
183,C01,AntenatalFirst,Central_Hospital,Dispensary,0.0,Mental Health Staff
184,T01,AntenatalFirst,Central_Hospital,Dispensary,0.0,Nutrition Staff
185,R01,AntenatalFirst,Central_Hospital,Dispensary,0.0,Radiographer
186,R02,AntenatalFirst,Central_Hospital,Dispensary,0.0,Radiography Technician
187,R03,AntenatalFirst,Central_Hospital,Dispensary,0.0,Sonographer
188,R04,AntenatalFirst,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
189,M01,ANCSubsequent,Central_Hospital,Dispensary,0.5,Medical officer
190,M02,ANCSubsequent,Central_Hospital,Dispensary,0.5,Clinical Officer
191,N01,ANCSubsequent,Central_Hospital,Dispensary,0.0,Nurse Officer
192,N02,ANCSubsequent,Central_Hospital,Dispensary,15.0,Md Wife Tech
193,M03,ANCSubsequent,Central_Hospital,Dispensary,0.0,Med. Assistant
194,P01,ANCSubsequent,Central_Hospital,Dispensary,0.0,Pharmacist
195,P02,ANCSubsequent,Central_Hospital,Dispensary,0.0,Pharm Technician
196,P03,ANCSubsequent,Central_Hospital,Dispensary,0.0,Pharm Assist
197,L01,ANCSubsequent,Central_Hospital,Dispensary,0.0,Lab Officer
198,L02,ANCSubsequent,Central_Hospital,Dispensary,0.0,Lab Technocian
199,L03,ANCSubsequent,Central_Hospital,Dispensary,0.0,Lab Assist
200,E01,ANCSubsequent,Central_Hospital,Dispensary,0.0,DCSA
201,D01,ANCSubsequent,Central_Hospital,Dispensary,0.0,Dental Officer
202,D02,ANCSubsequent,Central_Hospital,Dispensary,0.0,Dental Therapist
203,D03,ANCSubsequent,Central_Hospital,Dispensary,0.0,Dental Assistant
204,C01,ANCSubsequent,Central_Hospital,Dispensary,0.0,Mental Health Staff
205,T01,ANCSubsequent,Central_Hospital,Dispensary,0.0,Nutrition Staff
206,R01,ANCSubsequent,Central_Hospital,Dispensary,0.0,Radiographer
207,R02,ANCSubsequent,Central_Hospital,Dispensary,0.0,Radiography Technician
208,R03,ANCSubsequent,Central_Hospital,Dispensary,0.0,Sonographer
209,R04,ANCSubsequent,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
210,M01,EPI,Central_Hospital,Dispensary,0.0,Medical officer
211,M02,EPI,Central_Hospital,Dispensary,0.0,Clinical Officer
212,N01,EPI,Central_Hospital,Dispensary,0.0,Nurse Officer
213,N02,EPI,Central_Hospital,Dispensary,1.0,Md Wife Tech
214,M03,EPI,Central_Hospital,Dispensary,0.0,Med. Assistant
215,P01,EPI,Central_Hospital,Dispensary,0.0,Pharmacist
216,P02,EPI,Central_Hospital,Dispensary,0.0,Pharm Technician
217,P03,EPI,Central_Hospital,Dispensary,1.0,Pharm Assist
218,L01,EPI,Central_Hospital,Dispensary,0.0,Lab Officer
219,L02,EPI,Central_Hospital,Dispensary,0.0,Lab Technocian
220,L03,EPI,Central_Hospital,Dispensary,0.0,Lab Assist
221,E01,EPI,Central_Hospital,Dispensary,0.0,DCSA
222,D01,EPI,Central_Hospital,Dispensary,0.0,Dental Officer
223,D02,EPI,Central_Hospital,Dispensary,0.0,Dental Therapist
224,D03,EPI,Central_Hospital,Dispensary,0.0,Dental Assistant
225,C01,EPI,Central_Hospital,Dispensary,0.0,Mental Health Staff
226,T01,EPI,Central_Hospital,Dispensary,0.0,Nutrition Staff
227,R01,EPI,Central_Hospital,Dispensary,0.0,Radiographer
228,R02,EPI,Central_Hospital,Dispensary,0.0,Radiography Technician
229,R03,EPI,Central_Hospital,Dispensary,0.0,Sonographer
230,R04,EPI,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
231,M01,STI,Central_Hospital,Dispensary,0.0,Medical officer
232,M02,STI,Central_Hospital,Dispensary,5.0,Clinical Officer
233,N01,STI,Central_Hospital,Dispensary,5.0,Nurse Officer
234,N02,STI,Central_Hospital,Dispensary,5.0,Md Wife Tech
235,M03,STI,Central_Hospital,Dispensary,0.0,Med. Assistant
236,P01,STI,Central_Hospital,Dispensary,0.2,Pharmacist
237,P02,STI,Central_Hospital,Dispensary,1.5,Pharm Technician
238,P03,STI,Central_Hospital,Dispensary,1.5,Pharm Assist
239,L01,STI,Central_Hospital,Dispensary,0.0,Lab Officer
240,L02,STI,Central_Hospital,Dispensary,0.0,Lab Technocian
241,L03,STI,Central_Hospital,Dispensary,0.0,Lab Assist
242,E01,STI,Central_Hospital,Dispensary,0.0,DCSA
243,D01,STI,Central_Hospital,Dispensary,0.0,Dental Officer
244,D02,STI,Central_Hospital,Dispensary,0.0,Dental Therapist
245,D03,STI,Central_Hospital,Dispensary,0.0,Dental Assistant
246,C01,STI,Central_Hospital,Dispensary,0.0,Mental Health Staff
247,T01,STI,Central_Hospital,Dispensary,0.0,Nutrition Staff
248,R01,STI,Central_Hospital,Dispensary,0.0,Radiographer
249,R02,STI,Central_Hospital,Dispensary,0.0,Radiography Technician
250,R03,STI,Central_Hospital,Dispensary,0.0,Sonographer
251,R04,STI,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
252,M01,GrowthMon,Central_Hospital,Dispensary,0.0,Medical officer
253,M02,GrowthMon,Central_Hospital,Dispensary,0.0,Clinical Officer
254,N01,GrowthMon,Central_Hospital,Dispensary,0.0,Nurse Officer
255,N02,GrowthMon,Central_Hospital,Dispensary,0.0,Md Wife Tech
256,M03,GrowthMon,Central_Hospital,Dispensary,0.0,Med. Assistant
257,P01,GrowthMon,Central_Hospital,Dispensary,0.0,Pharmacist
258,P02,GrowthMon,Central_Hospital,Dispensary,0.0,Pharm Technician
259,P03,GrowthMon,Central_Hospital,Dispensary,0.0,Pharm Assist
260,L01,GrowthMon,Central_Hospital,Dispensary,0.0,Lab Officer
261,L02,GrowthMon,Central_Hospital,Dispensary,0.0,Lab Technocian
262,L03,GrowthMon,Central_Hospital,Dispensary,0.0,Lab Assist
263,E01,GrowthMon,Central_Hospital,Dispensary,0.0,DCSA
264,D01,GrowthMon,Central_Hospital,Dispensary,0.0,Dental Officer
265,D02,GrowthMon,Central_Hospital,Dispensary,0.0,Dental Therapist
266,D03,GrowthMon,Central_Hospital,Dispensary,0.0,Dental Assistant
267,C01,GrowthMon,Central_Hospital,Dispensary,0.0,Mental Health Staff
268,T01,GrowthMon,Central_Hospital,Dispensary,0.0,Nutrition Staff
269,R01,GrowthMon,Central_Hospital,Dispensary,0.0,Radiographer
270,R02,GrowthMon,Central_Hospital,Dispensary,0.0,Radiography Technician
271,R03,GrowthMon,Central_Hospital,Dispensary,0.0,Sonographer
272,R04,GrowthMon,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
273,M01,U5Malnutr,Central_Hospital,Dispensary,1.0,Medical officer
274,M02,U5Malnutr,Central_Hospital,Dispensary,1.6,Clinical Officer
275,N01,U5Malnutr,Central_Hospital,Dispensary,4.5,Nurse Officer
276,N02,U5Malnutr,Central_Hospital,Dispensary,4.5,Md Wife Tech
277,M03,U5Malnutr,Central_Hospital,Dispensary,0.0,Med. Assistant
278,P01,U5Malnutr,Central_Hospital,Dispensary,0.0,Pharmacist
279,P02,U5Malnutr,Central_Hospital,Dispensary,0.0,Pharm Technician
280,P03,U5Malnutr,Central_Hospital,Dispensary,0.0,Pharm Assist
281,L01,U5Malnutr,Central_Hospital,Dispensary,0.0,Lab Officer
282,L02,U5Malnutr,Central_Hospital,Dispensary,0.0,Lab Technocian
283,L03,U5Malnutr,Central_Hospital,Dispensary,0.0,Lab Assist
284,E01,U5Malnutr,Central_Hospital,Dispensary,0.0,DCSA
285,D01,U5Malnutr,Central_Hospital,Dispensary,0.0,Dental Officer
286,D02,U5Malnutr,Central_Hospital,Dispensary,0.0,Dental Therapist
287,D03,U5Malnutr,Central_Hospital,Dispensary,0.0,Dental Assistant
288,C01,U5Malnutr,Central_Hospital,Dispensary,0.0,Mental Health Staff
289,T01,U5Malnutr,Central_Hospital,Dispensary,0.0,Nutrition Staff
290,R01,U5Malnutr,Central_Hospital,Dispensary,0.0,Radiographer
291,R02,U5Malnutr,Central_Hospital,Dispensary,0.0,Radiography Technician
292,R03,U5Malnutr,Central_Hospital,Dispensary,0.0,Sonographer
293,R04,U5Malnutr,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
294,M01,AccidentsandEmerg,Central_Hospital,Dispensary,12.0,Medical officer
295,M02,AccidentsandEmerg,Central_Hospital,Dispensary,24.0,Clinical Officer
296,N01,AccidentsandEmerg,Central_Hospital,Dispensary,12.5,Nurse Officer
297,N02,AccidentsandEmerg,Central_Hospital,Dispensary,12.5,Md Wife Tech
298,M03,AccidentsandEmerg,Central_Hospital,Dispensary,20.0,Med. Assistant
299,P01,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Pharmacist
300,P02,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Pharm Technician
301,P03,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Pharm Assist
302,L01,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Lab Officer
303,L02,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Lab Technocian
304,L03,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Lab Assist
305,E01,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,DCSA
306,D01,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Dental Officer
307,D02,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Dental Therapist
308,D03,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Dental Assistant
309,C01,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Mental Health Staff
310,T01,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Nutrition Staff
311,R01,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Radiographer
312,R02,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Radiography Technician
313,R03,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Sonographer
314,R04,AccidentsandEmerg,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
315,M01,MajorSurg,Central_Hospital,Dispensary,172.0,Medical officer
316,M02,MajorSurg,Central_Hospital,Dispensary,190.0,Clinical Officer
317,N01,MajorSurg,Central_Hospital,Dispensary,137.6,Nurse Officer
318,N02,MajorSurg,Central_Hospital,Dispensary,34.4,Md Wife Tech
319,M03,MajorSurg,Central_Hospital,Dispensary,0.0,Med. Assistant
320,P01,MajorSurg,Central_Hospital,Dispensary,5.0,Pharmacist
321,P02,MajorSurg,Central_Hospital,Dispensary,5.0,Pharm Technician
322,P03,MajorSurg,Central_Hospital,Dispensary,0.0,Pharm Assist
323,L01,MajorSurg,Central_Hospital,Dispensary,0.0,Lab Officer
324,L02,MajorSurg,Central_Hospital,Dispensary,0.0,Lab Technocian
325,L03,MajorSurg,Central_Hospital,Dispensary,0.0,Lab Assist
326,E01,MajorSurg,Central_Hospital,Dispensary,0.0,DCSA
327,D01,MajorSurg,Central_Hospital,Dispensary,0.0,Dental Officer
328,D02,MajorSurg,Central_Hospital,Dispensary,0.0,Dental Therapist
329,D03,MajorSurg,Central_Hospital,Dispensary,0.0,Dental Assistant
330,C01,MajorSurg,Central_Hospital,Dispensary,0.0,Mental Health Staff
331,T01,MajorSurg,Central_Hospital,Dispensary,0.0,Nutrition Staff
332,R01,MajorSurg,Central_Hospital,Dispensary,0.0,Radiographer
333,R02,MajorSurg,Central_Hospital,Dispensary,0.0,Radiography Technician
334,R03,MajorSurg,Central_Hospital,Dispensary,0.0,Sonographer
335,R04,MajorSurg,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
336,M01,MinorSurg,Central_Hospital,Dispensary,60.0,Medical officer
337,M02,MinorSurg,Central_Hospital,Dispensary,80.0,Clinical Officer
338,N01,MinorSurg,Central_Hospital,Dispensary,18.0,Nurse Officer
339,N02,MinorSurg,Central_Hospital,Dispensary,42.0,Md Wife Tech
340,M03,MinorSurg,Central_Hospital,Dispensary,0.0,Med. Assistant
341,P01,MinorSurg,Central_Hospital,Dispensary,2.5,Pharmacist
342,P02,MinorSurg,Central_Hospital,Dispensary,2.5,Pharm Technician
343,P03,MinorSurg,Central_Hospital,Dispensary,0.0,Pharm Assist
344,L01,MinorSurg,Central_Hospital,Dispensary,0.0,Lab Officer
345,L02,MinorSurg,Central_Hospital,Dispensary,0.0,Lab Technocian
346,L03,MinorSurg,Central_Hospital,Dispensary,0.0,Lab Assist
347,E01,MinorSurg,Central_Hospital,Dispensary,0.0,DCSA
348,D01,MinorSurg,Central_Hospital,Dispensary,0.0,Dental Officer
349,D02,MinorSurg,Central_Hospital,Dispensary,0.0,Dental Therapist
350,D03,MinorSurg,Central_Hospital,Dispensary,0.0,Dental Assistant
351,C01,MinorSurg,Central_Hospital,Dispensary,0.0,Mental Health Staff
352,T01,MinorSurg,Central_Hospital,Dispensary,0.0,Nutrition Staff
353,R01,MinorSurg,Central_Hospital,Dispensary,0.0,Radiographer
354,R02,MinorSurg,Central_Hospital,Dispensary,0.0,Radiography Technician
355,R03,MinorSurg,Central_Hospital,Dispensary,0.0,Sonographer
356,R04,MinorSurg,Central_Hospital,Dispensary,0.0,Radiotherapy Technician
357,M01,TBNew,Central_Hospital,Dispensary,4.5,Medical officer
358,M02,TBNew,Central_Hospital,Dispensary,4.5,Clinical Officer
359,N01,TBNew,Central_Hospital,Dispensary,8.0,Nurse Officer
360,N02,TBNew,Central_Hospital,Dispensary,5.0,Md Wife Tech
361,M03,TBNew,Central_Hospital,Dispensary,0.0,Med. Assistant
362,P01,TBNew,Central_Hospital,Dispensary,0.0,Pharmacist
363,P02,TBNew,Central_Hospital,Dispensary,3.5,Pharm Technician
364,P03,TBNew,Central_Hospital,Dispensary,3.5,Pharm Assist
365,L01,TBNew,Central_Hospital,Dispensary,0.0,Lab Officer
366,L02,TBNew,Central_Hospital,Dispensary,0.0,Lab Technocian
367,L03,TBNew,Central_Hospital,Dispensary,0.0,Lab Assist
368,E01,TBNew,Central_Hospital,Dispensary,0.0,DCSA
369,D01,TBNew,Central_Hospital,Dispensary,0.0,Dental Officer
370,D02,TBNew,Central_Hospital,Dispensary,0.0,Dental Therapist
