Staff,District,Officer,Staff_ID
55,Dedza,Medical Officer / Specialist,55
56,Dedza,Medical Officer / Specialist,56
57,Dedza,Medical Officer / Specialist,57
58,Dedza,Medical Officer / Specialist,58
59,Dedza,Medical Officer / Specialist,59
60,Dedza,Medical Officer / Specialist,60
61,Dedza,Medical Officer / Specialist,61
62,Dowa,Medical Officer / Specialist,62
63,Dowa,Medical Officer / Specialist,63
64,Dowa,Medical Officer / Specialist,64
65,Dowa,Medical Officer / Specialist,65
66,Dowa,Medical Officer / Specialist,66
67,Dowa,Medical Officer / Specialist,67
68,Dowa,Medical Officer / Specialist,68
69,Dowa,Medical Officer / Specialist,69
70,Dowa,Medical Officer / Specialist,70
71,Dowa,Medical Officer / Specialist,71
72,Dowa,Medical Officer / Specialist,72
73,Dowa,Medical Officer / Specialist,73
74,Dowa,Medical Officer / Specialist,74
75,Karonga,Medical Officer / Specialist,75
76,Karonga,Medical Officer / Specialist,76
77,Karonga,Medical Officer / Specialist,77
78,Karonga,Medical Officer / Specialist,78
79,Karonga,Medical Officer / Specialist,79
80,Karonga,Medical Officer / Specialist,80
81,Karonga,Medical Officer / Specialist,81
82,Karonga,Medical Officer / Specialist,82
83,Karonga,Medical Officer / Specialist,83
84,Kasungu,Medical Officer / Specialist,84
85,Kasungu,Medical Officer / Specialist,85
86,Kasungu,Medical Officer / Specialist,86
87,Kasungu,Medical Officer / Specialist,87
88,Kasungu,Medical Officer / Specialist,88
89,Kasungu,Medical Officer / Specialist,89
90,Kasungu,Medical Officer / Specialist,90
91,Kasungu,Medical Officer / Specialist,91
92,Kasungu,Medical Officer / Specialist,92
93,Kasungu,Medical Officer / Specialist,93
94,Kasungu,Medical Officer / Specialist,94
95,Lilongwe,Medical Officer / Specialist,95
96,Lilongwe,Medical Officer / Specialist,96
97,Lilongwe,Medical Officer / Specialist,97
98,Lilongwe,Medical Officer / Specialist,98
99,Lilongwe,Medical Officer / Specialist,99
100,Lilongwe,Medical Officer / Specialist,100
101,Lilongwe,Medical Officer / Specialist,101
102,Lilongwe,Medical Officer / Specialist,102
103,Lilongwe,Medical Officer / Specialist,103
104,Lilongwe,Medical Officer / Specialist,104
105,Lilongwe,Medical Officer / Specialist,105
106,Lilongwe,Medical Officer / Specialist,106
107,Lilongwe,Medical Officer / Specialist,107
108,Lilongwe,Medical Officer / Specialist,108
109,Lilongwe,Medical Officer / Specialist,109
110,Lilongwe,Medical Officer / Specialist,110
111,Lilongwe,Medical Officer / Specialist,111
112,Lilongwe,Medical Officer / Specialist,112
113,Lilongwe,Medical Officer / Specialist,113
114,Lilongwe,Medical Officer / Specialist,114
115,Lilongwe,Medical Officer / Specialist,115
116,Lilongwe,Medical Officer / Specialist,116
117,Lilongwe,Medical Officer / Specialist,117
118,Lilongwe,Medical Officer / Specialist,118
119,Lilongwe,Medical Officer / Specialist,119
120,Lilongwe,Medical Officer / Specialist,120
121,Lilongwe,Medical Officer / Specialist,121
122,Lilongwe,Medical Officer / Specialist,122
123,Lilongwe,Medical Officer / Specialist,123
124,Lilongwe,Medical Officer / Specialist,124
125,Lilongwe,Medical Officer / Specialist,125
126,Lilongwe,Medical Officer / Specialist,126
127,Lilongwe,Medical Officer / Specialist,127
128,Lilongwe,Medical Officer / Specialist,128
129,Lilongwe,Medical Officer / Specialist,129
130,Machinga,Medical Officer / Specialist,130
131,Machinga,Medical Officer / Specialist,131
132,Machinga,Medical Officer / Specialist,132
133,Machinga,Medical Officer / Specialist,133
134,Machinga,Medical Officer / Specialist,134
135,Machinga,Medical Officer / Specialist,135
136,Machinga,Medical Officer / Specialist,136
137,Mangochi,Medical Officer / Specialist,137
138,Mangochi,Medical Officer / Specialist,138
139,Mangochi,Medical Officer / Specialist,139
140,Mangochi,Medical Officer / Specialist,140
141,Mangochi,Medical Officer / Specialist,141
142,Mangochi,Medical Officer / Specialist,142
143,Mangochi,Medical Officer / Specialist,143
144,Mangochi,Medical Officer / Specialist,144
145,Mangochi,Medical Officer / Specialist,145
146,Mangochi,Medical Officer / Specialist,146
147,Mangochi,Medical Officer / Specialist,147
148,Mangochi,Medical Officer / Specialist,148
149,Mangochi,Medical Officer / Specialist,149
150,Mchinji,Medical Officer / Specialist,150
151,Mchinji,Medical Officer / Specialist,151
152,Mchinji,Medical Officer / Specialist,152
153,Mchinji,Medical Officer / Specialist,153
154,Mchinji,Medical Officer / Specialist,154
155,Mchinji,Medical Officer / Specialist,155
156,Mchinji,Medical Officer / Specialist,156
157,Mchinji,Medical Officer / Specialist,157
158,Mchinji,Medical Officer / Specialist,158
159,Mchinji,Medical Officer / Specialist,159
160,Mchinji,Medical Officer / Specialist,160
161,Mchinji,Medical Officer / Specialist,161
162,Mchinji,Medical Officer / Specialist,162
163,Mulanje,Medical Officer / Specialist,163
164,Mulanje,Medical Officer / Specialist,164
165,Mulanje,Medical Officer / Specialist,165
166,Mulanje,Medical Officer / Specialist,166
167,Mulanje,Medical Officer / Specialist,167
168,Mulanje,Medical Officer / Specialist,168
169,Mulanje,Medical Officer / Specialist,169
170,Mulanje,Medical Officer / Specialist,170
171,Mulanje,Medical Officer / Specialist,171
172,Mulanje,Medical Officer / Specialist,172
173,Mulanje,Medical Officer / Specialist,173
174,Mwanza,Medical Officer / Specialist,174
175,Mwanza,Medical Officer / Specialist,175
176,Mwanza,Medical Officer / Specialist,176
177,Mwanza,Medical Officer / Specialist,177
178,Mwanza,Medical Officer / Specialist,178
179,Mwanza,Medical Officer / Specialist,179
180,Mwanza,Medical Officer / Specialist,180
181,Mzimba,Medical Officer / Specialist,181
182,Mzimba,Medical Officer / Specialist,182
183,Mzimba,Medical Officer / Specialist,183
184,Mzimba,Medical Officer / Specialist,184
185,Mzimba,Medical Officer / Specialist,185
186,Mzimba,Medical Officer / Specialist,186
187,Mzimba,Medical Officer / Specialist,187
188,Mzimba,Medical Officer / Specialist,188
189,Mzimba,Medical Officer / Specialist,189
190,Mzimba,Medical Officer / Specialist,190
191,Mzimba,Medical Officer / Specialist,191
192,Mzimba,Medical Officer / Specialist,192
193,Mzimba,Medical Officer / Specialist,193
194,Mzimba,Medical Officer / Specialist,194
195,Mzimba,Medical Officer / Specialist,195
196,Mzimba,Medical Officer / Specialist,196
197,Mzimba,Medical Officer / Specialist,197
198,Mzimba,Medical Officer / Specialist,198
199,Mzimba,Medical Officer / Specialist,199
200,Mzimba,Medical Officer / Specialist,200
201,Mzimba,Medical Officer / Specialist,201
202,Mzimba,Medical Officer / Specialist,202
203,Mzimba,Medical Officer / Specialist,203
204,Neno,Medical Officer / Specialist,204
205,Neno,Medical Officer / Specialist,205
206,Neno,Medical Officer / Specialist,206
207,Neno,Medical Officer / Specialist,207
208,Neno,Medical Officer / Specialist,208
209,Neno,Medical Officer / Specialist,209
210,Neno,Medical Officer / Specialist,210
211,Nkhata Bay,Medical Officer / Specialist,211
212,Nkhata Bay,Medical Officer / Specialist,212
213,Nkhata Bay,Medical Officer / Specialist,213
214,Nkhata Bay,Medical Officer / Specialist,214
215,Nkhata Bay,Medical Officer / Specialist,215
216,Nkhata Bay,Medical Officer / Specialist,216
217,Nkhata Bay,Medical Officer / Specialist,217
218,Nkhata Bay,Medical Officer / Specialist,218
219,Nkhata Bay,Medical Officer / Specialist,219
220,Nkhotakota,Medical Officer / Specialist,220
221,Nkhotakota,Medical Officer / Specialist,221
222,Nkhotakota,Medical Officer / Specialist,222
223,Nkhotakota,Medical Officer / Specialist,223
224,Nkhotakota,Medical Officer / Specialist,224
225,Nkhotakota,Medical Officer / Specialist,225
226,Nkhotakota,Medical Officer / Specialist,226
227,Nkhotakota,Medical Officer / Specialist,227
228,Nkhotakota,Medical Officer / Specialist,228
229,Nkhotakota,Medical Officer / Specialist,229
230,Nkhotakota,Medical Officer / Specialist,230
231,Nkhotakota,Medical Officer / Specialist,231
232,Nkhotakota,Medical Officer / Specialist,232
233,Nsanje,Medical Officer / Specialist,233
234,Nsanje,Medical Officer / Specialist,234
235,Nsanje,Medical Officer / Specialist,235
236,Nsanje,Medical Officer / Specialist,236
237,Nsanje,Medical Officer / Specialist,237
238,Nsanje,Medical Officer / Specialist,238
239,Nsanje,Medical Officer / Specialist,239
240,Nsanje,Medical Officer / Specialist,240
241,Nsanje,Medical Officer / Specialist,241
242,Nsanje,Medical Officer / Specialist,242
243,Nsanje,Medical Officer / Specialist,243
244,Nsanje,Medical Officer / Specialist,244
245,Nsanje,Medical Officer / Specialist,245
246,Ntcheu,Medical Officer / Specialist,246
247,Ntcheu,Medical Officer / Specialist,247
248,Ntcheu,Medical Officer / Specialist,248
249,Ntcheu,Medical Officer / Specialist,249
250,Ntcheu,Medical Officer / Specialist,250
251,Ntcheu,Medical Officer / Specialist,251
252,Ntcheu,Medical Officer / Specialist,252
253,Ntcheu,Medical Officer / Specialist,253
254,Ntcheu,Medical Officer / Specialist,254
255,Ntcheu,Medical Officer / Specialist,255
256,Ntcheu,Medical Officer / Specialist,256
257,Ntchisi,Medical Officer / Specialist,257
258,Ntchisi,Medical Officer / Specialist,258
259,Ntchisi,Medical Officer / Specialist,259
260,Ntchisi,Medical Officer / Specialist,260
261,Ntchisi,Medical Officer / Specialist,261
262,Ntchisi,Medical Officer / Specialist,262
263,Ntchisi,Medical Officer / Specialist,263
264,Phalombe,Medical Officer / Specialist,264
265,Phalombe,Medical Officer / Specialist,265
266,Phalombe,Medical Officer / Specialist,266
267,Phalombe,Medical Officer / Specialist,267
268,Phalombe,Medical Officer / Specialist,268
269,Phalombe,Medical Officer / Specialist,269
270,Phalombe,Medical Officer / Specialist,270
271,Phalombe,Medical Officer / Specialist,271
272,Phalombe,Medical Officer / Specialist,272
273,Phalombe,Medical Officer / Specialist,273
274,Phalombe,Medical Officer / Specialist,274
275,Rumphi,Medical Officer / Specialist,275
276,Rumphi,Medical Officer / Specialist,276
277,Rumphi,Medical Officer / Specialist,277
278,Rumphi,Medical Officer / Specialist,278
279,Rumphi,Medical Officer / Specialist,279
280,Rumphi,Medical Officer / Specialist,280
281,Rumphi,Medical Officer / Specialist,281
282,Rumphi,Medical Officer / Specialist,282
283,Rumphi,Medical Officer / Specialist,283
284,Rumphi,Medical Officer / Specialist,284
285,Rumphi,Medical Officer / Specialist,285
286,Salima,Medical Officer / Specialist,286
287,Salima,Medical Officer / Specialist,287
288,Salima,Medical Officer / Specialist,288
289,Salima,Medical Officer / Specialist,289
290,Salima,Medical Officer / Specialist,290
291,Salima,Medical Officer / Specialist,291
292,Salima,Medical Officer / Specialist,292
293,Thyolo,Medical Officer / Specialist,293
294,Thyolo,Medical Officer / Specialist,294
295,Thyolo,Medical Officer / Specialist,295
296,Thyolo,Medical Officer / Specialist,296
297,Thyolo,Medical Officer / Specialist,297
298,Thyolo,Medical Officer / Specialist,298
299,Thyolo,Medical Officer / Specialist,299
300,Thyolo,Medical Officer / Specialist,300
301,Thyolo,Medical Officer / Specialist,301
302,Thyolo,Medical Officer / Specialist,302
303,Thyolo,Medical Officer / Specialist,303
304,Thyolo,Medical Officer / Specialist,304
305,Thyolo,Medical Officer / Specialist,305
306,Zomba,Medical Officer / Specialist,306
307,Zomba,Medical Officer / Specialist,307
308,Zomba,Medical Officer / Specialist,308
309,Zomba,Medical Officer / Specialist,309
310,Zomba,Medical Officer / Specialist,310
311,Zomba,Medical Officer / Specialist,311
312,Zomba,Medical Officer / Specialist,312
313,Zomba,Medical Officer / Specialist,313
314,Zomba,Medical Officer / Specialist,314
315,Zomba,Medical Officer / Specialist,315
316,Zomba,Medical Officer / Specialist,316
317,Zomba,Medical Officer / Specialist,317
318,Zomba,Medical Officer / Specialist,318
319,Zomba,Medical Officer / Specialist,319
320,Zomba,Medical Officer / Specialist,320
321,Lilongwe,Medical Officer / Specialist,321
322,Lilongwe,Medical Officer / Specialist,322
323,Lilongwe,Medical Officer / Specialist,323
324,Lilongwe,Medical Officer / Specialist,324
325,Lilongwe,Medical Officer / Specialist,325
326,Lilongwe,Medical Officer / Specialist,326
327,Lilongwe,Medical Officer / Specialist,327
328,Lilongwe,Medical Officer / Specialist,328
329,Lilongwe,Medical Officer / Specialist,329
330,Lilongwe,Medical Officer / Specialist,330
331,Lilongwe,Medical Officer / Specialist,331
332,Lilongwe,Medical Officer / Specialist,332
333,Lilongwe,Medical Officer / Specialist,333
334,Lilongwe,Medical Officer / Specialist,334
335,Lilongwe,Medical Officer / Specialist,335
336,Lilongwe,Medical Officer / Specialist,336
337,Lilongwe,Medical Officer / Specialist,337
338,Lilongwe,Medical Officer / Specialist,338
339,Lilongwe,Medical Officer / Specialist,339
340,Lilongwe,Medical Officer / Specialist,340
341,Lilongwe,Medical Officer / Specialist,341
342,Lilongwe,Medical Officer / Specialist,342
343,Lilongwe,Medical Officer / Specialist,343
344,Lilongwe,Medical Officer / Specialist,344
345,Lilongwe,Medical Officer / Specialist,345
346,Lilongwe,Medical Officer / Specialist,346
347,Lilongwe,Medical Officer / Specialist,347
348,Lilongwe,Medical Officer / Specialist,348
349,Lilongwe,Medical Officer / Specialist,349
350,Lilongwe,Medical Officer / Specialist,350
351,Lilongwe,Medical Officer / Specialist,351
352,Lilongwe,Medical Officer / Specialist,352
353,Lilongwe,Medical Officer / Specialist,353
354,Lilongwe,Medical Officer / Specialist,354
355,Lilongwe,Medical Officer / Specialist,355
356,Lilongwe,Medical Officer / Specialist,356
357,Lilongwe,Medical Officer / Specialist,357
358,Lilongwe,Medical Officer / Specialist,358
359,Lilongwe,Medical Officer / Specialist,359
360,Lilongwe,Medical Officer / Specialist,360
361,Lilongwe,Medical Officer / Specialist,361
362,Lilongwe,Medical Officer / Specialist,362
363,Lilongwe,Medical Officer / Specialist,363
364,Lilongwe,Medical Officer / Specialist,364
365,Lilongwe,Medical Officer / Specialist,365
366,Lilongwe,Medical Officer / Specialist,366
367,Lilongwe,Medical Officer / Specialist,367
368,Lilongwe,Medical Officer / Specialist,368
369,Lilongwe,Medical Officer / Specialist,369
370,Lilongwe,Medical Officer / Specialist,370
371,Lilongwe,Medical Officer / Specialist,371
372,Lilongwe,Medical Officer / Specialist,372
373,Lilongwe,Medical Officer / Specialist,373
374,Lilongwe,Medical Officer / Specialist,374
375,Lilongwe,Medical Officer / Specialist,375
376,Lilongwe,Medical Officer / Specialist,376
377,Lilongwe,Medical Officer / Specialist,377
378,Lilongwe,Medical Officer / Specialist,378
379,Lilongwe,Medical Officer / Specialist,379
380,Lilongwe,Medical Officer / Specialist,380
381,Lilongwe,Medical Officer / Specialist,381
382,Lilongwe,Medical Officer / Specialist,382
383,Lilongwe,Medical Officer / Specialist,383
384,Lilongwe,Medical Officer / Specialist,384
385,Lilongwe,Medical Officer / Specialist,385
386,Lilongwe,Medical Officer / Specialist,386
387,Lilongwe,Medical Officer / Specialist,387
388,Lilongwe,Medical Officer / Specialist,388
389,Lilongwe,Medical Officer / Specialist,389
390,Lilongwe,Medical Officer / Specialist,390
391,Lilongwe,Medical Officer / Specialist,391
392,Lilongwe,Medical Officer / Specialist,392
393,Lilongwe,Medical Officer / Specialist,393
394,Lilongwe,Medical Officer / Specialist,394
395,Lilongwe,Medical Officer / Specialist,395
396,Lilongwe,Medical Officer / Specialist,396
397,Lilongwe,Medical Officer / Specialist,397
398,Lilongwe,Medical Officer / Specialist,398
399,Lilongwe,Medical Officer / Specialist,399
400,Lilongwe,Medical Officer / Specialist,400
401,Lilongwe,Medical Officer / Specialist,401
402,Lilongwe,Medical Officer / Specialist,402
403,Lilongwe,Medical Officer / Specialist,403
404,Lilongwe,Medical Officer / Specialist,404
405,Lilongwe,Medical Officer / Specialist,405
406,Lilongwe,Medical Officer / Specialist,406
407,Lilongwe,Medical Officer / Specialist,407
408,Lilongwe,Medical Officer / Specialist,408
409,Lilongwe,Medical Officer / Specialist,409
410,Lilongwe,Medical Officer / Specialist,410
411,Lilongwe,Medical Officer / Specialist,411
412,Lilongwe,Medical Officer / Specialist,412
413,Lilongwe,Medical Officer / Specialist,413
414,Lilongwe,Medical Officer / Specialist,414
415,Lilongwe,Medical Officer / Specialist,415
416,Lilongwe,Medical Officer / Specialist,416
417,Lilongwe,Medical Officer / Specialist,417
418,Lilongwe,Medical Officer / Specialist,418
419,Lilongwe,Medical Officer / Specialist,419
420,Lilongwe,Medical Officer / Specialist,420
421,Lilongwe,Medical Officer / Specialist,421
422,Lilongwe,Medical Officer / Specialist,422
423,Lilongwe,Medical Officer / Specialist,423
424,Lilongwe,Medical Officer / Specialist,424
425,Lilongwe,Medical Officer / Specialist,425
426,Lilongwe,Medical Officer / Specialist,426
427,Lilongwe,Medical Officer / Specialist,427
428,Lilongwe,Medical Officer / Specialist,428
429,Lilongwe,Medical Officer / Specialist,429
430,Lilongwe,Medical Officer / Specialist,430
431,Lilongwe,Medical Officer / Specialist,431
432,Lilongwe,Medical Officer / Specialist,432
433,Lilongwe,Medical Officer / Specialist,433
434,Lilongwe,Medical Officer / Specialist,434
435,Lilongwe,Medical Officer / Specialist,435
436,Lilongwe,Medical Officer / Specialist,436
437,Lilongwe,Medical Officer / Specialist,437
438,Lilongwe,Medical Officer / Specialist,438
439,Lilongwe,Medical Officer / Specialist,439
440,Lilongwe,Medical Officer / Specialist,440
441,Lilongwe,Medical Officer / Specialist,441
442,Lilongwe,Medical Officer / Specialist,442
443,Lilongwe,Medical Officer / Specialist,443
444,Lilongwe,Medical Officer / Specialist,444
445,Mzimba,Medical Officer / Specialist,445
446,Mzimba,Medical Officer / Specialist,446
447,Mzimba,Medical Officer / Specialist,447
448,Mzimba,Medical Officer / Specialist,448
449,Mzimba,Medical Officer / Specialist,449
450,Mzimba,Medical Officer / Specialist,450
451,Mzimba,Medical Officer / Specialist,451
452,Mzimba,Medical Officer / Specialist,452
453,Mzimba,Medical Officer / Specialist,453
454,Mzimba,Medical Officer / Specialist,454
455,Mzimba,Medical Officer / Specialist,455
456,Mzimba,Medical Officer / Specialist,456
457,Mzimba,Medical Officer / Specialist,457
458,Mzimba,Medical Officer / Specialist,458
459,Mzimba,Medical Officer / Specialist,459
460,Mzimba,Medical Officer / Specialist,460
461,Mzimba,Medical Officer / Specialist,461
462,Mzimba,Medical Officer / Specialist,462
463,Mzimba,Medical Officer / Specialist,463
464,Mzimba,Medical Officer / Specialist,464
465,Mzimba,Medical Officer / Specialist,465
466,Mzimba,Medical Officer / Specialist,466
467,Mzimba,Medical Officer / Specialist,467
468,Mzimba,Medical Officer / Specialist,468
469,Mzimba,Medical Officer / Specialist,469
470,Mzimba,Medical Officer / Specialist,470
471,Mzimba,Medical Officer / Specialist,471
472,Mzimba,Medical Officer / Specialist,472
473,Mzimba,Medical Officer / Specialist,473
474,Mzimba,Medical Officer / Specialist,474
475,Mzimba,Medical Officer / Specialist,475
476,Mzimba,Medical Officer / Specialist,476
477,Mzimba,Medical Officer / Specialist,477
478,Mzimba,Medical Officer / Specialist,478
479,Mzimba,Medical Officer / Specialist,479
480,Mzimba,Medical Officer / Specialist,480
481,Mzimba,Medical Officer / Specialist,481
482,Mzimba,Medical Officer / Specialist,482
483,Mzimba,Medical Officer / Specialist,483
484,Mzimba,Medical Officer / Specialist,484
485,Mzimba,Medical Officer / Specialist,485
486,Mzimba,Medical Officer / Specialist,486
487,Mzimba,Medical Officer / Specialist,487
488,Mzimba,Medical Officer / Specialist,488
489,Mzimba,Medical Officer / Specialist,489
490,Mzimba,Medical Officer / Specialist,490
491,Mzimba,Medical Officer / Specialist,491
492,Mzimba,Medical Officer / Specialist,492
493,Mzimba,Medical Officer / Specialist,493
494,Mzimba,Medical Officer / Specialist,494
495,Mzimba,Medical Officer / Specialist,495
496,Mzimba,Medical Officer / Specialist,496
497,Mzimba,Medical Officer / Specialist,497
498,Mzimba,Medical Officer / Specialist,498
499,Mzimba,Medical Officer / Specialist,499
500,Mzimba,Medical Officer / Specialist,500
501,Mzimba,Medical Officer / Specialist,501
502,Mzimba,Medical Officer / Specialist,502
503,Mzimba,Medical Officer / Specialist,503
504,Mzimba,Medical Officer / Specialist,504
505,Mzimba,Medical Officer / Specialist,505
506,Mzimba,Medical Officer / Specialist,506
507,Mzimba,Medical Officer / Specialist,507
508,Mzimba,Medical Officer / Specialist,508
509,Mzimba,Medical Officer / Specialist,509
510,Mzimba,Medical Officer / Specialist,510
511,Mzimba,Medical Officer / Specialist,511
512,Mzimba,Medical Officer / Specialist,512
513,Mzimba,Medical Officer / Specialist,513
514,Mzimba,Medical Officer / Specialist,514
515,Mzimba,Medical Officer / Specialist,515
516,Mzimba,Medical Officer / Specialist,516
517,Mzimba,Medical Officer / Specialist,517
518,Mzimba,Medical Officer / Specialist,518
519,Mzimba,Medical Officer / Specialist,519
520,Mzimba,Medical Officer / Specialist,520
521,Mzimba,Medical Officer / Specialist,521
522,Mzimba,Medical Officer / Specialist,522
523,Mzimba,Medical Officer / Specialist,523
524,Mzimba,Medical Officer / Specialist,524
525,Mzimba,Medical Officer / Specialist,525
526,Mzimba,Medical Officer / Specialist,526
527,Mzimba,Medical Officer / Specialist,527
528,Mzimba,Medical Officer / Specialist,528
529,Mzimba,Medical Officer / Specialist,529
530,Mzimba,Medical Officer / Specialist,530
531,Mzimba,Medical Officer / Specialist,531
532,Mzimba,Medical Officer / Specialist,532
533,Mzimba,Medical Officer / Specialist,533
534,Mzimba,Medical Officer / Specialist,534
535,Mzimba,Medical Officer / Specialist,535
536,Mzimba,Medical Officer / Specialist,536
537,Mzimba,Medical Officer / Specialist,537
538,Mzimba,Medical Officer / Specialist,538
539,Mzimba,Medical Officer / Specialist,539
540,Mzimba,Medical Officer / Specialist,540
541,Mzimba,Medical Officer / Specialist,541
542,Mzimba,Medical Officer / Specialist,542
543,Mzimba,Medical Officer / Specialist,543
544,Mzimba,Medical Officer / Specialist,544
545,Mzimba,Medical Officer / Specialist,545
546,Mzimba,Medical Officer / Specialist,546
547,Mzimba,Medical Officer / Specialist,547
548,Mzimba,Medical Officer / Specialist,548
549,Mzimba,Medical Officer / Specialist,549
550,Mzimba,Medical Officer / Specialist,550
551,Mzimba,Medical Officer / Specialist,551
552,Mzimba,Medical Officer / Specialist,552
553,Mzimba,Medical Officer / Specialist,553
554,Mzimba,Medical Officer / Specialist,554
555,Mzimba,Medical Officer / Specialist,555
556,Blantyre,Medical Officer / Specialist,556
557,Blantyre,Medical Officer / Specialist,557
558,Blantyre,Medical Officer / Specialist,558
559,Blantyre,Medical Officer / Specialist,559
560,Blantyre,Medical Officer / Specialist,560
561,Blantyre,Medical Officer / Specialist,561
562,Blantyre,Medical Officer / Specialist,562
563,Blantyre,Medical Officer / Specialist,563
564,Blantyre,Medical Officer / Specialist,564
565,Blantyre,Medical Officer / Specialist,565
566,Blantyre,Medical Officer / Specialist,566
567,Blantyre,Medical Officer / Specialist,567
568,Blantyre,Medical Officer / Specialist,568
569,Blantyre,Medical Officer / Specialist,569
570,Blantyre,Medical Officer / Specialist,570
571,Blantyre,Medical Officer / Specialist,571
572,Blantyre,Medical Officer / Specialist,572
573,Blantyre,Medical Officer / Specialist,573
574,Blantyre,Medical Officer / Specialist,574
575,Blantyre,Medical Officer / Specialist,575
576,Blantyre,Medical Officer / Specialist,576
577,Blantyre,Medical Officer / Specialist,577
578,Blantyre,Medical Officer / Specialist,578
579,Blantyre,Medical Officer / Specialist,579
580,Blantyre,Medical Officer / Specialist,580
581,Blantyre,Medical Officer / Specialist,581
582,Blantyre,Medical Officer / Specialist,582
583,Blantyre,Medical Officer / Specialist,583
584,Blantyre,Medical Officer / Specialist,584
585,Blantyre,Medical Officer / Specialist,585
586,Blantyre,Medical Officer / Specialist,586
587,Blantyre,Medical Officer / Specialist,587
588,Blantyre,Medical Officer / Specialist,588
589,Blantyre,Medical Officer / Specialist,589
590,Blantyre,Medical Officer / Specialist,590
591,Blantyre,Medical Officer / Specialist,591
592,Blantyre,Medical Officer / Specialist,592
593,Blantyre,Medical Officer / Specialist,593
594,Blantyre,Medical Officer / Specialist,594
595,Blantyre,Medical Officer / Specialist,595
596,Blantyre,Medical Officer / Specialist,596
597,Blantyre,Medical Officer / Specialist,597
598,Blantyre,Medical Officer / Specialist,598
599,Blantyre,Medical Officer / Specialist,599
600,Blantyre,Medical Officer / Specialist,600
601,Blantyre,Medical Officer / Specialist,601
602,Blantyre,Medical Officer / Specialist,602
603,Blantyre,Medical Officer / Specialist,603
604,Blantyre,Medical Officer / Specialist,604
605,Blantyre,Medical Officer / Specialist,605
606,Blantyre,Medical Officer / Specialist,606
607,Blantyre,Medical Officer / Specialist,607
608,Blantyre,Medical Officer / Specialist,608
609,Blantyre,Medical Officer / Specialist,609
610,Blantyre,Medical Officer / Specialist,610
611,Blantyre,Medical Officer / Specialist,611
612,Blantyre,Medical Officer / Specialist,612
613,Blantyre,Medical Officer / Specialist,613
614,Blantyre,Medical Officer / Specialist,614
615,Blantyre,Medical Officer / Specialist,615
616,Blantyre,Medical Officer / Specialist,616
617,Blantyre,Medical Officer / Specialist,617
618,Blantyre,Medical Officer / Specialist,618
619,Blantyre,Medical Officer / Specialist,619
620,Blantyre,Medical Officer / Specialist,620
621,Blantyre,Medical Officer / Specialist,621
622,Blantyre,Medical Officer / Specialist,622
623,Blantyre,Medical Officer / Specialist,623
624,Blantyre,Medical Officer / Specialist,624
625,Blantyre,Medical Officer / Specialist,625
626,Blantyre,Medical Officer / Specialist,626
