Variant,Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
High variant,2020-2025,0.13808099999999998,0.20934999999999998,0.18559299999999998,0.151371,0.09639,0.041084,0.010791
High variant,2025-2030,0.13958199999999998,0.204696,0.18201900000000001,0.146573,0.087759,0.035028,0.007923
High variant,2030-2035,0.13882,0.19853700000000002,0.17772200000000002,0.14175800000000002,0.080161,0.030044,0.005898
High variant,2035-2040,0.134196,0.18865700000000002,0.170637,0.135249,0.072575,0.025611000000000002,0.004395
High variant,2040-2045,0.129029,0.179729,0.16484800000000002,0.130261,0.066641,0.022196999999999998,0.003355
High variant,2045-2050,0.12300799999999999,0.171117,0.15974100000000002,0.12623600000000001,0.061883,0.019518,0.002617
High variant,2050-2055,0.11680700000000001,0.163555,0.155976,0.12366500000000001,0.058371,0.017474,0.002092
High variant,2055-2060,0.10981,0.156008,0.15256,0.121726,0.055604,0.015847,0.0017050000000000001
High variant,2060-2065,0.102618,0.149121,0.15009299999999998,0.120889,0.053715000000000006,0.014616,0.001428
High variant,2065-2070,0.094872,0.142202,0.147884,0.12059,0.052377,0.013654999999999999,0.00122
High variant,2070-2075,0.086787,0.135321,0.145961,0.12086,0.051578000000000006,0.012914,0.001059
High variant,2075-2080,0.078556,0.12853,0.144351,0.12170600000000001,0.051302,0.012374000000000001,0.000941
High variant,2080-2085,0.07037,0.12190000000000001,0.14310900000000001,0.123193,0.051552,0.012024,0.000852
High variant,2085-2090,0.062310000000000004,0.115327,0.14208600000000002,0.125197,0.052287,0.011823,0.00079
High variant,2090-2095,0.054505000000000005,0.10878199999999999,0.141217,0.127673,0.053488999999999995,0.011767,0.000747
High variant,2095-2100,0.047144,0.10239100000000001,0.14063,0.13075299999999998,0.055237,0.011867,0.000718
