Treatment,Priority,FT_if_5orUnder,FT_if_pregnant,FT_if_tbdiagnosed,FT_if_Hivdiagnosed
Tb_Test_Screening,2,-1,-1,-1,-1
Tb_Test_Xray,2,-1,-1,-1,-1
Tb_Treatment,2,-1,-1,-1,-1
Tb_PalliativeCare,2,-1,-1,-1,-1
CervicalCancer_Screening_VIA,4,-1,-1,-1,-1
CervicalCancer_Screening_Xpert,4,-1,-1,-1,-1
CervicalCancer_Presentation,4,-1,-1,-1,-1
CervicalCancer_CINRemoval_Cryotherapy,4,-1,-1,-1,-1
CervicalCancer_CINRemoval_Thermoablation,4,-1,-1,-1,-1
CervicalCancer_Biopsy,4,-1,-1,-1,-1
CervicalCancer_Treatment_Start,4,-1,-1,-1,-1
CervicalCancer_Treatment_PostTreatmentCheck,4,-1,-1,-1,-1
CervicalCancer_PalliativeCare,4,-1,-1,-1,-1
Undernutrition_Feeding_Supplementary,2,-1,-1,-1,-1
Undernutrition_Feeding_Inpatient,2,-1,-1,-1,-1
Undernutrition_Feeding_Outpatient,2,-1,-1,-1,-1
Undernutrition_GrowthMonitoring,2,-1,-1,-1,-1
lowest_priority_considered,3,-1,-1,-1,-1
