Treatment,Priority,FT_if_5orUnder,FT_if_pregnant,FT_if_tbdiagnosed,FT_if_Hivdiagnosed
Tb_Test_Xray,5,-1,-1,-1,-1
Tb_Treatment,5,-1,-1,-1,-1
Tb_PalliativeCare,5,-1,-1,-1,-1
CervicalCancer_Screening_VIA,5,-1,-1,-1,-1
CervicalCancer_Screening_Xpert,5,-1,-1,-1,-1
CervicalCancer_Presentation,5,-1,-1,-1,-1
CervicalCancer_CINRemoval_Cryotherapy,5,-1,-1,-1,-1
CervicalCancer_CINRemoval_Thermoablation,5,-1,-1,-1,-1
CervicalCancer_Biopsy,5,-1,-1,-1,-1
CervicalCancer_Treatment_Start,5,-1,-1,-1,-1
CervicalCancer_Treatment_PostTreatmentCheck,5,-1,-1,-1,-1
CervicalCancer_PalliativeCare,5,-1,-1,-1,-1
Undernutrition_Feeding_Supplementary,5,3,-1,-1,-1
Undernutrition_Feeding_Inpatient,5,3,-1,-1,-1
Undernutrition_Feeding_Outpatient,5,3,-1,-1,-1
Undernutrition_GrowthMonitoring,5,3,-1,-1,-1
lowest_priority_considered,5,-1,-1,-1,-1
