Treatment,Priority,FT_if_5orUnder,FT_if_pregnant,FT_if_tbdiagnosed,FT_if_Hivdiagnosed
Tb_Test_Screening,3,-1,-1,-1,-1
Tb_Test_Xray,3,-1,-1,-1,-1
Tb_Treatment,3,-1,-1,-1,-1
Tb_PalliativeCare,3,-1,-1,-1,-1
CervicalCancer_Screening_VIA,3,-1,-1,-1,-1
CervicalCancer_Screening_Xpert,3,-1,-1,-1,-1
CervicalCancer_Presentation,3,-1,-1,-1,-1
CervicalCancer_CINRemoval_Cryotherapy,3,-1,-1,-1,-1
CervicalCancer_CINRemoval_Thermoablation,3,-1,-1,-1,-1
CervicalCancer_Biopsy,3,-1,-1,-1,-1
CervicalCancer_Treatment_Start,3,-1,-1,-1,-1
CervicalCancer_Treatment_PostTreatmentCheck,3,-1,-1,-1,-1
CervicalCancer_PalliativeCare,3,-1,-1,-1,-1
Undernutrition_Feeding_Supplementary,3,-1,-1,-1,-1
Undernutrition_Feeding_Inpatient,3,-1,-1,-1,-1
Undernutrition_Feeding_Outpatient,3,-1,-1,-1,-1
Undernutrition_GrowthMonitoring,3,-1,-1,-1,-1
lowest_priority_considered,3,-1,-1,-1,-1
