parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,
infant_hiv_test_first_weeks,6,local,1,52,vague prior,,
infant_hiv_test_second_months,9,local,1,24,vague prior,,
infant_hiv_test_third_months,18,local,1,24,vague prior,,
hiv_testing_initial_window_for_individuals_with_aids_at_init_days,60,local,1,365,vague prior,,
hiv_testing_close_window_for_individuals_with_aids_at_init_days,365,local,1,365,vague prior,,
odds_ratio_health_seeking_aids_symptoms_adults,10,local,0.01,100,vague prior,,
odds_ratio_health_seeking_aids_symptoms_children,10,local,0.01,100,vague prior,,
hiv_prep_refill_appointment_window_days,7,local,1,365,vague prior,,
prep_continuation_reevaluation_period_months,3,local,0,6,vague prior,,
prep_cons_notavailable_retry_days,7,local,0,14,vague prior,,
art_continuation_appointment_window_days,14,local,1,100,vague prior,,
art_restart_appointment_delay_months,1,local,1,12,vague prior,,
art_drug_notavailable_default_retry_months,6,local,0,12,vague prior,,
art_level1a_healthseekingbehaviour_cap,2,local,0,12,vague prior,,
art_level1a_appointment_delay_months,1,local,0,12,vague prior,,
art_level1b_appointment_delay_days,1,local,0,12,vague prior,,
seek_further_art_appointment_if_appointment_not_available_min_delay_days,14,local,0,30,vague prior,,
seek_further_art_appointment_if_appointment_not_available_max_delay_days,21,local,10,50,vague prior,,
hiv_circ_procedure_first_followup_days,3,local,0,14,vague prior,,
hiv_circ_procedure_second_followup_days,7,local,0,14,vague prior,,
hiv_circ_cons_notavailable_retry_procedure_weeks,1,local,0,14,vague prior,,
infant_prophylaxis_followup_months,3,local,0,6,vague prior,,
infant_prophylaxis_cons_notavailable_retry_days,7,local,0,14,vague prior,,
proportion_on_treatment_not_lost_to_follow_up,0.99,local,0,1,vague prior,,
