parameter_name,value,param_label,prior_min,prior_max,prior_note,reference,notes
sd_los_ISS_9_to_15,11.16,local,0.1,50,vague prior,,
mean_los_ISS_16_to_24,24.73,local,1,100,vague prior,,
sd_los_ISS_16_to_24,17.03,local,0.1,50,vague prior,,
mean_los_ISS_more_than_25,30.86,local,1,100,vague prior,,
sd_los_ISS_more_that_25,34.03,local,0.1,50,vague prior,,
number_of_injured_body_regions_distribution,"[[1, 2, 3, 4, 5, 6, 7, 8], [0.7362050184224718, 0.19421990546958515, 0.051237591074077896, 0.013517104401461814, 0.0035659777825202245, 0.0009407486372638106, 0.0002481810186400668, 6.547319397917849e-05]]",local,"[[1, 2, 3, 4, 5, 6, 7, 8], [0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 2, 3, 4, 5, 6, 7, 8], [1, 1, 1, 1, 1, 1, 1, 1]]",vague prior,,
injury_location_distribution,"[[1, 2, 3, 4, 5, 6, 7, 8],[0.1438, 0.1325,0.021, 0.0945, 0.0612, 0.0155, 0.1685, 0.363]]",local,"[[1, 2, 3, 4, 5, 6, 7, 8], [0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 2, 3, 4, 5, 6, 7, 8], [1, 1, 1, 1, 1, 1, 1, 1]]",vague prior,,
rt_emergency_care_ISS_score_cut_off,5,local,1,75,vague prior,,
prob_death_non_serious,0,universal,0,0.5,vague prior,,
prob_death_MAIS1,0,universal,0,0.5,vague prior,,
prob_death_MAIS2,0,universal,0,0.5,vague prior,,
prob_death_MAIS3,0.05,universal,0,1,vague prior,,
prob_death_MAIS4,0.31,universal,0,1,vague prior,,
prob_death_MAIS5,0.59,universal,0,1,vague prior,,
prob_death_MAIS6,0.83,universal,0,1,vague prior,,
femur_fracture_skeletal_traction_mean_los,52,local,1,100,vague prior,,
other_skeletal_traction_los,42,local,1,200,vague prior,,
prob_foot_frac_require_cast,0.613,local,0,1,vague prior,,
prob_foot_frac_require_maj_surg,0.263,local,0,1,vague prior,,
prob_foot_frac_require_min_surg,0.038,local,0,1,vague prior,,
prob_foot_frac_require_amp,0.086,local,0,1,vague prior,,
prob_tib_fib_frac_require_cast,0.71,local,0,1,vague prior,,
prob_tib_fib_frac_require_maj_surg,0.066,local,0,1,vague prior,,
prob_tib_fib_frac_require_min_surg,0.175,local,0,1,vague prior,,
prob_tib_fib_frac_require_amp,0.024,local,0,1,vague prior,,
prob_tib_fib_frac_require_traction,0.025,local,0,1,vague prior,,
prob_femural_fracture_require_major_surgery,0.187,local,0,1,vague prior,,
prob_femural_fracture_require_minor_surgery,0.007,local,0,1,vague prior,,
prob_femural_fracture_require_cast,0.024,local,0,1,vague prior,,
prob_femural_fracture_require_traction,0.777,local,0,1,vague prior,,
prob_femural_fracture_require_amputation,0.005,local,0,1,vague prior,,
prob_pelvis_fracture_traction,0.71,local,0,1,vague prior,,
prob_pelvis_frac_major_surgery,0.12,local,0,1,vague prior,,
prob_pelvis_frac_cast,0.12,local,0,1,vague prior,,
prob_pelvis_frac_minor_surgery,0.05,local,0,1,vague prior,,
prob_dis_hip_require_maj_surg,0.167,local,0,1,vague prior,,
prob_dis_hip_require_cast,0.333,local,0,1,vague prior,,
prob_hip_dis_require_traction,0.5,local,0,1,vague prior,,
hdu_cut_off_iss_score,29,local,1,75,vague prior,,
mean_icu_days,4.8,local,1,100,vague prior,,
sd_icu_days,6,local,0.1,50,vague prior,,
mean_tbi_icu_days,8.4,local,1,100,vague prior,,
sd_tbi_icu_days,6.4,local,0.1,50,vague prior,,
allowed_interventions,[],scenario,[],[],NA,,
head_prob_112,0.0455,local,0,1,vague prior,,
head_prob_113,0.0045,local,0,1,vague prior,,
head_prob_133a,0.09149906,local,0,1,vague prior,,
head_prob_133b,0.301946898,local,0,1,vague prior,,
head_prob_133c,0.013724859,local,0,1,vague prior,,
head_prob_133d,0.050324483,local,0,1,vague prior,,
head_prob_134a,0.086670324,local,0,1,vague prior,,
head_prob_134b,0.080003376,local,0,1,vague prior,,
head_prob_135,0.061731,local,0,1,vague prior,,
head_prob_1101,0.253536,local,0,1,vague prior,,
head_prob_1114,0.010564,local,0,1,vague prior,,
face_prob_211,0.158585,local,0,1,vague prior,,
face_prob_212,0.294515,local,0,1,vague prior,,
face_prob_241,0.339,local,0,1,vague prior,,
face_prob_2101,0.194845,local,0,1,vague prior,,
face_prob_2114,0.010255,local,0,1,vague prior,,
face_prob_291,0.0028,local,0,1,vague prior,,
neck_prob_3101,0.06972,local,0,1,vague prior,,
neck_prob_3113,0.01428,local,0,1,vague prior,,
neck_prob_342,0.004,local,0,1,vague prior,,
neck_prob_343,0.004,local,0,1,vague prior,,
neck_prob_361,0.495,local,0,1,vague prior,,
neck_prob_363,0.405,local,0,1,vague prior,,
neck_prob_322,0.00264,local,0,1,vague prior,,
neck_prob_323,0.00536,local,0,1,vague prior,,
thorax_prob_4101,0.49036,local,0,1,vague prior,,
thorax_prob_4113,0.04264,local,0,1,vague prior,,
thorax_prob_461,0.0945,local,0,1,vague prior,,
thorax_prob_463,0.0945,local,0,1,vague prior,,
thorax_prob_453a,0.0539,local,0,1,vague prior,,
thorax_prob_453b,0.0161,local,0,1,vague prior,,
thorax_prob_412,0.0392,local,0,1,vague prior,,
thorax_prob_414,0.0098,local,0,1,vague prior,,
thorax_prob_441,0.08586,local,0,1,vague prior,,
thorax_prob_442,0.01749,local,0,1,vague prior,,
thorax_prob_443,0.05565,local,0,1,vague prior,,
abdomen_prob_5101,0.11026,local,0,1,vague prior,,
abdomen_prob_5113,0.03874,local,0,1,vague prior,,
abdomen_prob_552,0.047656,local,0,1,vague prior,,
abdomen_prob_553,0.77441,local,0,1,vague prior,,
abdomen_prob_554,0.028934,local,0,1,vague prior,,
spine_prob_612,0.364,local,0,1,vague prior,,
spine_prob_673a,0.015840216,local,0,1,vague prior,,
spine_prob_673b,0.040731984,local,0,1,vague prior,,
spine_prob_674a,0.074477731,local,0,1,vague prior,,
spine_prob_674b,0.116490809,local,0,1,vague prior,,
spine_prob_675a,0.134791137,local,0,1,vague prior,,
spine_prob_675b,0.210827163,local,0,1,vague prior,,
spine_prob_676,0.04284096,local,0,1,vague prior,,
upper_ex_prob_7101,0.43896,local,0,1,vague prior,,
upper_ex_prob_7113,0.03304,local,0,1,vague prior,,
upper_ex_prob_712a,0.10802,local,0,1,vague prior,,
upper_ex_prob_712b,0.28969,local,0,1,vague prior,,
upper_ex_prob_712c,0.09329,local,0,1,vague prior,,
upper_ex_prob_722,0.025,local,0,1,vague prior,,
upper_ex_prob_782a,0.00750024,local,0,1,vague prior,,
upper_ex_prob_782b,0.00102276,local,0,1,vague prior,,
upper_ex_prob_782c,0.002841,local,0,1,vague prior,,
upper_ex_prob_783,0.000636,local,0,1,vague prior,,
lower_ex_prob_8101,0.186094109,local,0,1,vague prior,,
lower_ex_prob_8113,0.014007083,local,0,1,vague prior,,
lower_ex_prob_811,0.023610948,local,0,1,vague prior,,
lower_ex_prob_813do,0.013281158,local,0,1,vague prior,,
lower_ex_prob_812,0.354164215,local,0,1,vague prior,,
lower_ex_prob_813eo,0.199217371,local,0,1,vague prior,,
lower_ex_prob_813a,0.029513685,local,0,1,vague prior,,
lower_ex_prob_813b,0.023610948,local,0,1,vague prior,,
lower_ex_prob_813bo,0.005902737,local,0,1,vague prior,,
lower_ex_prob_813c,0.076765094,local,0,1,vague prior,,
lower_ex_prob_813co,0.01177596,local,0,1,vague prior,,
lower_ex_prob_822a,0.037338982,local,0,1,vague prior,,
lower_ex_prob_822b,0.002383339,local,0,1,vague prior,,
lower_ex_prob_882,0.00731139,local,0,1,vague prior,,
lower_ex_prob_883,0.007511491,local,0,1,vague prior,,
lower_ex_prob_884,0.007511491,local,0,1,vague prior,,
prob_bleeding_leads_to_shock,0.042222,local,0,1,vague prior,,
blocked_interventions,[],scenario,[],[],NA,,
unavailable_treatment_mortality_mais_cutoff,5,local,1,75,vague prior,,
consider_death_no_treatment_ISS_cut_off,15,local,1,75,vague prior,,
maximum_number_of_times_HSI_events_should_run,5,undetermined,1,365,calibration,,
hsi_schedule_window_days,15,undetermined,1,365,design decision,,
main_polling_frequency,1,undetermined,1,12,design decision,,
rti_check_death_no_med_event_frequency_days,1,undetermined,1,30,design decision,,
rti_recovery_event_frequency_days,1,undetermined,1,30,design decision,,
incidence_rate_frequency,12,undetermined,1,365,design decision,,
incidence_rate_per_population,100000,undetermined,1000,1000000,design decision,,
days_to_death_without_treatment,7,local,1,365,vague prior,,
max_treatment_duration_days,150,undetermined,1,365,design decision,,
intervention_incidence_reduction_factor,0.335,local,0,1,vague prior,,
laceration_recovery_days,14,local,1,90,vague prior,,
hsi_opening_delay_days,1,local,1,365,vague prior,,
main_polling_initialisation_delay_months,0,undetermined,0,6,design decision,,
rti_recovery_initialisation_delay_months,0,undetermined,0,6,design decision,,
rti_check_death_no_med_initialisation_delay_months,0,undetermined,0,6,design decision,,
non_permanent_tbi_recovery_months,6,local,0,12,design decision,,
rti_fracture_cast_recovery_weeks,7,local,0,12,design decision,,
rti_open_fracture_recovery_months,7,local,0,12,design decision,,
rti_burn_recovery_weeks,4,local,0,16,design decision,,
