parameter_name,value,param_label,prior_min,prior_max,prior_note,resource,notes
prob_chest_indrawing_in_pneumonia,0.74,universal,0,1,vague prior,Rees et al 2020,
prob_tachypnoea_in_pneumonia,0.834,universal,0,1,vague prior,Fancourt et al 2017,
prob_danger_signs_in_pneumonia,0.28,universal,0,1,vague prior,Rees et al 2020,
prob_cyanosis_in_pneumonia,0.06,universal,0,1,vague prior,Rees et al 2020,
prob_cough_in_other_alri,1,universal,0,1,vague prior,,assumed
prob_difficult_breathing_in_other_alri,1,universal,0,1,vague prior,,assumed
prob_fever_in_other_alri,0.76,universal,0,1,vague prior,,calculated using OR=1.41 temp>38C from Fancourt and the prob_fever_in_pneumonia
prob_chest_indrawing_in_other_alri,0.33,universal,0,1,vague prior,,assumed (based on Eric' Bangladesh trial - outpatient pneumonia)
prob_tachypnoea_in_other_alri,0.758,universal,0,1,vague prior,Fancourt et al 2017,
prob_danger_signs_in_other_alri,0.3,universal,0,1,vague prior,Rees et al 2020 (or or 0.03 assumed (based on Eric' Bangladesh trial - outpatient pneumonia)),1-specificity
prob_cyanosis_in_other_alri,0.04,universal,0,1,vague prior,Rees et al 2020,1-specificity
prob_danger_signs_in_sepsis,1,universal,0,1,vague prior,,assumed
prob_danger_signs_in_SpO2<90%,0.313,universal,0,1,vague prior,McCollum et al. 2016,HC only
prob_danger_signs_in_SpO2_90-92%,0.133,universal,0,1,vague prior,McCollum et al. 2016,HC only
prob_chest_indrawing_in_SpO2<90%,0.701,universal,0,1,vague prior,McCollum et al. 2016,HC & CHW combined
prob_chest_indrawing_in_SpO2_90-92%,0.445,universal,0,1,vague prior,McCollum et al. 2016,HC & CHW combined
proportion_hypoxaemia_with_SpO2<90%,0.3576,local,0,1,vague prior,McCollum et al. 2016,prevalence of SpO2 <90% over total prevalence of hypoxaemia
prob_cyanosis_in_SpO2<90%,0.078,universal,0,1,vague prior,Bassat et al 2016,cyanosis in Hypoxaemic children < 90% in Mozambique study. Non-hypoxaemic children had 1.5%
max_alri_duration_in_days_without_treatment,14,universal,7,28,vague prior,,
days_between_treatment_and_cure,28,universal,14,42,vague prior,,7 inpatient days + 3 weeks oral antibiotics course
tf_3day_amoxicillin_for_fast_breathing_with_SpO2>=90%,0.101,universal,0,1,vague prior,Ginsburg et al. 2019,treatment failure or relapse by day 14
tf_5day_amoxicillin_for_chest_indrawing_with_SpO2>=90%,0.108,universal,0,1,vague prior,Ginsburg et al. 2020,treatment failure or relapse by day 14
tf_3day_amoxicillin_for_chest_indrawing_with_SpO2>=90%,0.125,universal,0,1,vague prior,Ginsburg et al. 2020,treatment failure or relapse by day 15
tf_7day_amoxicillin_for_fast_breathing_pneumonia_in_young_infants,0.054,universal,0,1,vague prior,,"EMPIC study 2021, 6.3% TF by standard 1st dose antibiotic and referral"
tf_oral_amoxicillin_only_for_severe_pneumonia_with_SpO2>=90%,0.6,universal,0,1,vague prior,,
tf_oral_amoxicillin_only_for_non_severe_pneumonia_with_SpO2<90%,0.2826,universal,0,1,vague prior,,calculated using 0.17 and pOR=0.52
tf_oral_amoxicillin_only_for_severe_pneumonia_with_SpO2<90%,0.8,universal,0,1,vague prior,,
sensitivity_of_classification_of_fast_breathing_pneumonia_facility_level0,0.7,universal,0,1,vague prior,HHFA 2018,Boyce et al 2019
sensitivity_of_classification_of_danger_signs_pneumonia_facility_level0,0.7,universal,0,1,vague prior,HHFA 2018,Boyce et al 2019
sensitivity_of_classification_of_non_severe_pneumonia_facility_level1,0.7,universal,0,1,vague prior,HHFA 2018,Bjornstad et al 2014
sensitivity_of_classification_of_severe_pneumonia_facility_level1,0.7,universal,0,1,vague prior,HHFA 2018,Bjornstad et al 2014
sensitivity_of_classification_of_non_severe_pneumonia_facility_level2,0.7,universal,0,1,vague prior,HHFA 2018,Uwemedimo et al. 2018
sensitivity_of_classification_of_severe_pneumonia_facility_level2,0.7,universal,0,1,vague prior,HHFA 2018,
prob_iCCM_severe_pneumonia_treated_as_fast_breathing_pneumonia,0.7,universal,0,1,vague prior,,dummy
prob_IMCI_severe_pneumonia_treated_as_non_severe_pneumonia,0.7,universal,0,1,vague prior,,dummy
scaler_on_risk_of_death,0.75,undetermined,0.1,2,calibration,,For Calibration
base_odds_death_ALRI_age<2mo,0.041965,local,0.01,0.2,vague prior,Lazzerini et al 2016,
or_death_ALRI_age<2mo_very_severe_pneumonia,3.994783,universal,1,10,vague prior,Lazzerini et al 2016,
or_death_ALRI_age<2mo_P.jirovecii,5.460986,universal,1,10,vague prior,Lazzerini et al 2016,
or_death_ALRI_age<2mo_by_month_increase_in_age,0.6033254,universal,0.1,1,vague prior,Lazzerini et al 2016,
base_odds_death_ALRI_age2_59mo,0.0244725,local,0.01,0.2,vague prior,Lazzerini et al 2016,calculated
or_death_ALRI_age2_59mo_very_severe_pneumonia,8.382832,universal,1,20,vague prior,Lazzerini et al 2016,
or_death_ALRI_age2_59mo_P.jirovecii,13.74696,universal,1,20,vague prior,Lazzerini et al 2016,
or_death_ALRI_age2_59mo_SAM,7.216448,universal,1,20,vague prior,Lazzerini et al 2016,
or_death_ALRI_age2_59mo_by_month_increase_in_age,0.9661072,universal,0.5,1,vague prior,Lazzerini et al 2016,
or_death_ALRI_age2_59mo_female,1.327285,universal,0.5,2,vague prior,Lazzerini et al 2016,
or_death_ALRI_SpO2<90%,5.04,universal,1,10,vague prior,Hooli et al. 2016,
or_death_ALRI_SpO2_90_92%,1.54,universal,1,5,vague prior,Hooli et al. 2016,
or_death_ALRI_sepsis,151.9,universal,50,300,vague prior,,
or_death_ALRI_pneumothorax,77.4,universal,20,150,vague prior,,
tf_1st_line_antibiotic_for_severe_pneumonia,0.11,universal,0,1,vague prior,Lassi et al 2013,0.171 overall value in source
rr_tf_1st_line_antibiotics_if_cyanosis,1.55,universal,1,5,vague prior,Muro et al 2020,
rr_tf_1st_line_antibiotics_if_SpO2<90%,1.28,universal,1,5,vague prior,Muro et al 2020,
rr_tf_1st_line_antibiotics_if_abnormal_CXR,1.71,universal,1,5,vague prior,Muro et al 2020,
rr_tf_1st_line_antibiotics_if_HIV/AIDS,1.8,universal,1,5,vague prior,Muro et al 2020,
rr_tf_1st_line_antibiotics_if_MAM,1.48,universal,1,5,vague prior,Muro et al 2020,
rr_tf_1st_line_antibiotics_if_SAM,2.02,universal,1,5,vague prior,Muro et al 2020,
or_mortality_improved_oxygen_systems,0.52,universal,0.1,1,vague prior,Lam et al 2021,
pulse_oximeter_and_oxygen_is_available,Default,scenario,NA,NA,vague prior,,
or_care_seeking_perceived_severe_illness,2.4,local,1,5,vague prior,Lungu et al 2020,"perceived severe illness, OR used for seeking care for chest-indrawing"
tf_2nd_line_antibiotic_for_severe_pneumonia,0.235,universal,0,1,vague prior,,
prob_for_followup_if_treatment_failure,0.3,local,0,1,vague prior,,
child_age_threshold,5,local,2,18,vague prior,,
main_polling_frequency,2,undetermined,1,12,design decision,,
inpatient_bed_days,7,local,3,14,vague prior,,
treatment_window_days,1,local,0,3,vague prior,,
follow_up_appointment_days,5,local,3,7,vague prior,,
