person_responsible,module_name,intervention_description,item_code,consumable_name_tlo,matching_status,consumable_name_lmis,comments_sm,verified_by_DM_lead,match_level1,match_level2,Comments_DM Leads,check with pharmacist? (Y/N),notes_on_openlmis_mapping,item_code_hhfa,item_hhfa_for_data_validation,item_hhfa_for_scenario_generation,hhfa_mapping_rationale_for_scenario_generation,notes_on_hhfa_mapping
Ines,diarrhoea,Antibiotics for treatment of dysentery,148,Ciprofloxacin 250mg_100_CMST,Matched,Ciprofloxacin 250mg,,Correct,1,1,both are within the pediatric handbook,,,34,Ciprofloxacin,Ciprofloxacin,,
Ines,diarrhoea,Antibiotics for treatment of dysentery,148,Ciprofloxacin 250mg_100_CMST,Matched,Ciprofloxacin 500mg,,Correct,1,1,,,,34,Ciprofloxacin,Ciprofloxacin,,
Ines,diarrhoea,ORS,146,"ORS, sachet",Matched,"Oral rehydration salt, satchet (WHO formula) for 1L solution",,Correct,1,1,,,,121,ORS sachets,ORS sachets,,
Ines,diarrhoea,ORS,146,"ORS, sachet",Matched,ReSoMal,,Incorrect,,,"ReSoMal is rehydration solution for malnourished children only, for inpatient care",Y,,121,ORS sachets,ORS sachets,,
Ines,diarrhoea,Treatment of severe diarrhea,80,Giving set iv administration + needle 15 drops/ml_each_CMST,Matched,Giving set paed iv administration + needle 60 drops/ml,,Correct,1,1,,,,88,Intravenous solution with infusion set,Intravenous solution with infusion set,,
Ines,diarrhoea,Treatment of severe diarrhea,93,Saline solution,Matched,"Sodium chloride 0.9%, 1000ml",,Correct,1,1,,,,146,Sodium chloride injectable solution,Sodium chloride injectable solution,,
Ines,diarrhoea,Treatment of severe diarrhea,93,Saline solution,Matched,"Sodium chloride 0.9%, 500ml",,Correct,1,1,,,,146,Sodium chloride injectable solution,Sodium chloride injectable solution,,
Ines,diarrhoea,Treatment of severe diarrhea,149,"ringer's lactate (Hartmann's solution), 1000 ml_12_IDA",Matched,"Sodium lactate compound (Ringer''s lactate), 1000ml",,Correct,1,1,,,,138,Ringer's lactate IV solution,Ringer's lactate IV solution,,
Ines,diarrhoea,Treatment of severe diarrhea,149,"ringer's lactate (Hartmann's solution), 1000 ml_12_IDA",Matched,"Sodium lactate compound (Ringer''s lactate), 500ml",,Correct,1,1,,,,138,Ringer's lactate IV solution,Ringer's lactate IV solution,,
Ines,diarrhoea,Zinc for Children 0-6 months,147,"Zinc, tablet, 20 mg",Matched,Zinc sulphate 20mg,,Correct,1,1,,,,161,Zinc sulphate syrup,Zinc sulphate syrup,,
Ines,undernutrition,Management of severe malnutrition (children),213,SAM theraputic foods,Matched,Ready-to-use Therapeutic Food (RUTF) spread,,Correct,1,1,"""SAM therapeutic foods"" may be including F-75, F-100",,,135,Ready to use therapeutic food(RUTF),Ready to use therapeutic food(RUTF),,
Ines,undernutrition,Management of severe malnutrition (children),213,SAM theraputic foods,Matched,F-100 Therapeutic milk,,Correct,1,1,,,,135,Ready to use therapeutic food(RUTF),Ready to use therapeutic food(RUTF),,
Ines,undernutrition,specific nutrition interventions from other intevention category,1220,"F-75 therapeutic milk, 102.5 g",Matched,F-75 Therapeutic milk,,Correct,1,1,,,,135,Ready to use therapeutic food(RUTF),Ready to use therapeutic food(RUTF),proxy,
Ines,undernutrition,specific nutrition interventions from other intevention category,1221,"Supplementary spread, sachet 92g/CAR-150",Not matched,Ready-to-use Therapeutic Food (RUTF) spread,Will have to check with a local pharmacist whether RUSF is available in the LMIS dataset,Incorrect,,,this should be ready-to-use supplementary food (RUSF) for the treatment of moderate acute malnutrition,Y,,135,Ready to use therapeutic food(RUTF),Ready to use therapeutic food(RUTF),proxy,
Ines,undernutrition,specific nutrition interventions from other intevention category,1223,"F-100 therapeutic diet, sach., 114g/CAR-90",Matched,F-100 Therapeutic milk,,Correct,1,1,,,,135,Ready to use therapeutic food(RUTF),Ready to use therapeutic food(RUTF),,
Ines,undernutrition,specific nutrition interventions from other intevention category,1223,"F-100 therapeutic diet, sach., 114g/CAR-90",Matched,F-75 Therapeutic milk,,Incorrect,,,I think this was duplicated (sorry!),,,135,Ready to use therapeutic food(RUTF),Ready to use therapeutic food(RUTF),,
Ines,undernutrition,specific nutrition interventions from other intevention category,1227,"Therapeutic spread, sachet 92g/CAR-150",Matched,Ready-to-use Therapeutic Food (RUTF) spread,,Correct,1,1,,,,135,Ready to use therapeutic food(RUTF),Ready to use therapeutic food(RUTF),proxy,
Ines,undernutrition,Vitamin A supplementation in infants and children 6-59 months,212,"Vitamin A, caplet, 200,000 IU",Matched,"Vitamin A 200,000 IU",,Correct,1,1,,,,160,Vitamin A (retinol) capsule,Vitamin A (retinol) capsule,,
Ines,undernutrition,Vitamin A supplementation in infants and children 6-59 months,212,"Vitamin A, caplet, 200,000 IU",Matched,"Vitamin A 100,000 IU",,Correct,1,1,,,,160,Vitamin A (retinol) capsule,Vitamin A (retinol) capsule,,
Joe,care_of_women_during_pregnancy,Antibiotics treatment of chorioamnionitis,28,"Gentamycin, injection, 40 mg/ml in 2 ml vial",Matched,"Gentamicin 40mg/ml, 2ml",,Correct,1,1,,,,67,Gentamycin injection 40mg/ml in 1ml or 2ml ampoules,Gentamycin injection 40mg/ml in 1ml or 2ml ampoules,,
Joe,care_of_women_during_pregnancy,Antibiotics treatment of chorioamnionitis,28,"Gentamycin, injection, 40 mg/ml in 2 ml vial",Matched,"Gentamicin, 80mg/2ml","@Joe: I have kept this assuming that if Gentamycin 40mg/ml is not available, this more concetrated version could be diluted and used. I will add this to the list to be confirmed with a local pharmacist",Other (see comments),1,1,Repitition within the same package,Y,,67,Gentamycin injection 40mg/ml in 1ml or 2ml ampoules,Gentamycin injection 40mg/ml in 1ml or 2ml ampoules,,
Joe,care_of_women_during_pregnancy,Deworming,45,Albendazole 200mg_1000_CMST,Matched,Albendazole 200mg,,Correct,1,1,,,,5,Albendazole or Mebendazole,Albendazole or Mebendazole,,
Joe,care_of_women_during_pregnancy,Deworming,45,Albendazole 200mg_1000_CMST,Matched,Albendazole 400mg,"@Joe: I have kept this assuming that if Gentamycin 40mg/ml is not available, thishigher dosage version could still be used. I will add this to the list to be confirmed with a local pharmacist",Other (see comments),1,1,Repitition within the same package,Y,,5,Albendazole or Mebendazole,Albendazole or Mebendazole,,
Joe,care_of_women_during_pregnancy,Ectopic pregnancy case management,27,"Ampicillin, powder for injection, 500 mg, vial",Matched,"Ampicillin Injection 1g, PFR",,Correct,1,1,,,,10,Ampicillin powder for injection,Ampicillin powder for injection,,
Joe,care_of_women_during_pregnancy,Ectopic pregnancy case management,32,"Pethidine, 50 mg/ml, 2 ml ampoule",Matched,"Codeine, 30mg",,Incorrect,,,"These arent a direct replacement, but just having pethidine from the next row is fine",,,112,Morphine injection,,assume average,
Joe,care_of_women_during_pregnancy,Ectopic pregnancy case management,32,"Pethidine, 50 mg/ml, 2 ml ampoule",Matched,"Pethidine hydrochloride 50mg/1ml, 2ml",,Correct,1,1,,,,112,Morphine injection,,assume average,
Joe,care_of_women_during_pregnancy,Ectopic pregnancy case management,36,"Epinephrine, ampoule, 1 mg/ml",Matched,Adrenaline 1/1000 1ml,,Correct,1,1,,,,56,Epinephrine injection,Epinephrine injection,,
Joe,care_of_women_during_pregnancy,Ectopic pregnancy case management,36,"Epinephrine, ampoule, 1 mg/ml",Matched,"Lignocaine 2% Adrenaline 1/80,000 cartridge 1.8ml",,Incorrect,,,I dont think these are a direct match also repitition ,,,56,Epinephrine injection,Epinephrine injection,,
Joe,care_of_women_during_pregnancy,Gestational diabetes treatment- insulin,227,"Insulin soluble 100 IU/ml, 10ml_each_CMST",Matched,"Insulin soluble 100 IU/ml, 10ml",,Correct,1,1,,,,86,Insulin regular injection,Insulin regular injection,,
Joe,care_of_women_during_pregnancy,Gestational diabetes treatment- orals,232,Glibenclamide 5mg_1000_CMST,Matched,Glibenclamide 5mg,,Correct,1,1,,,,68,Glibenclamide,Glibenclamide,,
Joe,care_of_women_during_pregnancy,Oral iron for treating iron deficiency,44,Ferrous sulphate 200mg _1000_CMST,Matched,"Ferrous sulphate mixture paediatric 60mg/5ml, 100ml",,Correct,1,1,,,,89,Iron tablet,Iron tablet,,
Joe,care_of_women_during_pregnancy,Post abortion care (complicated abortion/miscarriage),30,"Tetracycline, tablet, 500 mg",Matched,Doxycycline 100mg,,Other (see comments),1,1,Checkwith pharm,Y,,8,Amoxicillin,Amoxicillin,proxy,
Joe,care_of_women_during_pregnancy,Post abortion care (complicated abortion/miscarriage),30,"Tetracycline, tablet, 500 mg",Matched,"Doxycycline, 100mg","Changed to correct since this is the same consumable but written differently, so some facilities may enter it without the comma before 100mg while others may include the comma. Note that I will collapse the two into one",Correct,1,1,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,proxy,
Joe,care_of_women_during_pregnancy,Post abortion care (complicated abortion/miscarriage),31,"Methylergometrine, Injection 0.2 mg/ml, 1 ml amp",Not matched,"Misoprostol 200 mcg, tablets",,Incorrect,,,These are two different drugs administered via different routes,Y - how does this show up in LMIS?,,122,Oxytocin injection,Oxytocin injection,proxy,
Joe,care_of_women_during_pregnancy,Syphillis treatment (not yet coded),42,"Benzathine benzylpenicillin, powder for injection, 2.4 million IU",Matched,"Benzathine benzylpenicillin 1.44g (2.4MU), PFR",,Correct,1,1,,,,22,Benzathine benzylpenicillin powder for injection,Benzathine benzylpenicillin powder for injection,,
Joe,care_of_women_during_pregnancy,Syphillis treatment (not yet coded),42,"Benzathine benzylpenicillin, powder for injection, 2.4 million IU",Matched,"Benzathine penicillin, 2.4M",,Other (see comments),1,1,Repitition within the same package,Y,,22,Benzathine benzylpenicillin powder for injection,Benzathine benzylpenicillin powder for injection,,
Joe,"care_of_women_during_pregnancy, labour",Daily iron and folic acid supplementation,140,"Ferrous Salt + Folic Acid, tablet, 200 + 0.25 mg",Matched,Ferrous sulphate 200mg / folic acid 250 micrograms,,Correct,1,1,,,,65,Folic acid tablet,Folic acid tablet,,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Blood transfusion during pregnancy,34,"IV giving/infusion set, with needle",Remove,Giving set iv administration + needle 15 drops/ml,I have removed this since this is a duplicate of 80,Correct,1,1,,,,113,Malaria Rapid Diagnostic Test (MRDT),Malaria Rapid Diagnostic Test (MRDT),,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Blood transfusion during pregnancy,34,"IV giving/infusion set, with needle",Remove,Giving set paed iv administration + needle 60 drops/ml,I have removed this since this is a duplicate of 80,Incorrect,1,1,Repitition within the same package,,,113,Malaria Rapid Diagnostic Test (MRDT),Malaria Rapid Diagnostic Test (MRDT),,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,26,"Misoprostol, tablet, 200 mcg",Matched,"Misoprostol 200 mcg, tablets",,Correct,1,1,,,,110,Misoprostol 200g tablets,Misoprostol 200g tablets,,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,33,"Sodium chloride, injectable solution, 0,9 %, 500 ml",Matched,"Sodium chloride 0.9%, 1000ml",See expanation for including substitues above,Other (see comments),1,1,Repitition within the same package,Y,,146,Sodium chloride injectable solution,Sodium chloride injectable solution,,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,33,"Sodium chloride, injectable solution, 0,9 %, 500 ml",Matched,"Sodium chloride 0.9%, 500ml",,Correct,1,1,,Y,,146,Sodium chloride injectable solution,Sodium chloride injectable solution,,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,35,"Sodium lactate injection (Ringer's), 500 ml, with giving set",Remove,"Sodium lactate compound (Ringer''s lactate), 1000ml","I have removed this since only item code 149 was preserved between the duplicates 35, 149, 2482",Other (see comments),1,1,Repitition within the same package,Y,,138,Ringer's lactate IV solution,Ringer's lactate IV solution,proxy,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,35,"Sodium lactate injection (Ringer's), 500 ml, with giving set",Remove,"Sodium lactate compound (Ringer''s lactate), 500ml","I have removed this since only item code 149 was preserved between the duplicates 35, 149, 2482",Correct,1,1,,Y,,138,Ringer's lactate IV solution,Ringer's lactate IV solution,proxy,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,56,"Oxytocin, injection, 10 IU in 1 ml ampoule",Matched,"Oxytocin 10 IU/ml, 1ml",,Correct,1,1,,,,122,Oxytocin injection,Oxytocin injection,,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,57,"Bag, urine, collecting, 2000 ml",Matched,"Bags urine drainage 2,000ml with outlet",,Correct,1,1,,,,,,Dipsticks for urine protein rapid diagnostic test,proxy,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,58,Foley catheter,Matched,Catheter Foley''s retention 30cc FG 14,See expanation for including substitues above,Other (see comments),1,1,"FG here is just size, I think we just pick the most common size (16)",Y,,,,,assume average,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,58,Foley catheter,Matched,Catheter Foley''s retention 30cc FG 16,,Correct,1,1,(see above),Y,,,,,assume average,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,58,Foley catheter,Matched,Catheter Foley''s retention 30cc FG 18,,Other (see comments),1,1,(see above),Y,,,,,assume average,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,61,"Magnesium sulfate, injection, 500 mg/ml in 10-ml ampoule",Matched,"Magnesium sulphate 50%, 2ml ampoule",,Correct,1,1,,,,100,Magnesium sulphate injectable,Magnesium sulphate injectable,,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Case management of eclampsia/severe pre-eclampsia,62,"Water for injection, 10 ml ampoule",Remove,"Water for injections, 10ml",I have removed this since this is a duplicate of 98,Correct,1,1,,,,50,Disposable latex gloves,Disposable latex gloves,proxy,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Treatment of hypertension (intravenous),60,"Hydralazine, powder for injection, 20 mg ampoule",Matched,Hydralazine 25mg,"Note that this is an orally administered drug, potentially not a match",Incorrect,,,Think we need to match with IV version (as per guidlines),,,81,Hydralazine injection,Hydralazine injection,,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Treatment of hypertension (intravenous),60,"Hydralazine, powder for injection, 20 mg ampoule",Matched,"Hydralazine hydrochloride 20mg/ml, 1ml",,Other (see comments),1,1,Repitition within the same package,Y,,81,Hydralazine injection,Hydralazine injection,,
Joe,"care_of_women_during_pregnancy, labour, postnatal_supervisor",Treatment of hypertension (intravenous),60,"Hydralazine, powder for injection, 20 mg ampoule",Matched,Hydrochlorothiazide 25mg,"Note that this is an orally administered drug, potentially not a match",Incorrect,,,Check with pharm,Y,,81,Hydralazine injection,Hydralazine injection,,
Joe,"care_of_women_during_pregnancy, postnatal_supervisor",Treatment of hypertension (oral),222,Methyldopa 250mg_1000_CMST,Matched,Methyldopa 250mg,,Correct,1,1,,,,105,Methyldopa tablet,Methyldopa tablet,,
Joe,labour,Antenatal corticosteriods (preterm labour),1005,"Betamethasone, 12 mg injection",Remove,"Dexamethasone Injection 5mg/2ml,2ml",Remove,Incorrect,1,1,"Guidelines say dex or betamethasone, so fine just to have dex",,,24,Betamethasone injection,Betamethasone injection,,
Joe,labour,Antenatal corticosteriods (preterm labour),1827,"Dexamethasone 5mg/ml, 5ml_each_CMST",Matched,"Dexamethasone Injection 5mg/2ml,2ml",,Correct,1,1,,,,42,Dexamethasone injection,Dexamethasone injection,,
Joe,labour,Antibiotics for pPROM,86,"Ampicillin injection 500mg, PFR_each_CMST",Matched,"Ampicillin injection 500mg, PFR",,Correct,1,1,,,,10,Ampicillin powder for injection,Ampicillin powder for injection,,
Joe,labour,Antibiotics for pPROM,92,Metronidazole 200mg_1000_CMST,Matched,Metronidazole 200mg,,Correct,1,1,Repitition within the same package,,,107,Metronidazole,Metronidazole,,
Joe,labour,Antibiotics for pPROM,92,Metronidazole 200mg_1000_CMST,Matched,Metronidazole 250mg,See expanation for including substitutes above,Other (see comments),1,1,Repitition within the same package,,,107,Metronidazole,Metronidazole,,
Joe,labour,Antibiotics for pPROM,92,Metronidazole 200mg_1000_CMST,Matched,"Metronidazole, 200mg",See expanation for including substitutes above,Other (see comments),1,1,Repitition within the same package,,,107,Metronidazole,Metronidazole,,
Joe,labour,Antibiotics for pPROM,122,"Amoxicillin, caplet, 250 mg",Remove,Amoxicillin 875mg+Clavulanic acid 125mg,I have removed this since only item code 125 was preserved between the duplicates 122 and 125,Incorrect,,,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,,
Joe,labour,Antibiotics for pPROM,122,"Amoxicillin, caplet, 250 mg",Remove,Amoxycillin 250mg Dispersible tablets,I have removed this since only item code 125 was preserved between the duplicates 122 and 125,Incorrect,,,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,,
Joe,labour,Antibiotics for pPROM,122,"Amoxicillin, caplet, 250 mg",Remove,"Amoxycillin 250mg, Tablets",I have removed this since only item code 125 was preserved between the duplicates 122 and 125,Incorrect,,,,,,8,Amoxicillin,Amoxicillin,,
Joe,labour,Antibiotics for pPROM,122,"Amoxicillin, caplet, 250 mg",Remove,"Amoxycillin w/ Clavulanic Acid, 250/62.5/5ml",I have removed this since only item code 125 was preserved between the duplicates 122 and 125,Incorrect,,,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,,
Joe,labour,Antibiotics for pPROM,122,"Amoxicillin, caplet, 250 mg",Remove,"Amoxycillin w/ Clavulanic Acid, 500mg/125mg",I have removed this since only item code 125 was preserved between the duplicates 122 and 125,Incorrect,,,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,,
Joe,labour,Antibiotics for pPROM,123,"Erythromycin, tablet, 250 mg",Matched,Azithromycin 250mg,Confirmed by Alison that Azythromycin is not a good match for Erythromycin,Incorrect,,,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,proxy,
Joe,labour,Antibiotics for pPROM,123,"Erythromycin, tablet, 250 mg",Matched,Azithromycin 500mg,Confirmed by Alison that Azythromycin is not a good match for Erythromycin,Incorrect,,,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,proxy,
Joe,labour,Antibiotics for pPROM,123,"Erythromycin, tablet, 250 mg",Matched,"Azithromycin, 500mg",Confirmed by Alison that Azythromycin is not a good match for Erythromycin,Incorrect,,,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,proxy,
Joe,labour,Antibiotics for pPROM,123,"Erythromycin, tablet, 250 mg",Matched,Erythromycin 250mg,,Correct,1,1,,,,8,Amoxicillin,Amoxicillin,proxy,
Joe,labour,Antibiotics for pPROM,123,"Erythromycin, tablet, 250 mg",Matched,Erythromycin oral suspension,,Incorrect,,,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,proxy,
Joe,labour,Antibiotics for pPROM,123,"Erythromycin, tablet, 250 mg",Matched,"Erythromycin, 250mg",See expanation for including substitutes above,Other (see comments),1,1,Repitition within the same package,,,8,Amoxicillin,Amoxicillin,proxy,
Joe,labour,Caesarean section,72,Glove disposable powdered latex large_100_CMST,Remove,Glove disposable powdered latex large,I have removed this since this is a duplicate of 135,Correct,1,1,,,,50,Disposable latex gloves,Disposable latex gloves,,
Joe,labour,Caesarean section,73,Iodine strong 10% solution_500ml_CMST,Matched,"Iodine solution, weak (iodine tincture) 0.5%, 500ml",See expanation for including substitutes above,Other (see comments),1,1,Repitition within the same package,Y,,31,Chlorhexidine 4% gel or solution,Chlorhexidine 4% gel or solution,proxy,
Joe,labour,Caesarean section,73,Iodine strong 10% solution_500ml_CMST,Matched,"Povidone iodine 10% in alcoholic solution, 500ml",,Correct,1,1,,,,31,Chlorhexidine 4% gel or solution,Chlorhexidine 4% gel or solution,proxy,
Joe,labour,Caesarean section,74,Chlorhexidine 1.5% solution_5_CMST,Matched,"Chlorhexidine 1.5% solution, 5ml",,Correct,1,1,,,,31,Chlorhexidine 4% gel or solution,Chlorhexidine 4% gel or solution,,
Joe,labour,Caesarean section,74,Chlorhexidine 1.5% solution_5_CMST,Matched,"Chlorhexidine digluconate solution 7.1%, 10ml Solution",See expanation for including substitutes above,Other (see comments),1,1,Repitition within the same package,Y,,31,Chlorhexidine 4% gel or solution,Chlorhexidine 4% gel or solution,,
Joe,labour,Caesarean section,76,Scalpel blade size 22 (individually wrapped)_100_CMST,Matched,"Scalpel blade size 22 (individually wrapped),Carbon steel",Blade sizes 15-24 are entered separately in the LMIS data,to be checked,1,1,,,,,,Absorbable suture material,proxy,
